ica_mode,participant,target,modality,classifier,feature_count_request,ica_feature_count_resolved,ica_folds,ica_balanced_accuracy_mean,ica_balanced_accuracy_sd,ica_balanced_accuracy_median,ica_balanced_accuracy_min,ica_balanced_accuracy_max,ica_accuracy_mean,ica_precision_mean,ica_recall_mean,ica_f1_mean,no_ica_mode,no_ica_feature_count_resolved,no_ica_folds,no_ica_balanced_accuracy_mean,no_ica_balanced_accuracy_sd,no_ica_balanced_accuracy_median,no_ica_balanced_accuracy_min,no_ica_balanced_accuracy_max,no_ica_accuracy_mean,no_ica_precision_mean,no_ica_recall_mean,no_ica_f1_mean,balanced_accuracy_delta,accuracy_delta,analysis_row,is_ica_best_all,is_no_ica_best_all,is_ica_best_eeg_containing,is_no_ica_best_eeg_containing
individual,P01,arousal,multimodal,knn,5,5,5,0.5764957264957264,0.1076312749455106,0.5683760683760684,0.4126984126984127,0.6965811965811965,0.608300395256917,0.6665943043884222,0.7307692307692307,0.6911233899179442,individual,5,5,0.6357753357753357,0.1145250981125232,0.6452991452991452,0.4682539682539682,0.7735042735042735,0.6620553359683794,0.7151470588235294,0.7604395604395604,0.7298868307781593,0.05927960927960929,0.05375494071146236,matched_configuration,False,True,False,True
individual,P01,arousal,multimodal,knn,all,all,5,0.5617826617826618,0.07467055153863,0.5753968253968254,0.4572649572649572,0.6309523809523809,0.6241106719367588,0.6326754385964912,0.8791208791208792,0.7349481202127934,individual,all,5,0.5890720390720391,0.0435045408009411,0.5952380952380952,0.5341880341880342,0.6452991452991452,0.6430830039525691,0.6524673202614379,0.867032967032967,0.7431708632487275,0.027289377289377303,0.018972332015810278,matched_configuration,False,False,False,False
individual,P01,arousal,multimodal,svm,10,10,5,0.541941391941392,0.1516039708042551,0.6282051282051282,0.3253968253968253,0.6706349206349207,0.5814229249011857,0.6209188034188033,0.7505494505494505,0.6762081324928932,individual,10,5,0.5297313797313797,0.0892050865825457,0.5470085470085471,0.4007936507936508,0.6452991452991452,0.5727272727272726,0.6103213815170336,0.7483516483516484,0.656016665752974,-0.012210012210012278,-0.008695652173913104,matched_configuration,False,False,False,False
individual,P01,arousal,multimodal,svm,20,20,5,0.5119658119658119,0.1903342010534659,0.5436507936507937,0.2863247863247863,0.7008547008547008,0.5371541501976285,0.5930379424497072,0.6461538461538462,0.6146031746031746,individual,20,5,0.5278998778998779,0.1332213192395817,0.5238095238095238,0.3293650793650793,0.6837606837606838,0.5557312252964427,0.592156862745098,0.6780219780219781,0.624069264069264,0.01593406593406599,0.018577075098814233,matched_configuration,False,False,False,False
individual,P01,arousal,multimodal,svm,5,5,5,0.5440170940170941,0.0738637621860698,0.5396825396825397,0.4325396825396825,0.6282051282051282,0.5901185770750988,0.6246378105898229,0.7769230769230769,0.6900368448755545,individual,5,5,0.5377289377289377,0.0876949648852831,0.5396825396825397,0.3968253968253968,0.6282051282051282,0.5905138339920948,0.6179497764017887,0.8087912087912088,0.6992402332558061,-0.006288156288156377,0.0003952569169959341,matched_configuration,False,False,False,False
individual,P01,arousal,multimodal,svm,all,all,5,0.4579365079365079,0.1665736120247102,0.4957264957264957,0.2341269841269841,0.6837606837606838,0.5011857707509881,0.5463746256585131,0.6714285714285715,0.5914860314860315,individual,all,5,0.4924297924297924,0.1503280121707191,0.5,0.3253968253968253,0.7222222222222222,0.5458498023715415,0.5784912671869193,0.7626373626373627,0.6494367211786567,0.03449328449328448,0.044664031620553324,matched_configuration,False,False,False,False
individual,P01,valence,eeg,gnb,10,10,5,0.5314219114219114,0.0544355395196088,0.5346153846153846,0.4734848484848485,0.606060606060606,0.5529644268774703,0.5676245666957741,0.7410256410256411,0.6399933829611248,individual,10,5,0.5285081585081585,0.0626911446721305,0.5166666666666667,0.4659090909090909,0.6022727272727273,0.5525691699604743,0.5661111111111111,0.7897435897435898,0.6579310344827587,-0.002913752913752954,-0.0003952569169959341,matched_configuration,False,False,False,False
individual,P01,valence,eeg,gnb,20,20,5,0.5119114219114219,0.0823450967755227,0.4961538461538461,0.4333333333333333,0.6098484848484849,0.525691699604743,0.5556818181818182,0.6256410256410256,0.5850503319768687,individual,20,5,0.5461538461538462,0.0746584695037496,0.5151515151515151,0.4833333333333333,0.6515151515151515,0.5608695652173913,0.5863492063492064,0.6923076923076923,0.6327359617682198,0.034242424242424296,0.03517786561264824,matched_configuration,False,False,False,False
individual,P01,valence,eeg,gnb,5,5,5,0.5527505827505828,0.0946354058444251,0.5666666666666667,0.3961538461538461,0.6401515151515151,0.5790513833992095,0.5761850705194359,0.8564102564102564,0.6882267334074899,individual,5,5,0.5244172494172494,0.0754052345293641,0.5115384615384616,0.4461538461538461,0.6401515151515151,0.5521739130434782,0.5582726423902894,0.8397435897435898,0.6694810682893847,-0.02833333333333332,-0.026877470355731292,matched_configuration,False,False,False,False
individual,P01,valence,eeg,gnb,all,all,5,0.5045804195804195,0.0496451442930536,0.4848484848484848,0.4431818181818182,0.5576923076923077,0.5,0.5487912087912088,0.4346153846153847,0.4689638626480731,individual,all,5,0.5098484848484849,0.1255671870679893,0.5423076923076923,0.3083333333333333,0.6136363636363636,0.5071146245059289,0.5685897435897436,0.4833333333333333,0.5175238095238095,0.005268065268065336,0.007114624505928924,matched_configuration,False,False,False,False
individual,P01,valence,eeg,knn,10,10,5,0.4506526806526807,0.1127515263881348,0.4576923076923077,0.3166666666666666,0.5643939393939394,0.4636363636363635,0.5026782531194296,0.5794871794871794,0.5357556935817805,individual,10,5,0.4655361305361305,0.078557962435391,0.4356060606060606,0.3916666666666667,0.5961538461538461,0.4731225296442687,0.5128138528138528,0.5474358974358975,0.5276858664684752,0.014883449883449806,0.009486166007905195,matched_configuration,False,False,False,False
individual,P01,valence,eeg,knn,20,20,5,0.4836013986013985,0.0942074815571634,0.4416666666666666,0.3807692307692307,0.606060606060606,0.4909090909090909,0.5307692307692309,0.5653846153846154,0.5470769230769231,individual,20,5,0.411025641025641,0.0669347633908765,0.4307692307692308,0.3,0.4772727272727273,0.4201581027667984,0.4688888888888889,0.482051282051282,0.4714241926655719,-0.07257575757575752,-0.07075098814229253,matched_configuration,False,False,False,False
individual,P01,valence,eeg,knn,5,5,5,0.5172144522144523,0.0770345531515076,0.5151515151515151,0.4318181818181818,0.6230769230769231,0.5264822134387351,0.560052790346908,0.6089743589743589,0.5754708994708995,individual,5,5,0.470011655011655,0.0658965252789405,0.4734848484848485,0.3916666666666667,0.5692307692307692,0.4818181818181818,0.5258692185007974,0.5782051282051281,0.543971768971769,-0.0472027972027973,-0.044664031620553324,matched_configuration,False,False,False,False
individual,P01,valence,eeg,knn,all,all,5,0.4854312354312354,0.0373321685417077,0.4696969696969696,0.45,0.5346153846153846,0.4996047430830039,0.5309803921568628,0.6435897435897436,0.5804232804232804,individual,all,5,0.4596736596736597,0.0620587920084005,0.4461538461538461,0.3825757575757575,0.5461538461538462,0.4739130434782608,0.5133823529411765,0.6102564102564102,0.5565714285714286,-0.0257575757575757,-0.0256916996047431,matched_configuration,False,False,False,False
individual,P01,valence,eeg,svm,10,10,5,0.4711655011655011,0.1133955774831422,0.4846153846153846,0.2916666666666667,0.606060606060606,0.4984189723320158,0.5295844536253743,0.7205128205128205,0.6057207343391993,individual,10,5,0.4993006993006993,0.0590779768196444,0.4772727272727273,0.45,0.6,0.51699604743083,0.535849657588788,0.7076923076923076,0.5977763413057531,0.028135198135198214,0.018577075098814233,matched_configuration,False,False,False,False
individual,P01,valence,eeg,svm,20,20,5,0.4484731934731935,0.0600215900357816,0.4318181818181818,0.3916666666666667,0.5227272727272727,0.4731225296442687,0.5077754129928043,0.6551282051282051,0.5646250064931693,individual,20,5,0.4998018648018648,0.0696638483407224,0.5,0.3916666666666667,0.5846153846153846,0.5252964426877471,0.5448155467720686,0.7705128205128206,0.6275698658607205,0.051328671328671305,0.052173913043478404,matched_configuration,False,False,False,False
individual,P01,valence,eeg,svm,5,5,5,0.5828321678321678,0.1008042170282002,0.575,0.4346153846153846,0.7,0.6051383399209487,0.6031766917293233,0.8038461538461539,0.6878663003663004,individual,5,5,0.5194172494172494,0.0574111873035244,0.5151515151515151,0.4576923076923077,0.6,0.5434782608695652,0.5530252100840336,0.7897435897435898,0.6473833403093038,-0.06341491841491842,-0.06166007905138349,matched_configuration,True,False,True,False
