mode,participant,held_out_participant,target,modality,regressor,feature_count_request,feature_count_resolved,fold,training_participants,sample_size,train_size,test_size,rmse,mae,r2,explained_variance
general,COHORT,P25,valence,eeg,svr,5,5,5,P10;P11;P19;P22;P32;P40;P42;P43;P45,1200,1080,120,1.8184354332613577,1.6498508540201333,-0.030862871969476124,0.0004116074326274699
general,COHORT,P32,valence,eeg,svr,5,5,6,P10;P11;P19;P22;P25;P40;P42;P43;P45,1200,1080,120,1.5223669908507733,1.2073429382179461,-0.03802239649097561,-0.014051987872785388
general,COHORT,P40,valence,eeg,svr,5,5,7,P10;P11;P19;P22;P25;P32;P42;P43;P45,1200,1080,120,2.122129726388735,1.8406910040027162,-0.03454562390669502,-0.013133775593380914
general,COHORT,P42,valence,eeg,svr,5,5,8,P10;P11;P19;P22;P25;P32;P40;P43;P45,1200,1080,120,1.3890743588347965,1.187076561426745,-0.0009437325177827915,0.0017786817500857754
general,COHORT,P43,valence,eeg,svr,5,5,9,P10;P11;P19;P22;P25;P32;P40;P42;P45,1200,1080,120,1.3080417624116336,0.9966841769969599,-0.0019118714922625735,4.190331386166868e-05
general,COHORT,P45,valence,eeg,svr,5,5,10,P10;P11;P19;P22;P25;P32;P40;P42;P43,1200,1080,120,1.463515632822953,1.207286065417857,-0.008239132694165985,6.87528176693819e-05
general,COHORT,P10,valence,eeg,svr,10,10,1,P11;P19;P22;P25;P32;P40;P42;P43;P45,1200,1080,120,2.04772755376613,1.6981396471338688,-0.17294254232062478,-0.008895936507619329
general,COHORT,P11,valence,eeg,svr,10,10,2,P10;P19;P22;P25;P32;P40;P42;P43;P45,1200,1080,120,2.1596133846692878,1.9094800070036446,-0.010298327003661623,-0.0070385435365709625
general,COHORT,P19,valence,eeg,svr,10,10,3,P10;P11;P22;P25;P32;P40;P42;P43;P45,1200,1080,120,1.6119017804934062,1.224445776733418,0.0005750123038650301,0.0013206878318811066
general,COHORT,P22,valence,eeg,svr,10,10,4,P10;P11;P19;P25;P32;P40;P42;P43;P45,1200,1080,120,2.267510313267499,2.03742667183649,-0.06036725909647722,0.0007916984365354818
general,COHORT,P25,valence,eeg,svr,10,10,5,P10;P11;P19;P22;P32;P40;P42;P43;P45,1200,1080,120,1.8127575248893637,1.6421155204646367,-0.02443536087591469,-0.0019941828643283976
general,COHORT,P32,valence,eeg,svr,10,10,6,P10;P11;P19;P22;P25;P40;P42;P43;P45,1200,1080,120,1.5229285280081923,1.2094588395003878,-0.03878830333318639,-0.01846714239114955
general,COHORT,P40,valence,eeg,svr,10,10,7,P10;P11;P19;P22;P25;P32;P42;P43;P45,1200,1080,120,2.1233565370632377,1.8348947056968279,-0.035742118598753425,-0.0073954437641345905
general,COHORT,P42,valence,eeg,svr,10,10,8,P10;P11;P19;P22;P25;P32;P40;P43;P45,1200,1080,120,1.3881571528435013,1.1841763448738831,0.0003776776445730823,0.004052820541371904
general,COHORT,P43,valence,eeg,svr,10,10,9,P10;P11;P19;P22;P25;P32;P40;P42;P45,1200,1080,120,1.308399704818523,0.996733238194629,-0.002460287950732276,-0.0005972940639733526
general,COHORT,P45,valence,eeg,svr,10,10,10,P10;P11;P19;P22;P25;P32;P40;P42;P43,1200,1080,120,1.4651324736955749,1.213729104082447,-0.010468097900471651,0.0017543297885983522
general,COHORT,P10,valence,eeg,svr,20,20,1,P11;P19;P22;P25;P32;P40;P42;P43;P45,1200,1080,120,2.0418003607072377,1.6929593740210829,-0.16616215285791403,-0.012360791188570586
general,COHORT,P11,valence,eeg,svr,20,20,2,P10;P19;P22;P25;P32;P40;P42;P43;P45,1200,1080,120,2.1595242348324977,1.9171276268450461,-0.010214917563270198,0.0012731503801987065
general,COHORT,P19,valence,eeg,svr,20,20,3,P10;P11;P22;P25;P32;P40;P42;P43;P45,1200,1080,120,1.610716592594597,1.2286437064568176,0.0020441724570597897,0.002480483241422915
general,COHORT,P22,valence,eeg,svr,20,20,4,P10;P11;P19;P25;P32;P40;P42;P43;P45,1200,1080,120,2.2701333756286184,2.0401736399072066,-0.0628219497774265,-0.0015948013428503938
general,COHORT,P25,valence,eeg,svr,20,20,5,P10;P11;P19;P22;P32;P40;P42;P43;P45,1200,1080,120,1.839536047432975,1.6688111738871243,-0.054925360464090245,-0.023735895592231104
general,COHORT,P32,valence,eeg,svr,20,20,6,P10;P11;P19;P22;P25;P40;P42;P43;P45,1200,1080,120,1.5217747426280575,1.2150358360123805,-0.03721490744082456,-0.020982104904662346
general,COHORT,P40,valence,eeg,svr,20,20,7,P10;P11;P19;P22;P25;P32;P42;P43;P45,1200,1080,120,2.15271928227228,1.8569048974160092,-0.06458561098594662,-0.020109264723625175
general,COHORT,P42,valence,eeg,svr,20,20,8,P10;P11;P19;P22;P25;P32;P40;P43;P45,1200,1080,120,1.3895438788714944,1.1839773306753734,-0.0016205034350311731,0.0013992501571237215
general,COHORT,P43,valence,eeg,svr,20,20,9,P10;P11;P19;P22;P25;P32;P40;P42;P45,1200,1080,120,1.3059812566509195,0.9992447004101489,0.0012421855468010001,0.0038401439629165424
general,COHORT,P45,valence,eeg,svr,20,20,10,P10;P11;P19;P22;P25;P32;P40;P42;P43,1200,1080,120,1.4671504591762277,1.2128900962783078,-0.013253530973117433,-0.0018197727921018814
general,COHORT,P10,valence,eeg,ridge,all,all,1,P11;P19;P22;P25;P32;P40;P42;P43;P45,1200,1080,120,2.235359812036218,1.758520631978793,-0.39774281251459787,-0.10831850137013554
general,COHORT,P11,valence,eeg,ridge,all,all,2,P10;P19;P22;P25;P32;P40;P42;P43;P45,1200,1080,120,2.6167051787352467,2.211053241852247,-0.48322555946275325,-0.13209799549118095
general,COHORT,P19,valence,eeg,ridge,all,all,3,P10;P11;P22;P25;P32;P40;P42;P43;P45,1200,1080,120,1.6659456239429082,1.3424488238650507,-0.06756591077725105,-0.039201781969324445
general,COHORT,P22,valence,eeg,ridge,all,all,4,P10;P11;P19;P25;P32;P40;P42;P43;P45,1200,1080,120,2.395934920928201,2.1592433419986197,-0.18388032327930848,-0.012795419231060201
general,COHORT,P25,valence,eeg,ridge,all,all,5,P10;P11;P19;P22;P32;P40;P42;P43;P45,1200,1080,120,1.9032034110488716,1.683637930995515,-0.12921215005356168,-0.12906442758995262
general,COHORT,P32,valence,eeg,ridge,all,all,6,P10;P11;P19;P22;P25;P40;P42;P43;P45,1200,1080,120,1.6042773122994896,1.3226931605478773,-0.15272812679318815,-0.08912734733027672
general,COHORT,P40,valence,eeg,ridge,all,all,7,P10;P11;P19;P22;P25;P32;P42;P43;P45,1200,1080,120,2.277029776188755,1.9195039766734279,-0.19108624631106874,-0.10501971352740114
general,COHORT,P42,valence,eeg,ridge,all,all,8,P10;P11;P19;P22;P25;P32;P40;P43;P45,1200,1080,120,1.503812198655271,1.2647780212188287,-0.17312930058976805,-0.11861817248166995
general,COHORT,P43,valence,eeg,ridge,all,all,9,P10;P11;P19;P22;P25;P32;P40;P42;P45,1200,1080,120,1.3361995280220866,1.0308990816036696,-0.045511779638275796,-0.04551172069808329
general,COHORT,P45,valence,eeg,ridge,all,all,10,P10;P11;P19;P22;P25;P32;P40;P42;P43,1200,1080,120,1.5678731679415154,1.3380276100766648,-0.15715270173625817,-0.051637480145597214
general,COHORT,P10,valence,eeg,ridge,5,5,1,P11;P19;P22;P25;P32;P40;P42;P43;P45,1200,1080,120,1.9967234984135067,1.6884809531021536,-0.11523976960080984,-0.01089848764472845
general,COHORT,P11,valence,eeg,ridge,5,5,2,P10;P19;P22;P25;P32;P40;P42;P43;P45,1200,1080,120,2.2195395276764764,1.9262236970248419,-0.06714486874697245,-0.06165425317068873
general,COHORT,P19,valence,eeg,ridge,5,5,3,P10;P11;P22;P25;P32;P40;P42;P43;P45,1200,1080,120,1.5997304712011664,1.2389124034973553,0.015611145446925656,0.016901899567823953
general,COHORT,P22,valence,eeg,ridge,5,5,4,P10;P11;P19;P25;P32;P40;P42;P43;P45,1200,1080,120,2.2850800596207184,2.060055060781379,-0.07686338015320882,-0.0024306637548752175
general,COHORT,P25,valence,eeg,ridge,5,5,5,P10;P11;P19;P22;P32;P40;P42;P43;P45,1200,1080,120,1.810091341908535,1.6388926712290146,-0.02142412139057992,-0.005758946510489693
general,COHORT,P32,valence,eeg,ridge,5,5,6,P10;P11;P19;P22;P25;P40;P42;P43;P45,1200,1080,120,1.5562380461822454,1.2593436280299883,-0.08472603439849213,-0.05602044718760402
general,COHORT,P40,valence,eeg,ridge,5,5,7,P10;P11;P19;P22;P25;P32;P42;P43;P45,1200,1080,120,2.131298069544145,1.858629581764634,-0.043504132504202264,-0.024618397489151178
general,COHORT,P42,valence,eeg,ridge,5,5,8,P10;P11;P19;P22;P25;P32;P40;P43;P45,1200,1080,120,1.3877580169236385,1.2039994123644722,0.0009524365101067911,0.0031151423041174686
general,COHORT,P43,valence,eeg,ridge,5,5,9,P10;P11;P19;P22;P25;P32;P40;P42;P45,1200,1080,120,1.3163152530902267,1.00668700568416,-0.014626333839983019,-0.013345452747060227
general,COHORT,P45,valence,eeg,ridge,5,5,10,P10;P11;P19;P22;P25;P32;P40;P42;P43,1200,1080,120,1.4770474130062423,1.2350403726128005,-0.026969843021327877,-0.0025527968172911475
general,COHORT,P10,valence,eeg,ridge,10,10,1,P11;P19;P22;P25;P32;P40;P42;P43;P45,1200,1080,120,2.224267575341521,1.7609488793854415,-0.3839055528022173,-0.032503821239088015
general,COHORT,P11,valence,eeg,ridge,10,10,2,P10;P19;P22;P25;P32;P40;P42;P43;P45,1200,1080,120,2.300041649708269,1.9603040069793196,-0.14595882576652341,-0.13884174522311676
general,COHORT,P19,valence,eeg,ridge,10,10,3,P10;P11;P22;P25;P32;P40;P42;P43;P45,1200,1080,120,1.624691400206837,1.2919025536800575,-0.015347764212179982,0.020848897088357687
general,COHORT,P22,valence,eeg,ridge,10,10,4,P10;P11;P19;P25;P32;P40;P42;P43;P45,1200,1080,120,2.2700697135893386,2.047949025733275,-0.06276234053621077,-0.007506971246179717
general,COHORT,P25,valence,eeg,ridge,10,10,5,P10;P11;P19;P22;P32;P40;P42;P43;P45,1200,1080,120,1.8056060853020042,1.636235543040478,-0.0163683840580775,-3.7717692660255153e-06
general,COHORT,P32,valence,eeg,ridge,10,10,6,P10;P11;P19;P22;P25;P40;P42;P43;P45,1200,1080,120,1.5781491069193414,1.2800662657009674,-0.11548587268988642,-0.09503110244894297
