mode,target,modality,regressor,feature_count_request,feature_count_resolved,feature,selected_folds,outer_folds,selection_frequency,mean_feature_score
individual,arousal,eeg,knn,10,10,eeg_se_beta__C3,10,5,0.043478260869565216,0.845515993875119
individual,arousal,eeg,knn,10,10,eeg_se_beta__C4,13,5,0.05652173913043478,0.8669819197094595
individual,arousal,eeg,knn,10,10,eeg_se_beta__Cz,23,5,0.1,1.1815795995421714
individual,arousal,eeg,knn,10,10,eeg_se_beta__Fz,17,5,0.07391304347826087,1.068254052290481
individual,arousal,eeg,knn,10,10,eeg_se_beta__Oz,30,5,0.13043478260869565,1.3359496371361452
individual,arousal,eeg,knn,10,10,eeg_se_beta__PO7,18,5,0.0782608695652174,1.0146632542615028
individual,arousal,eeg,knn,10,10,eeg_se_beta__PO8,24,5,0.10434782608695652,1.1119945269654834
individual,arousal,eeg,knn,10,10,eeg_se_beta__Pz,10,5,0.043478260869565216,0.7065129414625744
individual,arousal,eeg,knn,10,10,eeg_se_delta__C3,10,5,0.043478260869565216,0.7957972464224746
individual,arousal,eeg,knn,10,10,eeg_se_delta__C4,22,5,0.09565217391304348,1.1478115517919893
individual,arousal,eeg,knn,10,10,eeg_se_delta__Cz,29,5,0.12608695652173912,1.4421718296703183
individual,arousal,eeg,knn,10,10,eeg_se_delta__Fz,23,5,0.1,1.0969927981272674
individual,arousal,eeg,knn,10,10,eeg_se_delta__Oz,15,5,0.06521739130434782,0.8078195118554636
individual,arousal,eeg,knn,10,10,eeg_se_delta__PO7,26,5,0.11304347826086956,1.0953371979156625
individual,arousal,eeg,knn,10,10,eeg_se_delta__PO8,10,5,0.043478260869565216,0.7961507929801972
individual,arousal,eeg,knn,10,10,eeg_se_delta__Pz,15,5,0.06521739130434782,0.9472157468856833
individual,arousal,eeg,knn,10,10,eeg_se_gamma__C3,15,5,0.06521739130434782,0.8633431147667391
individual,arousal,eeg,knn,10,10,eeg_se_gamma__C4,16,5,0.06956521739130435,1.1612884104279055
individual,arousal,eeg,knn,10,10,eeg_se_gamma__Cz,16,5,0.06956521739130435,1.0868290014922781
individual,arousal,eeg,knn,10,10,eeg_se_gamma__Fz,40,5,0.17391304347826086,1.5338902202548976
individual,arousal,eeg,knn,10,10,eeg_se_gamma__Oz,20,5,0.08695652173913043,0.9953375096110936
individual,arousal,eeg,knn,10,10,eeg_se_gamma__PO7,9,5,0.0391304347826087,0.7077108788721743
individual,arousal,eeg,knn,10,10,eeg_se_gamma__PO8,23,5,0.1,1.1008916826367063
individual,arousal,eeg,knn,10,10,eeg_se_gamma__Pz,28,5,0.12173913043478261,1.3599548378750466
individual,arousal,eeg,knn,10,10,eeg_se_theta__C3,20,5,0.08695652173913043,1.0088467792785967
individual,arousal,eeg,knn,10,10,eeg_se_theta__C4,24,5,0.10434782608695652,1.131248260805728
individual,arousal,eeg,knn,10,10,eeg_se_theta__Cz,24,5,0.10434782608695652,1.0453309345112243
individual,arousal,eeg,knn,10,10,eeg_se_theta__Fz,11,5,0.04782608695652174,0.8175581622798831
individual,arousal,eeg,knn,10,10,eeg_se_theta__Oz,17,5,0.07391304347826087,1.0097489800013733
individual,arousal,eeg,knn,10,10,eeg_se_theta__PO7,19,5,0.08260869565217391,1.0245213206568247
individual,arousal,eeg,knn,10,10,eeg_se_theta__PO8,23,5,0.1,1.247553142320234
individual,arousal,eeg,knn,10,10,eeg_se_theta__Pz,27,5,0.11739130434782609,1.182851239506684
individual,arousal,eeg,knn,20,20,eeg_bp_alpha__C3,30,5,0.13043478260869565,1.0570281377793729
individual,arousal,eeg,knn,20,20,eeg_bp_alpha__C4,38,5,0.16521739130434782,1.175513270473575
