mode,participant,target,modality,classifier,feature_count_request,feature_count_resolved,folds,balanced_accuracy_mean,accuracy_mean,macro_precision_mean,macro_recall_mean,macro_f1_mean,recall_low_mean,recall_neutral_mean,recall_high_mean,balanced_accuracy_sd
individual,P19,arousal,eeg,svm,20,20,5,0.33555555555555555,0.5416666666666667,0.2559290382819794,0.33555555555555555,0.28364507090006175,0.1,0.8400000000000001,0.06666666666666667,0.019876159799998138
individual,P19,arousal,multimodal,svm,all,all,5,0.3352380952380952,0.5166666666666666,0.2564845782237087,0.3352380952380952,0.28481784271257954,0.16666666666666666,0.7723809523809524,0.06666666666666667,0.07646610197876345
individual,P19,arousal,face,gnb,5,5,5,0.3325396825396825,0.5333333333333333,0.2854880256196045,0.3325396825396825,0.301444133208839,0.05714285714285714,0.8238095238095238,0.11666666666666665,0.06685536409096092
individual,P19,arousal,face,knn,10,10,5,0.3314285714285714,0.55,0.33665347298339626,0.3314285714285714,0.3056407559633366,0.15714285714285708,0.8371428571428572,0.0,0.04695837990374757
individual,P19,arousal,face,knn,20,10,5,0.3314285714285714,0.55,0.33665347298339626,0.3314285714285714,0.3056407559633366,0.15714285714285708,0.8371428571428572,0.0,0.04695837990374757
individual,P19,arousal,face,knn,all,all,5,0.3314285714285714,0.55,0.33665347298339626,0.3314285714285714,0.3056407559633366,0.15714285714285708,0.8371428571428572,0.0,0.04695837990374757
individual,P19,arousal,multimodal,gnb,all,all,5,0.33079365079365075,0.4583333333333333,0.3093915343915344,0.33079365079365075,0.31818384255165866,0.41428571428571426,0.5780952380952381,0.0,0.10498773158959358
individual,P19,arousal,eeg,svm,all,all,5,0.32666666666666666,0.5583333333333333,0.2211111111111111,0.32666666666666666,0.2578097165991902,0.1,0.8800000000000001,0.0,0.014907119849998597
individual,P19,arousal,multimodal,svm,20,20,5,0.32396825396825396,0.475,0.3067158839126803,0.32396825396825396,0.3079132975727403,0.1857142857142857,0.6695238095238095,0.11666666666666665,0.06805619186152623
individual,P19,arousal,multimodal,knn,5,5,5,0.3234920634920635,0.5083333333333333,0.2811019378511639,0.3234920634920635,0.2948274019868447,0.13333333333333333,0.7704761904761904,0.06666666666666667,0.04675674278344039
