held_out_participant,architecture,train_rows,validation_rows,test_rows,best_epoch,best_validation_mse,validation_rmse,validation_mae,test_rmse,test_mae,dummy_validation_rmse,dummy_validation_mae,dummy_test_rmse,dummy_test_mae,validation_rmse_delta,test_rmse_delta,validation_ba,test_ba,test_accuracy
P12,baseline,3356,904,120,46,3.1247270107269287,1.7676897048950195,1.4735826253890991,1.9898309707641602,1.6218467950820923,1.7400291874228877,1.432759448142015,1.9022870668594083,1.5340484704012713,0.02766051747213183,0.08754390390475186,0.5221619897959184,0.49206349206349204,0.3
P15,baseline,3364,904,112,43,3.1103756427764893,1.7636257410049438,1.4658079147338867,1.7633291482925415,1.375349998474121,1.7399946725316233,1.437402007723633,1.773770783016541,1.3634597418039751,0.023631068473320527,-0.010441634723999504,0.5083107461734694,0.6084637268847795,0.6517857142857143
P16,baseline,3448,816,116,44,3.3593552112579346,1.8328543901443481,1.5123919248580933,1.724827766418457,1.5274567604064941,1.8160063651923655,1.491812531277012,1.6951970682502957,1.4785182814625175,0.016848024951982676,0.02963069816816133,0.5067583735727039,0.46296296296296297,0.46551724137931033
P17,baseline,3322,939,119,62,3.1331562995910645,1.7700724601745605,1.4490108489990234,1.8079273700714111,1.5760780572891235,1.763093269270412,1.4240773261677562,1.8159723411892035,1.5883086527807992,0.006979190904148558,-0.008044971117792343,0.5054381864921711,0.5460677382319173,0.5882352941176471
P18,baseline,3481,781,118,79,3.287747621536255,1.813214659690857,1.4960771799087524,2.168611764907837,1.8024595975875854,1.8068282721674098,1.4721552264147681,1.814115809679825,1.62838459628297,0.006386387523447112,0.3544959552280118,0.4996887643946467,0.45944779982743744,0.4661016949152542
P19,baseline,3437,823,120,73,4.04592752456665,2.011449098587036,1.7346665859222412,1.6319634914398193,1.282406210899353,2.0182810392767427,1.7337391569338174,1.61237189649199,1.2241004752206381,-0.006831940689706606,0.01959159494782936,0.5354922217837883,0.4845967985502869,0.35833333333333334
P21,baseline,3333,939,108,48,4.161698818206787,2.0400242805480957,1.7658984661102295,2.076831817626953,1.8752985000610352,2.0480797564762843,1.7647831875839342,2.1212591621697743,1.9325432543254324,-0.00805547592818856,-0.04442734454282116,0.49916026649393913,0.4436144578313253,0.6388888888888888
P22,baseline,3327,936,117,43,3.294097900390625,1.814965009689331,1.4916902780532837,2.2809040546417236,2.0474555492401123,1.8048076056606401,1.481917566453184,2.3270672667320715,2.095250206160937,0.01015740402869092,-0.046163212090347905,0.4779146662681437,0.5586734693877551,0.5897435897435898
P23,baseline,3436,826,118,46,3.464834213256836,1.8614065647125244,1.5700424909591675,2.1289968490600586,1.8877832889556885,1.8794593325733626,1.5629983904929148,2.102710231814588,1.862088356583335,-0.018052767860838204,0.026286617245470545,0.5087520853344119,0.5590062111801242,0.5084745762711864
P26,baseline,3492,770,118,47,3.249070405960083,1.8025177717208862,1.542310357093811,2.269127607345581,2.0171751976013184,1.7950301914087485,1.5366715758468334,2.2297153871485063,1.983152775350923,0.007487580312137698,0.0394122201970748,0.5459731730394612,0.5125291375291375,0.4661016949152542
P29,baseline,3332,939,109,30,3.133171796798706,1.7700767517089844,1.4717316627502441,1.978651523590088,1.705491065979004,1.7791547534576333,1.4667227913529628,1.9321035429108546,1.6805456127405087,-0.009078001748648923,0.04654798067923327,0.5079570434145447,0.4835069444444444,0.41284403669724773
P30,baseline,3476,784,120,31,3.1182782649993896,1.7658647298812866,1.4638245105743408,1.9417184591293335,1.68302321434021,1.7753457786841524,1.4607696214273973,1.8914626106922543,1.627824127349444,-0.009481048802865821,0.0502558484370792,0.49694189602446487,0.4837454848569047,0.48333333333333334
P31,baseline,3477,784,119,27,3.1218080520629883,1.7668639421463013,1.4705225229263306,2.1415061950683594,1.9591879844665527,1.7738987469368048,1.4581876969942422,2.1314005491521546,1.9597305703989967,-0.007034804790503557,0.010105645916204775,0.5010017926816408,0.5216223855285472,0.5126050420168067
