mode,participant,target,modality,classifier,feature_count_request,feature_count_resolved,folds,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_median,balanced_accuracy_min,balanced_accuracy_max,accuracy_mean,precision_mean,recall_mean,f1_mean
general,COHORT,arousal,face,gnb,all,all,28,0.5086629283188585,0.038916752586420224,0.5119656081050384,0.4190340909090909,0.611244019138756,0.5666666666666667,0.6026007121226776,0.8352847141161497,0.665996617851199
general,COHORT,arousal,face,knn,10,10,28,0.501488827431779,0.03997038136112873,0.5032998206778962,0.4225067385444744,0.5650349650349651,0.5502976190476191,0.597470287570048,0.6432712750401615,0.6015386216293639
general,COHORT,arousal,face,knn,20,10,28,0.501488827431779,0.03997038136112873,0.5032998206778962,0.4225067385444744,0.5650349650349651,0.5502976190476191,0.597470287570048,0.6432712750401615,0.6015386216293639
general,COHORT,arousal,face,knn,5,5,28,0.5234435497738887,0.0622380342886113,0.5318186958424378,0.35511363636363635,0.6292962356792144,0.5511904761904762,0.6109231502506228,0.6601060978031276,0.6150111022181456
general,COHORT,arousal,face,knn,all,all,28,0.501488827431779,0.03997038136112873,0.5032998206778962,0.4225067385444744,0.5650349650349651,0.5502976190476191,0.597470287570048,0.6432712750401615,0.6015386216293639
general,COHORT,arousal,face,svm,10,10,28,0.48479158880686646,0.035335570033898714,0.4849514709428503,0.40768194070080865,0.5654664484451718,0.5693452380952381,0.5895812181043742,0.8300787378503909,0.6703658660674517
general,COHORT,arousal,face,svm,20,10,28,0.48479158880686646,0.035335570033898714,0.4849514709428503,0.40768194070080865,0.5654664484451718,0.5693452380952381,0.5895812181043742,0.8300787378503909,0.6703658660674517
general,COHORT,arousal,face,svm,5,5,28,0.5056556721646176,0.02138018429860995,0.5,0.4791666666666667,0.5604066985645934,0.5806547619047618,0.594953682570779,0.9141273343668155,0.6966207880119338
general,COHORT,arousal,face,svm,all,all,28,0.48479158880686646,0.035335570033898714,0.4849514709428503,0.40768194070080865,0.5654664484451718,0.5693452380952381,0.5895812181043742,0.8300787378503909,0.6703658660674517
general,COHORT,arousal,multimodal,gnb,10,10,28,0.5002134446054332,0.0392951015282976,0.49719191270860075,0.4152573529411765,0.5625931445603576,0.45783154631422024,0.5642212931201176,0.34155924715721236,0.3517172009594206
general,COHORT,arousal,multimodal,gnb,20,20,28,0.5047804660511038,0.04450278834442043,0.5038931788931789,0.4152573529411765,0.5780923994038748,0.4769062182486626,0.6109122730398079,0.36892576211635764,0.3950486062410153
general,COHORT,arousal,multimodal,gnb,5,5,28,0.4968894181588269,0.03132998182577616,0.5011586452762924,0.42150735294117647,0.5487332339791356,0.4740192658384818,0.5787844076457401,0.5782218874256205,0.4800926540645993
general,COHORT,arousal,multimodal,gnb,all,all,28,0.4974761116592138,0.045692237352492296,0.5007452009930186,0.38764927718416087,0.5826289711454387,0.454988710030911,0.6273525479914323,0.27404554906536116,0.3065995688587143
general,COHORT,arousal,multimodal,knn,10,10,28,0.5117822298689697,0.04185741081803581,0.5156540181130345,0.41764705882352937,0.5962637362637362,0.5397483582067454,0.6044518582261137,0.6886392017630409,0.6195290359054134
general,COHORT,arousal,multimodal,knn,20,20,28,0.4972160223817301,0.05364673701749952,0.505268525462611,0.3993055555555556,0.6281318681318682,0.5452434022883083,0.589510052220571,0.7020226691171885,0.6250335267679051
general,COHORT,arousal,multimodal,knn,5,5,28,0.5144815016933157,0.03804275292917094,0.5208626073380171,0.43552036199095023,0.5714285714285714,0.5380242358298952,0.6071858390633712,0.7007968899444968,0.6256785257486145
general,COHORT,arousal,multimodal,knn,all,all,28,0.5021668952967554,0.050001645538098445,0.5089699874920162,0.3784722222222222,0.6095956354300385,0.5355296921777898,0.5964477718402359,0.6958275237315669,0.6235852846338287
