mode,participant,held_out_participant,target,modality,regressor,feature_count_request,feature_count_resolved,fold,feature,selected,feature_score
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_bp_alpha__Pz,False,0.24556524089038392
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_se_alpha__C3,False,0.32302697469820163
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_se_alpha__C4,False,3.0731476624386675
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_se_alpha__Cz,False,0.053873765169616415
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_se_alpha__Fz,False,2.472625035454214
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_se_alpha__Oz,False,3.2116079278072487
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_se_alpha__PO7,False,1.072250176430662
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_se_alpha__PO8,False,0.9917715408820729
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_se_alpha__Pz,False,0.40593719001272677
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_bp_beta__C3,False,7.964161465455154
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_bp_beta__C4,False,10.41790688988221
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_bp_beta__Cz,False,6.790138644626573
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_bp_beta__Fz,False,10.715745376998868
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_bp_beta__Oz,False,3.6383416146409013
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_bp_beta__PO7,False,8.51552705172861
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_bp_beta__PO8,False,11.344248185400458
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_bp_beta__Pz,False,11.330333474193832
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_se_beta__C3,False,0.7184622135442159
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_se_beta__C4,False,0.159853826608229
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_se_beta__Cz,False,0.11510112866012054
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_se_beta__Fz,False,0.3942697407405656
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_se_beta__Oz,False,4.365765357088393
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_se_beta__PO7,False,0.4052637562328373
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_se_beta__PO8,False,0.009403890293192168
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_se_beta__Pz,False,2.216452671009102
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_bp_gamma__C3,False,0.012858736664854438
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_bp_gamma__C4,False,3.936658681062949
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_bp_gamma__Cz,False,3.1607602322987614
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_bp_gamma__Fz,False,0.5234514977515342
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_bp_gamma__Oz,False,4.51864265298154
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_bp_gamma__PO7,False,3.754719957890607
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_bp_gamma__PO8,False,1.5271815632657157
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_bp_gamma__Pz,False,1.995126595710491
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_se_gamma__C3,False,0.7449024194040084
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_se_gamma__C4,False,4.618266337790509
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_se_gamma__Cz,False,0.13899141298351042
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_se_gamma__Fz,False,5.144046376343138
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_se_gamma__Oz,False,5.7266673226754525
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_se_gamma__PO7,False,0.12123318453398098
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_se_gamma__PO8,False,1.428301115950374
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_se_gamma__Pz,False,5.0137172342947425
