eeg_se__C3,eeg_hm__C3,eeg_hm__Oz,eeg_hc__Cz,eeg_mf_hz__C3,eeg_bp_delta__C3,eeg_se_delta__C3,eeg_se_theta__Cz,eeg_se_alpha__C4,eeg_se_beta__Oz
4.437457240201473,0.2954994992492842,0.2898759606363963,1.6777650542226317,8.0,4.556324974236992,1.86673299654838,2.204292194216116,2.0691774494009603,3.623391952720378
4.151517974444968,0.2766431035075882,0.2433805520793004,1.990135841453254,7.0,2.0223371085924504,1.6072378614810634,2.216722651078487,2.2902817764944903,4.027452604762727
4.770928045658503,0.3668993593726878,0.2869253803824667,1.567869160175881,12.0,0.7318718794619788,1.965813344623368,2.2549183047367194,2.170925080990199,3.753841421167358
4.546622165345266,0.3197365303301354,0.2398981098958001,1.8385478654242664,9.0,2.6864051215371294,1.925674789435155,2.258181993591387,2.17797680612374,3.6140750474330425
4.668189995092652,0.3674948505622973,0.2558551028783218,1.7986850997301629,11.0,0.7827897699846167,1.647023866608671,2.2602956759875457,1.9517647113254493,3.905920661828942
4.598152977500213,0.317374721556327,0.2744333926750739,1.695746077039539,10.0,2.622544462113077,1.8328161401811705,2.2167304499362954,2.123351410773422,4.038171326165679
4.470559282408434,0.3251957742394451,0.279182393802353,1.686391074646466,10.0,3.071455757729652,1.9866014361017732,2.2729955019335675,2.2827014816260744,3.7665725950935465
4.435580206311494,0.3165907744213945,0.2498686545680266,1.6707608110124923,9.0,3.169923911101864,1.7988524908919652,2.0641278314499867,2.2001957012782007,3.753324073888259
4.465220321798016,0.3137093327635115,0.2738040160995473,1.4501566822289518,10.0,1.4857795669159413,1.8900387690502347,2.164465809348066,2.173230603338171,3.6557628913901135
4.481071321804378,0.3408887259308438,0.2529444652597109,1.607272636649783,13.0,2.0438071102346567,1.8697406223836837,2.17670017439504,1.9129277675775311,3.6851978783821417
4.284449481363182,0.269339098912649,0.2741904383439492,1.6987669514857675,6.0,3.64390596573745,1.9035019016759829,2.101723238012537,2.282052260568568,3.638283102099299
4.578910519356193,0.3034979289282705,0.2651648219833817,1.9636643579586248,10.0,1.3340703462832857,1.894728762368252,2.2225885659282385,2.1649203847803493,3.794535938490896
4.727032564644001,0.354631438191158,0.2648521438080596,1.754295483945974,12.0,0.7409854119417147,1.8807448271867189,2.178735568206152,2.110669783421034,3.737481572566988
4.442555107134212,0.2821914864773992,0.2624727591807986,1.9111843934426311,8.0,2.9643212887467056,1.9691200144566048,2.110366149431251,2.2068966099887675,3.4593666571700887
4.809398667725131,0.3684994286997317,0.2893689508160293,1.575587518755567,12.0,1.159850654356393,1.909427782671755,2.281722476845962,2.2642497882986024,3.854340609133179
4.50884200815348,0.2982682236125822,0.2742758094838584,1.6243018325471752,7.0,4.045827295139555,1.9751853008033249,2.225554103045416,2.132932594013245,4.014621797603513
4.482688309088615,0.3296913628925406,0.2768965911965875,1.5379564145767968,8.0,2.0733204417429225,1.8614601738148535,2.064656719897946,2.225101083632739,3.640760957968035
4.071268789048005,0.279623369859022,0.2301758019098548,2.055161849463829,5.0,3.378631803424136,1.7828891770463442,2.010125304687369,1.921281366792687,3.705580832433767
4.541861202775286,0.3671214240691439,0.2804128157841677,1.4526333199966348,13.0,1.330325057688673,1.9599725223270803,2.263994429339266,1.9467149226050853,3.9503490810582393
4.295930614613099,0.2999341474699842,0.2840212032767255,1.7658287786724234,6.0,3.3027632361626478,1.9729303582619644,1.9399933458320064,2.084085818664175,3.740079528911199
4.595007187192838,0.336500138807199,0.2534550774700622,1.668549914709413,10.0,1.9411819036971136,1.9329072740805664,2.1998722611861985,2.277527577214201,3.871985505137291
4.462398291601612,0.3342846812425849,0.2615136118243384,1.8743985132641117,11.0,1.4524102548679498,1.9274267024299263,1.9222773311890935,2.273855256626967,3.596081280493536
4.609233800110817,0.3485606329843725,0.2392388330822757,1.705768048728109,11.0,2.963282317691195,1.890209041123838,2.1067014526348378,2.204970956126339,3.705967422355117
4.24808146228849,0.2618318784360725,0.248787914352254,1.9861098944260904,7.0,4.460267831344808,1.864367011451768,2.2981382529591783,2.256543831691215,3.836458188787288
