mode,participant,held_out_participant,target,modality,classifier,feature_count_request,feature_count_resolved,fold,training_participants,sample_size,train_size,test_size,low_count,high_count,balanced_accuracy,accuracy,precision,recall,f1,tn,fp,fn,tp
individual,P34,P34,arousal,face,gnb,10,10,5,P34,120,96,24,33,87,0.4444444444444444,0.6666666666666666,0.7272727272727273,0.8888888888888888,0.8,0,6,2,16
individual,P38,P38,arousal,face,gnb,10,10,1,P38,120,96,24,49,71,0.5642857142857143,0.5416666666666666,0.6666666666666666,0.42857142857142855,0.5217391304347826,7,3,8,6
individual,P38,P38,arousal,face,gnb,10,10,2,P38,120,96,24,49,71,0.7071428571428571,0.7083333333333334,0.7692307692307693,0.7142857142857143,0.7407407407407407,7,3,4,10
individual,P38,P38,arousal,face,gnb,10,10,3,P38,120,96,24,49,71,0.6071428571428572,0.625,0.6666666666666666,0.7142857142857143,0.6896551724137931,5,5,4,10
individual,P38,P38,arousal,face,gnb,10,10,4,P38,120,96,24,49,71,0.4285714285714286,0.4166666666666667,0.5,0.35714285714285715,0.4166666666666667,5,5,9,5
individual,P38,P38,arousal,face,gnb,10,10,5,P38,120,96,24,49,71,0.5888888888888888,0.625,0.6875,0.7333333333333333,0.7096774193548387,4,5,4,11
individual,P39,P39,arousal,face,gnb,10,10,1,P39,120,96,24,106,14,0.5,0.9166666666666666,0.0,0.0,0.0,22,0,2,0
individual,P39,P39,arousal,face,gnb,10,10,2,P39,120,96,24,106,14,0.4523809523809524,0.7916666666666666,0.0,0.0,0.0,19,2,3,0
individual,P39,P39,arousal,face,gnb,10,10,3,P39,120,96,24,106,14,0.5,0.875,0.0,0.0,0.0,21,0,3,0
individual,P39,P39,arousal,face,gnb,10,10,4,P39,120,96,24,106,14,0.5,0.875,0.0,0.0,0.0,21,0,3,0
individual,P39,P39,arousal,face,gnb,10,10,5,P39,120,96,24,106,14,0.40476190476190477,0.7083333333333334,0.0,0.0,0.0,17,4,3,0
individual,P40,P40,arousal,face,gnb,10,10,1,P40,120,96,24,46,74,0.6555555555555556,0.625,0.8,0.5333333333333333,0.64,7,2,7,8
individual,P40,P40,arousal,face,gnb,10,10,2,P40,120,96,24,46,74,0.5666666666666667,0.625,0.6666666666666666,0.8,0.7272727272727273,3,6,3,12
individual,P40,P40,arousal,face,gnb,10,10,3,P40,120,96,24,46,74,0.43333333333333335,0.4583333333333333,0.5714285714285714,0.5333333333333333,0.5517241379310345,3,6,7,8
individual,P40,P40,arousal,face,gnb,10,10,4,P40,120,96,24,46,74,0.5444444444444445,0.5416666666666666,0.6666666666666666,0.5333333333333333,0.5925925925925926,5,4,7,8
individual,P40,P40,arousal,face,gnb,10,10,5,P40,120,96,24,46,74,0.6071428571428572,0.625,0.6666666666666666,0.7142857142857143,0.6896551724137931,5,5,4,10
individual,P41,P41,arousal,face,gnb,10,10,1,P41,120,96,24,51,69,0.3601398601398601,0.375,0.4375,0.5384615384615384,0.4827586206896552,2,9,6,7
individual,P41,P41,arousal,face,gnb,10,10,2,P41,120,96,24,51,69,0.47857142857142854,0.5416666666666666,0.5714285714285714,0.8571428571428571,0.6857142857142857,1,9,2,12
