mode,participant,target,modality,classifier,feature_count_request,feature_count_resolved,folds,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_median,balanced_accuracy_min,balanced_accuracy_max,accuracy_mean,precision_mean,recall_mean,f1_mean
individual,P11,arousal,eeg,knn,5,5,5,0.5162937062937063,0.13459188287246282,0.4571428571428572,0.4,0.6928571428571428,0.5333333333333334,0.5844444444444444,0.6307692307692307,0.6047241379310344
individual,P11,arousal,eeg,knn,all,all,5,0.5477822177822178,0.11850514132092536,0.5594405594405594,0.4,0.6785714285714286,0.5666666666666667,0.5944659442724458,0.6901098901098901,0.6350053763440859
individual,P11,arousal,eeg,svm,10,10,5,0.49790209790209794,0.0046910517010485,0.5,0.48951048951048953,0.5,0.5583333333333333,0.5650000000000001,0.923076923076923,0.6969315179841495
individual,P11,arousal,eeg,svm,20,20,5,0.48050949050949054,0.08755575830500506,0.5,0.32867132867132864,0.5524475524475525,0.525,0.5445421245421246,0.7901098901098902,0.6369743206510581
individual,P11,arousal,eeg,svm,5,5,5,0.5440159840159839,0.06194928356984148,0.5142857142857143,0.49650349650349646,0.6428571428571428,0.5833333333333334,0.597687851364322,0.8043956043956044,0.6795051731893837
individual,P11,arousal,eeg,svm,all,all,5,0.48279720279720284,0.04667956573602129,0.5,0.4,0.513986013986014,0.5333333333333334,0.5516666666666666,0.8692307692307691,0.668610715979137
individual,P11,arousal,face,gnb,10,10,5,0.5733266733266733,0.09825561441620334,0.5428571428571428,0.48951048951048953,0.7342657342657343,0.6,0.6171241830065359,0.7648351648351649,0.6827534562211982
individual,P11,arousal,face,gnb,20,10,5,0.5733266733266733,0.09825561441620334,0.5428571428571428,0.48951048951048953,0.7342657342657343,0.6,0.6171241830065359,0.7648351648351649,0.6827534562211982
individual,P11,arousal,face,gnb,5,5,5,0.581018981018981,0.09131360284042321,0.5428571428571428,0.5071428571428571,0.7342657342657343,0.6083333333333333,0.6229575163398693,0.7802197802197802,0.6926056729699667
individual,P11,arousal,face,gnb,all,all,5,0.5733266733266733,0.09825561441620334,0.5428571428571428,0.48951048951048953,0.7342657342657343,0.6,0.6171241830065359,0.7648351648351649,0.6827534562211982
individual,P11,arousal,face,knn,10,10,5,0.5822277722277722,0.05529144964682609,0.5928571428571429,0.49650349650349646,0.6503496503496503,0.6083333333333333,0.622243391283639,0.7626373626373626,0.6836844875554553
individual,P11,arousal,face,knn,20,10,5,0.5822277722277722,0.05529144964682609,0.5928571428571429,0.49650349650349646,0.6503496503496503,0.6083333333333333,0.622243391283639,0.7626373626373626,0.6836844875554553
individual,P11,arousal,face,knn,5,5,5,0.5676423576423576,0.0753115357918422,0.5279720279720279,0.5071428571428571,0.6888111888111889,0.5916666666666666,0.6128921568627451,0.7516483516483516,0.6740823136818688
individual,P11,arousal,face,knn,all,all,5,0.5822277722277722,0.05529144964682609,0.5928571428571429,0.49650349650349646,0.6503496503496503,0.6083333333333333,0.622243391283639,0.7626373626373626,0.6836844875554553
individual,P11,arousal,face,svm,10,10,5,0.571958041958042,0.07929212590351058,0.5428571428571428,0.4928571428571429,0.6888111888111889,0.6083333333333333,0.6124561403508773,0.8384615384615385,0.707645477545857
individual,P11,arousal,face,svm,20,10,5,0.571958041958042,0.07929212590351058,0.5428571428571428,0.4928571428571429,0.6888111888111889,0.6083333333333333,0.6124561403508773,0.8384615384615385,0.707645477545857
individual,P11,arousal,face,svm,5,5,5,0.5638761238761238,0.10697228224448446,0.5279720279720279,0.4571428571428572,0.7342657342657343,0.5916666666666666,0.6118464052287582,0.765934065934066,0.6801056729699667
