participant,target,task,window_id,window_index,window_start_s,high_class_score,nearest_image_distance,image_reference_distance_percentile,image_reference_nearest_distance_p95,image_reference_nearest_distance_max,nearest_distance_exceeds_image_p95,nearest_distance_exceeds_image_max,mean_11_image_neighbor_distance,feature_domain_reliability
P19,valence,shape_sorter_observation,shape_sorter_observation_s1_0.000,1,0.0,0.0,102873.28726025109,100.0,1.3099880359456375,2.3901764237130623,True,True,102874.70062862529,beyond_image_reference
P19,valence,shape_sorter_observation,shape_sorter_observation_s1_1.000,2,1.0,0.0,1319.9922301175332,100.0,1.3099880359456375,2.3901764237130623,True,True,1321.4917630812195,beyond_image_reference
P19,valence,shape_sorter_observation,shape_sorter_observation_s1_2.000,3,2.0,0.0,51.01788035831986,100.0,1.3099880359456375,2.3901764237130623,True,True,52.81164560718705,beyond_image_reference
P19,valence,shape_sorter_observation,shape_sorter_observation_s1_3.000,4,3.0,2.3029538266704628e-12,3.3773053646562987,100.0,1.3099880359456375,2.3901764237130623,True,True,5.133011559114555,beyond_image_reference
P19,valence,shape_sorter_observation,shape_sorter_observation_s1_4.000,5,4.0,1.85126776460852e-303,43.05790614821083,100.0,1.3099880359456375,2.3901764237130623,True,True,44.90629519264399,beyond_image_reference
P19,valence,shape_sorter_observation,shape_sorter_observation_s1_5.000,6,5.0,5.302233732509111e-72,17.69321540579417,100.0,1.3099880359456375,2.3901764237130623,True,True,19.65418117931892,beyond_image_reference
P19,valence,shape_sorter_observation,shape_sorter_observation_s1_6.000,7,6.0,0.0,99.65116633363888,100.0,1.3099880359456375,2.3901764237130623,True,True,101.28560700689694,beyond_image_reference
P19,valence,shape_sorter_observation,shape_sorter_observation_s1_7.000,8,7.0,1.6125933830327599e-295,41.962077316486315,100.0,1.3099880359456375,2.3901764237130623,True,True,43.888458002011205,beyond_image_reference
P19,valence,shape_sorter_observation,shape_sorter_observation_s1_8.000,9,8.0,9.484495301666484e-165,30.224388596778233,100.0,1.3099880359456375,2.3901764237130623,True,True,32.13092223996381,beyond_image_reference
P19,valence,shape_sorter_observation,shape_sorter_observation_s1_9.000,10,9.0,0.0,99.00386502368437,100.0,1.3099880359456375,2.3901764237130623,True,True,100.62058523407003,beyond_image_reference
P19,valence,shape_sorter_observation,shape_sorter_observation_s1_10.000,11,10.0,0.0,78.93068369287838,100.0,1.3099880359456375,2.3901764237130623,True,True,80.58059843445068,beyond_image_reference
P19,valence,shape_sorter_observation,shape_sorter_observation_s1_11.000,12,11.0,0.0283292005297034,0.9961042302735256,88.33333333333333,1.3099880359456375,2.3901764237130623,False,False,2.2872240479189667,within_reference
P19,valence,shape_sorter_observation,shape_sorter_observation_s1_12.000,13,12.0,2.6569067732992287e-30,9.503029073947742,100.0,1.3099880359456375,2.3901764237130623,True,True,11.573490162723724,beyond_image_reference
P19,valence,shape_sorter_observation,shape_sorter_observation_s1_13.000,14,13.0,2.2656752267337465e-150,28.50823470959092,100.0,1.3099880359456375,2.3901764237130623,True,True,30.45804777742326,beyond_image_reference
P19,valence,shape_sorter_observation,shape_sorter_observation_s1_14.000,15,14.0,0.0,62.70054098944703,100.0,1.3099880359456375,2.3901764237130623,True,True,64.45676842016452,beyond_image_reference
P19,valence,shape_sorter_observation,shape_sorter_observation_s1_15.000,16,15.0,0.0,49.422908174937575,100.0,1.3099880359456375,2.3901764237130623,True,True,51.267772241379866,beyond_image_reference
P19,valence,shape_sorter_observation,shape_sorter_observation_s1_16.000,17,16.0,2.42765738683583e-151,28.580723897504512,100.0,1.3099880359456375,2.3901764237130623,True,True,30.424818389601604,beyond_image_reference
P19,valence,shape_sorter_observation,shape_sorter_observation_s1_17.000,18,17.0,1.4427445592975993e-08,3.9089627710549837,100.0,1.3099880359456375,2.3901764237130623,True,True,5.1180712301339355,beyond_image_reference
P19,valence,shape_sorter_observation,shape_sorter_observation_s1_18.000,19,18.0,2.1798275748920328e-37,11.341700391392521,100.0,1.3099880359456375,2.3901764237130623,True,True,13.268725061862709,beyond_image_reference
P19,valence,shape_sorter_observation,shape_sorter_observation_s1_19.000,20,19.0,2.4659408033810836e-197,33.90573775689864,100.0,1.3099880359456375,2.3901764237130623,True,True,35.642170684490175,beyond_image_reference
P19,valence,shape_sorter_observation,shape_sorter_observation_s1_20.000,21,20.0,9.11383402686435e-69,17.890699578737664,100.0,1.3099880359456375,2.3901764237130623,True,True,19.486521343779643,beyond_image_reference
P19,valence,shape_sorter_observation,shape_sorter_observation_s1_21.000,22,21.0,1.4016261366152556e-65,17.32427547125321,100.0,1.3099880359456375,2.3901764237130623,True,True,19.043323617190445,beyond_image_reference
P19,valence,shape_sorter_observation,shape_sorter_observation_s1_22.000,23,22.0,9.285660891199734e-23,8.114130873662567,100.0,1.3099880359456375,2.3901764237130623,True,True,9.708107416606149,beyond_image_reference
P19,valence,shape_sorter_observation,shape_sorter_observation_s1_23.000,24,23.0,4.192165561028119e-129,26.207049329662457,100.0,1.3099880359456375,2.3901764237130623,True,True,27.992756854276912,beyond_image_reference
P19,valence,shape_sorter_observation,shape_sorter_observation_s1_24.000,25,24.0,8.512024599202966e-204,33.9196618550563,100.0,1.3099880359456375,2.3901764237130623,True,True,35.85219028120998,beyond_image_reference
P19,valence,shape_sorter_observation,shape_sorter_observation_s1_25.000,26,25.0,1.33241568373003e-299,43.06244959996367,100.0,1.3099880359456375,2.3901764237130623,True,True,44.80849293600386,beyond_image_reference
P19,valence,shape_sorter_observation,shape_sorter_observation_s1_26.000,27,26.0,0.0002068774068708,2.369234738733129,99.16666666666667,1.3099880359456375,2.3901764237130623,True,False,3.3320184764600467,above_image_95pct
P19,valence,shape_sorter_observation,shape_sorter_observation_s1_27.000,28,27.0,1.9675003259073608e-06,2.7767113743803638,100.0,1.3099880359456375,2.3901764237130623,True,True,3.944266092887428,beyond_image_reference
P19,valence,shape_sorter_observation,shape_sorter_observation_s1_28.000,29,28.0,4.1768461069139546e-08,2.7991077594974123,100.0,1.3099880359456375,2.3901764237130623,True,True,4.2417971988425585,beyond_image_reference
P19,valence,shape_sorter_observation,shape_sorter_observation_s1_29.000,30,29.0,6.358659991676805e-62,16.746823038337407,100.0,1.3099880359456375,2.3901764237130623,True,True,18.450086195873105,beyond_image_reference
P19,valence,shape_sorter_observation,shape_sorter_observation_s1_30.000,31,30.0,7.633990537609903e-46,13.341231726582043,100.0,1.3099880359456375,2.3901764237130623,True,True,15.168776941480917,beyond_image_reference
P19,valence,shape_sorter_observation,shape_sorter_observation_s1_31.000,32,31.0,6.620060102429806e-72,18.19043192295592,100.0,1.3099880359456375,2.3901764237130623,True,True,20.042853179061073,beyond_image_reference
P19,valence,shape_sorter_observation,shape_sorter_observation_s1_32.000,33,32.0,4.737151193212725e-05,1.8115859727256634,98.33333333333333,1.3099880359456375,2.3901764237130623,True,False,2.708049630882352,above_image_95pct
P19,valence,shape_sorter_observation,shape_sorter_observation_s1_33.000,34,33.0,0.0013780674559269,1.4918297402223364,98.33333333333333,1.3099880359456375,2.3901764237130623,True,False,2.0863883923066187,above_image_95pct
P19,valence,shape_sorter_observation,shape_sorter_observation_s1_34.000,35,34.0,3.738610818728754e-32,8.712227429967397,100.0,1.3099880359456375,2.3901764237130623,True,True,10.662535708598226,beyond_image_reference
P19,valence,shape_sorter_observation,shape_sorter_observation_s1_35.000,36,35.0,7.109059240712164e-162,29.045741998071666,100.0,1.3099880359456375,2.3901764237130623,True,True,31.098942187888134,beyond_image_reference
P19,valence,shape_sorter_observation,shape_sorter_observation_s1_36.000,37,36.0,1.488434404346911e-302,43.416551256717376,100.0,1.3099880359456375,2.3901764237130623,True,True,45.10542337719747,beyond_image_reference
P19,valence,shape_sorter_observation,shape_sorter_observation_s1_37.000,38,37.0,7.673794207927354e-159,29.847198912939042,100.0,1.3099880359456375,2.3901764237130623,True,True,31.59643400306389,beyond_image_reference
P19,valence,shape_sorter_observation,shape_sorter_observation_s1_38.000,39,38.0,0.0,70.75255790394407,100.0,1.3099880359456375,2.3901764237130623,True,True,72.39625585893367,beyond_image_reference
P19,valence,shape_sorter_observation,shape_sorter_observation_s1_39.000,40,39.0,2.1814660220240053e-62,16.745653231782182,100.0,1.3099880359456375,2.3901764237130623,True,True,18.43745952957272,beyond_image_reference
P19,valence,shape_sorter_observation,shape_sorter_observation_s1_40.000,41,40.0,0.0002760917371293,2.8916860417757397,100.0,1.3099880359456375,2.3901764237130623,True,True,4.26222447091358,beyond_image_reference
