participant,representation,target,task,window_id,window_index,window_start_s,predicted_class,high_class_score,nearest_image_distance,image_reference_distance_percentile,image_reference_nearest_distance_p95,image_reference_nearest_distance_max,nearest_distance_exceeds_image_p95,nearest_distance_exceeds_image_max,feature_domain_reliability,selected_feature_abs_z_median,selected_feature_abs_z_p95
P19,A_existing_robot_features,valence,shape_sorter_observation,shape_sorter_observation_s1_37.000,38,37.0,LOW,7.673794207927355e-159,29.847198912939042,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,3.9213616444540156,27.752761770545455
P19,A_existing_robot_features,valence,shape_sorter_observation,shape_sorter_observation_s1_38.000,39,38.0,LOW,0.0,70.75255790394407,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,6.054844338010161,60.76875542845743
P19,A_existing_robot_features,valence,shape_sorter_observation,shape_sorter_observation_s1_39.000,40,39.0,LOW,2.1814660220240053e-62,16.745653231782182,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,2.260196895847215,17.009994910220637
P19,A_existing_robot_features,valence,shape_sorter_observation,shape_sorter_observation_s1_40.000,41,40.0,LOW,0.00027609173712932677,2.8916860417757397,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,1.5693530180712258,4.6328049205441975
P19,A_existing_robot_features,valence,shape_sorter_observation,shape_sorter_observation_s1_41.000,42,41.0,LOW,4.5835879199308074e-60,16.161418380656055,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,2.6884218515172957,16.571859948246228
P19,A_existing_robot_features,valence,shape_sorter_observation,shape_sorter_observation_s1_42.000,43,42.0,LOW,8.348196805240864e-159,29.447093448227925,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,4.675000106913736,27.576204049450272
P19,A_existing_robot_features,valence,shape_sorter_observation,shape_sorter_observation_s1_43.000,44,43.0,LOW,3.0800438311729576e-137,27.23159037377632,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,4.127977229280921,25.661188030336266
P19,A_existing_robot_features,valence,shape_sorter_observation,shape_sorter_observation_s1_44.000,45,44.0,LOW,4.339186066220089e-87,20.795552671564995,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,2.574256607139741,20.288034792875603
P19,A_existing_robot_features,valence,shape_sorter_observation,shape_sorter_observation_s1_45.000,46,45.0,LOW,1.2573022635572994e-76,19.32905346748211,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,2.1890818184619762,18.973947632939627
P19,A_existing_robot_features,valence,shape_sorter_observation,shape_sorter_observation_s1_46.000,47,46.0,LOW,4.243602640252451e-25,7.950225085212202,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,1.9991539434875751,9.74639119317998
P19,A_existing_robot_features,valence,shape_sorter_observation,shape_sorter_observation_s1_47.000,48,47.0,LOW,3.1890234902961645e-226,36.81051936045918,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,3.5771534743539135,33.40949777686547
P19,A_existing_robot_features,valence,shape_sorter_observation,shape_sorter_observation_s1_48.000,49,48.0,LOW,2.975545861902434e-23,7.657924881494052,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,1.9991539434875751,9.667927591608038
P19,A_existing_robot_features,valence,shape_sorter_observation,shape_sorter_observation_s1_49.000,50,49.0,LOW,5.32428502118009e-263,40.07773968220532,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,5.0837209527141205,36.01894343167886
P19,A_existing_robot_features,valence,shape_sorter_observation,shape_sorter_observation_s1_50.000,51,50.0,LOW,2.1604409968732366e-299,42.91051841423359,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,5.872506269532625,38.46405619784278
