participant,target,best_classifier,best_feature_family,best_channel_subset,best_feature_count_request,best_ba,fold_ba_sd,fold_ba_min,fold_ba_max,fold_ba_range,oof_sensitivity,oof_specificity,oof_sensitivity_specificity_gap,oof_absolute_sensitivity_specificity_gap,mean_pairwise_selected_feature_jaccard,n_features_selected_in_at_least_80pct_folds,stable_selected_feature_names,retained_trials,low_count,high_count,minority_class_count,minority_class_fraction,median_absolute_cohen_d_all_eeg,maximum_absolute_cohen_d_all_eeg,maximum_absolute_rank_biserial_all_eeg,top_rank_biserial_feature,top_rank_biserial_effect,standardized_centroid_distance_all_eeg,mean_within_class_distance_all_eeg,centroid_to_within_distance_ratio_all_eeg,median_candidate_ba,mean_candidate_ba,best_representation,best_representation_median_ba,second_representation,second_representation_median_ba,representation_median_spread_ba,best_classifier_by_candidate_median,best_classifier_candidate_median_ba,classifier_median_spread_ba,severe_class_imbalance,threshold_optimization_plausible,diagnostic_classification,diagnostic_rationale
P15,arousal,svm,paper_compact,frontal_central,10,0.5216666666666667,0.0953874490281544,0.4166666666666666,0.6777777777777778,0.26111111111111124,0.7303370786516854,0.30434782608695654,0.42598925256472886,0.42598925256472886,0.34285714285714286,3,eeg_mf_hz__C4;eeg_hc__Fz;eeg_se_beta__C4,112,23,89,23,0.20535714285714285,0.16827832617175498,0.46243417175342383,0.30727894479726436,eeg_se_alpha__Fz,0.30727894479726436,2.320390991847298,15.132799726045157,0.15333520788315583,0.4644607843137255,0.4636855482933914,paper_compact|all_channels,0.4911764705882353,all_eeg|all_channels,0.45303921568627453,0.03813725490196079,svm,0.49333333333333335,0.05531045751633984,True,True,possible classifier/threshold limitation,severe class imbalance plus asymmetric held-out sensitivity/specificity
P16,arousal,logreg,paper_compact,all_channels,10,0.6788888888888889,0.068171669652502,0.6111111111111112,0.775,0.16388888888888886,0.7466666666666667,0.6097560975609756,0.1369105691056911,0.1369105691056911,0.5073260073260073,7,eeg_bp_beta__Cz;eeg_bp_gamma__PO7;eeg_bp_gamma__PO8;eeg_hm__PO7;eeg_se_beta__PO7;eeg_sd__PO7;eeg_sd__Fz,116,41,75,41,0.35344827586206895,0.17265212756863596,0.7343805007153166,0.37365853658536585,eeg_hm__PO7,-0.37365853658536585,2.6484248481569996,14.976491083122667,0.1768388091347757,0.6123611111111111,0.5961574074074074,paper_compact|all_channels,0.6259722222222223,all_eeg|all_channels,0.6212500000000001,0.004722222222222183,logreg,0.6311111111111112,0.02416666666666667,False,False,unclear,robust reference; no weakness mechanism assigned
P17,arousal,gnb,all_eeg,all_channels,8,0.626890756302521,0.0699705257361488,0.5277777777777778,0.7156862745098038,0.18790849673202603,0.7816091954022989,0.46875,0.3128591954022989,0.3128591954022989,0.4006526806526806,3,eeg_bp_theta__Pz;eeg_se_delta__Fz;eeg_se_alpha__Oz,119,32,87,32,0.2689075630252101,0.10282862059757918,0.5025125675452994,0.24425287356321834,eeg_se_alpha__Oz,-0.24425287356321834,1.878590485694248,14.832318848592383,0.1266552118297086,0.5191176470588235,0.5293054258740533,all_eeg|all_channels,0.5721055088702147,paper_compact|frontal_central,0.5191176470588235,0.05298786181139126,logreg,0.5234827264239029,0.009593837535014083,True,True,unclear,not in focused weak stratum (<0.55 BA)
P18,arousal,logreg,paper_compact,all_channels,10,0.5952797202797203,0.1178536515590919,0.4195804195804196,0.7424242424242424,0.32284382284382285,0.5614035087719298,0.6229508196721312,-0.06154731090020138,0.06154731090020138,0.4279304029304029,7,eeg_hc__PO8;eeg_mf_hz__PO8;eeg_se_beta__Pz;eeg_sd__Fz;eeg_hm__Fz;eeg_hc__Fz;eeg_se_beta__C4,118,61,57,57,0.4830508474576271,0.14403658151235355,0.6612811614869291,0.33793500143802124,eeg_se_delta__Fz,-0.33793500143802124,2.4922017699339034,14.844616815760805,0.16788589431880024,0.5352564102564102,0.5357614607614608,paper_compact|all_channels,0.5382867132867133,all_eeg|all_channels,0.536946386946387,0.0013403263403263255,logreg,0.5525932400932401,0.021824009324009297,False,False,unclear,not in focused weak stratum (<0.55 BA)
P19,arousal,logreg,all_eeg,all_channels,10,0.7041958041958042,0.0309396109169635,0.6573426573426573,0.7412587412587412,0.08391608391608396,0.6545454545454545,0.7538461538461538,-0.09930069930069929,0.09930069930069929,0.5293040293040293,7,eeg_bp_beta__Fz;eeg_hc__Fz;eeg_bp_beta__PO8;eeg_hm__Fz;eeg_se__Fz;eeg_mf_hz__Fz;eeg_hc__PO8,120,65,55,55,0.4583333333333333,0.24346220583263026,0.8807926419989573,0.4976223776223776,eeg_bp_beta__PO8,-0.4976223776223776,3.578737153439271,15.043901852028247,0.23788623381352217,0.651048951048951,0.6481351981351982,all_eeg|all_channels,0.6562937062937062,paper_compact|all_channels,0.6461538461538461,0.010139860139860124,logreg,0.6636363636363636,0.020279720279720248,False,False,unclear,robust reference; no weakness mechanism assigned
P20,arousal,gnb,all_eeg,all_channels,8,0.5215384615384615,0.0995444918185508,0.4294871794871794,0.6858974358974359,0.2564102564102565,0.65625,0.3793103448275862,0.2769396551724138,0.2769396551724138,0.18446886446886449,1,eeg_se_delta__Cz,93,29,64,29,0.3118279569892473,0.15386784838569473,0.5301179392896201,0.2801724137931034,eeg_se_theta__Oz,-0.2801724137931034,2.2126924658679075,15.145440291583235,0.14609627869964043,0.4737820512820513,0.4626210826210826,all_eeg|all_channels,0.4903205128205128,paper_compact|frontal_central,0.4509615384615384,0.0393589743589744,gnb,0.4935897435897436,0.05442307692307702,False,False,unclear,weak BA without a sufficiently specific descriptive pattern
P21,arousal,svm,paper_compact,frontal_central,10,0.6003205128205128,0.0682992356785401,0.5096153846153846,0.6965811965811965,0.18696581196581197,0.5116279069767442,0.6923076923076923,-0.18067978533094808,0.18067978533094808,0.3405408317173023,3,eeg_se_gamma__Fz;eeg_se_gamma__C4;eeg_se_gamma__Cz,108,65,43,43,0.39814814814814814,0.1370955441734333,0.683284938401741,0.34025044722719144,eeg_se_gamma__Fz,0.34025044722719144,2.370655143081982,15.072979648814417,0.1572784677161326,0.5825320512820513,0.5733855650522317,paper_compact|all_channels,0.5924145299145299,paper_compact|frontal_central,0.582905982905983,0.009508547008546975,logreg,0.5920405982905983,0.027670940170940073,False,False,unclear,not in focused weak stratum (<0.55 BA)
P22,arousal,gnb,paper_compact,all_channels,10,0.594920634920635,0.1185832211895706,0.4777777777777777,0.7222222222222222,0.24444444444444452,0.35555555555555557,0.8333333333333334,-0.4777777777777778,0.4777777777777778,0.5317266067266068,8,eeg_hc__C4;eeg_mf_hz__Cz;eeg_hc__Cz;eeg_bp_gamma__Pz;eeg_hm__Cz;eeg_se_beta__C4;eeg_se_beta__Fz;eeg_sd__Cz,117,72,45,45,0.38461538461538464,0.12100114336051496,0.5899917812641228,0.3617283950617284,eeg_se_delta__Cz,-0.3617283950617284,2.1079032050083213,15.242358875749883,0.138292453431334,0.5757142857142856,0.5636772486772487,paper_compact|frontal_central,0.5815079365079365,all_eeg|all_channels,0.5765873015873015,0.004920634920634992,gnb,0.5877777777777777,0.050555555555555465,False,False,unclear,not in focused weak stratum (<0.55 BA)
P23,arousal,gnb,paper_compact,frontal_central,10,0.5131827731092437,0.0669960482424434,0.4621848739495798,0.6116071428571428,0.149422268907563,0.7926829268292683,0.2222222222222222,0.5704607046070461,0.5704607046070461,0.3537007110536522,5,eeg_bp_gamma__Cz;eeg_bp_gamma__Fz;eeg_bp_gamma__C3;eeg_hm__Fz;eeg_sd__C3,118,36,82,36,0.3050847457627119,0.17847197546535776,0.5225296636224827,0.3224932249322493,eeg_bp_alpha__PO7,-0.3224932249322493,2.3565561362805476,15.017367873138987,0.15692204893612766,0.43826155462184874,0.4449988328664799,paper_compact|frontal_central,0.4914128151260504,paper_compact|all_channels,0.4379464285714285,0.05346638655462188,gnb,0.47069327731092436,0.04950105042016811,False,False,unclear,weak BA without a sufficiently specific descriptive pattern
P24,arousal,svm,all_eeg,all_channels,8,0.5647086247086247,0.1775247362385603,0.3692307692307692,0.7878787878787878,0.41864801864801865,0.59375,0.5471698113207547,0.046580188679245293,0.046580188679245293,0.21875457875457874,1,eeg_se_alpha__Fz,117,53,64,53,0.452991452991453,0.1176403497855155,0.6715249038216387,0.36202830188679247,eeg_se_alpha__Fz,-0.36202830188679247,1.8934651915810339,15.121855980821415,0.12521380933547163,0.4623951048951049,0.4682504532504532,all_eeg|all_channels,0.5202738927738928,paper_compact|all_channels,0.4623951048951049,0.05787878787878792,logreg,0.4753438228438229,0.012948717948718047,False,False,unclear,not in focused weak stratum (<0.55 BA)
