mode,participant,target,modality,classifier,feature_count_request,feature_count_resolved,folds,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_median,balanced_accuracy_min,balanced_accuracy_max,accuracy_mean,precision_mean,recall_mean,f1_mean
general,COHORT,arousal,multimodal,svm,all,all,46,0.5000303550464157,0.030950988993608215,0.5,0.4206730769230769,0.5721220527045769,0.578964207410706,0.5939886150803867,0.8091732151306136,0.6683845210517326
general,COHORT,valence,eeg,gnb,10,10,46,0.496291658743527,0.026416254589230102,0.5,0.398989898989899,0.5428571428571429,0.5342290006611045,0.5534075160729012,0.8502836993491872,0.6435404653214433
general,COHORT,valence,eeg,gnb,20,20,46,0.49567645608546756,0.025089652306055192,0.5,0.4397463002114165,0.5547619047619048,0.52381187028127,0.5503857227487507,0.8209223537517729,0.6254914164619343
general,COHORT,valence,eeg,gnb,5,5,46,0.4949891672840964,0.03920703493583835,0.5,0.41285714285714287,0.59,0.528168472093484,0.5661657548771665,0.7607766480806355,0.6215057233766066
general,COHORT,valence,eeg,gnb,all,all,46,0.4958715804222636,0.03324955846957455,0.4994868035190616,0.3982180610087587,0.5880952380952381,0.5365547097590951,0.5542216364597197,0.8389521913637946,0.6541108650669214
general,COHORT,valence,eeg,knn,10,10,46,0.4970744206055271,0.0479730125818501,0.4949677196951163,0.3881578947368421,0.5863636363636364,0.5098985982200078,0.5657541171567978,0.6439738876800317,0.5892271921237038
general,COHORT,valence,eeg,knn,20,20,46,0.4995874092798083,0.046658539178279314,0.49969610362755523,0.38764880952380953,0.6436651583710407,0.5159073108458092,0.5721048311691115,0.63169360412191,0.589975903965416
general,COHORT,valence,eeg,knn,5,5,46,0.519487562270377,0.05565365403078601,0.5170078577336641,0.4228571428571429,0.6711538461538462,0.5341921605631458,0.5891359271913804,0.6402781241326939,0.6058733099615915
general,COHORT,valence,eeg,knn,all,all,46,0.49490902605004733,0.03480140731386351,0.4976329322605251,0.4006734006734006,0.5712669683257918,0.5189672047226067,0.5705064147573885,0.6759761906097175,0.6090509082881193
general,COHORT,valence,eeg,svm,10,10,46,0.4977336022994857,0.03352516552909079,0.5,0.38973063973063976,0.600203804347826,0.5494758704671466,0.5697503708794559,0.9012792592982187,0.684055525460297
general,COHORT,valence,eeg,svm,20,20,46,0.5032350145367576,0.04438338533813527,0.5,0.37976190476190474,0.6099163679808841,0.5287047201111656,0.5661979594190684,0.7296353404801524,0.6071986029254107
