branch,target,task_type,metric,n_participants,mean,sd,median,q1,q3,iqr
modality_agnostic,valence,Observation,mean_top3_probability_range,46,0.36465028845793485,0.160162892599155,0.3569518647992651,0.24611606909724187,0.45497080502572235,0.20885473592848047
modality_agnostic,valence,Observation,median_top3_probability_range,46,0.3598698071617212,0.17328156968880984,0.3552080244859448,0.23366147183940478,0.42592522430975893,0.19226375247035415
modality_agnostic,valence,Observation,complete_top3_coverage,46,0.9163674316686816,0.08696142994736812,0.902742245198874,0.8581926152586125,1.0,0.14180738474138754
modality_agnostic,valence,Observation,nearest_image_distance,46,3.049161307340594,2.096595604637892,2.367948368477647,1.8142734352629188,3.5420982312879024,1.7278247960249835
modality_agnostic,valence,Observation,outside_selected_fraction,46,0.14282887770210803,0.09420624185232973,0.11662295394447289,0.07932656101214472,0.20006026886645642,0.1207337078543117
modality_agnostic,valence,Observation,median_abs_image_z,46,1.0093662960596856,0.3014035122796364,0.9393672098308232,0.7855236186419806,1.104729807518268,0.3192061888762875
modality_agnostic,valence,Interaction,task_consensus_p_high,44,0.5450475395750183,0.21380448920720413,0.4758346853987552,0.4028403128644112,0.6887351032505332,0.28589479038612203
modality_agnostic,valence,Interaction,absolute_margin,44,0.17477262981411837,0.13552888071927416,0.14941545318689503,0.07922469139577518,0.21438731501602015,0.13516262362024498
modality_agnostic,valence,Interaction,unanimous_agreement_rate,44,0.5423376702852328,0.22990859798483032,0.5483264438695492,0.40921276405298956,0.6840324091176171,0.2748196450646275
modality_agnostic,valence,Interaction,disagreement_rate,44,0.45766232971476717,0.2299085979848303,0.45167355613045074,0.3159675908823828,0.5907872359470103,0.2748196450646275
modality_agnostic,valence,Interaction,mean_top3_probability_range,44,0.370146341566098,0.16022748831297823,0.36917190750217943,0.27193691016076055,0.43037399386302916,0.1584370837022686
modality_agnostic,valence,Interaction,median_top3_probability_range,44,0.36364531402631356,0.17606852962938574,0.3583001361036502,0.2557281629974226,0.4252050988835984,0.1694769358861758
modality_agnostic,valence,Interaction,complete_top3_coverage,44,0.9332676222596228,0.08302335377455355,0.927456317896647,0.9027239403531416,1.0,0.09727605964685837
modality_agnostic,valence,Interaction,nearest_image_distance,44,4.066125525839764,2.4870034402077352,3.7090485418333863,2.20332430941325,5.054478965711918,2.851154656298668
modality_agnostic,valence,Interaction,outside_selected_fraction,44,0.17923506824139765,0.10951674300973384,0.15592042833533104,0.09004121997344883,0.24434939817511164,0.15430817820166282
modality_agnostic,valence,Interaction,median_abs_image_z,44,1.1430151243066868,0.3743981181003983,1.0475261716521638,0.9132712350818867,1.319093602112591,0.4058223670307043
modality_agnostic,valence,Alone,task_consensus_p_high,44,0.5401997312629212,0.26599701468395265,0.5029135072241907,0.3982643064912172,0.7294187213485278,0.3311544148573106
modality_agnostic,valence,Alone,absolute_margin,44,0.21005091024491182,0.16510768735675355,0.17438747072817615,0.08447526955499142,0.32251998069763976,0.23804471114264836
modality_agnostic,valence,Alone,unanimous_agreement_rate,44,0.5728694142233697,0.31363645165856396,0.6092436974789917,0.39583333333333337,0.8290229885057472,0.4331896551724138
modality_agnostic,valence,Alone,disagreement_rate,44,0.4271305857766304,0.31363645165856396,0.39075630252100835,0.17097701149425287,0.6041666666666667,0.43318965517241387
modality_agnostic,valence,Alone,mean_top3_probability_range,44,0.36539844987809045,0.20971528231239686,0.3485726811242416,0.24296082763411103,0.46776454279858526,0.22480371516447423
