branch,target,participant,comparison,left_condition,right_condition,metric,left_value,right_value,delta_left_minus_right,included
eeg_only,arousal,P08,fault_effect,FAULTY_FAST,CONTROL_FAST,absolute_margin,0.0055910538910947,0.0019939119558938,0.0035971419352009,True
eeg_only,arousal,P09,fault_effect,FAULTY_FAST,CONTROL_FAST,absolute_margin,0.4999999999998623,0.4878495427593918,0.01215045724047048,True
eeg_only,arousal,P10,fault_effect,FAULTY_FAST,CONTROL_FAST,absolute_margin,0.0435262826594926,0.0533784359798715,-0.0098521533203789,True
eeg_only,arousal,P11,fault_effect,FAULTY_FAST,CONTROL_FAST,absolute_margin,0.2778021544090806,0.1954071196668803,0.08239503474220033,True
eeg_only,arousal,P12,fault_effect,FAULTY_FAST,CONTROL_FAST,absolute_margin,0.2498428529792113,0.2036328891063585,0.04620996387285281,True
eeg_only,arousal,P13,fault_effect,FAULTY_FAST,CONTROL_FAST,absolute_margin,0.0458694715012669,0.0236414889316124,0.022227982569654497,True
eeg_only,arousal,P14,fault_effect,FAULTY_FAST,CONTROL_FAST,absolute_margin,0.0709035464390256,0.0112932135232821,0.059610332915743504,True
eeg_only,arousal,P15,fault_effect,FAULTY_FAST,CONTROL_FAST,absolute_margin,0.2748053089608541,0.2945057238784059,-0.01970041491755181,True
eeg_only,arousal,P16,fault_effect,FAULTY_FAST,CONTROL_FAST,absolute_margin,0.2547758918722319,0.1818814712711203,0.07289442060111156,True
eeg_only,arousal,P17,fault_effect,FAULTY_FAST,CONTROL_FAST,absolute_margin,0.0286751585063214,0.2138878537201518,-0.18521269521383038,True
eeg_only,arousal,P18,fault_effect,FAULTY_FAST,CONTROL_FAST,absolute_margin,0.0136693701229386,0.0152438357189503,-0.001574465596011699,True
eeg_only,arousal,P19,fault_effect,FAULTY_FAST,CONTROL_FAST,absolute_margin,0.3826889676274303,0.1717886486023956,0.21090031902503473,True
eeg_only,arousal,P20,fault_effect,FAULTY_FAST,CONTROL_FAST,absolute_margin,0.2243733987019602,0.336699349581427,-0.11232595087946678,True
eeg_only,arousal,P21,fault_effect,FAULTY_FAST,CONTROL_FAST,absolute_margin,0.0094489628169573,0.0135174319898985,-0.0040684691729411995,True
eeg_only,arousal,P22,fault_effect,FAULTY_FAST,CONTROL_FAST,absolute_margin,0.3098352252995014,0.09797662457743,0.2118586007220714,True
eeg_only,arousal,P23,fault_effect,FAULTY_FAST,CONTROL_FAST,absolute_margin,0.2273235696472916,0.2447999050709068,-0.01747633542361518,True
eeg_only,arousal,P24,fault_effect,FAULTY_FAST,CONTROL_FAST,absolute_margin,0.0452820612707698,0.1064265990312189,-0.0611445377604491,True
eeg_only,arousal,P25,fault_effect,FAULTY_FAST,CONTROL_FAST,absolute_margin,0.1825189585445973,0.4097742652293354,-0.22725530668473812,True
eeg_only,arousal,P26,fault_effect,FAULTY_FAST,CONTROL_FAST,absolute_margin,0.0471767176224668,0.494087371539371,-0.4469106539169042,True
eeg_only,arousal,P27,fault_effect,FAULTY_FAST,CONTROL_FAST,absolute_margin,0.2417095854147153,0.2690520143633719,-0.0273424289486566,True
eeg_only,arousal,P28,fault_effect,FAULTY_FAST,CONTROL_FAST,absolute_margin,0.1063828101599588,0.058646506289976,0.0477363038699828,True
eeg_only,arousal,P29,fault_effect,FAULTY_FAST,CONTROL_FAST,absolute_margin,0.0180031439771017,0.0577259960315101,-0.0397228520544084,True
