branch,target,actual_condition,metric,n_participants,mean,sd,median,q1,q3,iqr
eeg_only,arousal,FAULTY_SLOW,nearest_image_distance,1,3.390156921765892,,3.390156921765892,3.390156921765892,3.390156921765892,0.0
eeg_only,arousal,FAULTY_SLOW,outside_selected_fraction,1,0.1866141732283464,,0.1866141732283464,0.1866141732283464,0.1866141732283464,0.0
eeg_only,arousal,FAULTY_SLOW,median_abs_image_z,1,1.1826976699279343,,1.1826976699279343,1.1826976699279343,1.1826976699279343,0.0
eeg_only,valence,FAULTY_SLOW,task_consensus_p_high,1,0.4397633597841676,,0.4397633597841676,0.4397633597841676,0.4397633597841676,0.0
eeg_only,valence,FAULTY_SLOW,absolute_margin,1,0.0602366402158324,,0.0602366402158324,0.0602366402158324,0.0602366402158324,0.0
eeg_only,valence,FAULTY_SLOW,unanimous_agreement_rate,1,0.7480314960629921,,0.7480314960629921,0.7480314960629921,0.7480314960629921,0.0
eeg_only,valence,FAULTY_SLOW,disagreement_rate,1,0.2519685039370078,,0.2519685039370078,0.2519685039370078,0.2519685039370078,0.0
eeg_only,valence,FAULTY_SLOW,mean_top3_probability_range,1,0.3691657580102844,,0.3691657580102844,0.3691657580102844,0.3691657580102844,0.0
eeg_only,valence,FAULTY_SLOW,median_top3_probability_range,1,0.3371448795903037,,0.3371448795903037,0.3371448795903037,0.3371448795903037,0.0
eeg_only,valence,FAULTY_SLOW,complete_top3_coverage,1,1.0,,1.0,1.0,1.0,0.0
eeg_only,valence,FAULTY_SLOW,nearest_image_distance,1,1.7127477983255674,,1.7127477983255674,1.7127477983255674,1.7127477983255674,0.0
eeg_only,valence,FAULTY_SLOW,outside_selected_fraction,1,0.0954724409448818,,0.0954724409448818,0.0954724409448818,0.0954724409448818,0.0
eeg_only,valence,FAULTY_SLOW,median_abs_image_z,1,0.9477809977635228,,0.9477809977635228,0.9477809977635228,0.9477809977635228,0.0
modality_agnostic,arousal,CONTROL_SLOW,task_consensus_p_high,45,0.532366458342431,0.27106211296941335,0.5111936350438898,0.4104125733956141,0.7719404952877413,0.36152792189212724
modality_agnostic,arousal,CONTROL_SLOW,absolute_margin,45,0.20793475964947045,0.17414518438968796,0.1822924768730442,0.0241355770565345,0.3564532719950208,0.3323176949384863
modality_agnostic,arousal,CONTROL_SLOW,unanimous_agreement_rate,45,0.6403408722939481,0.23148227565761878,0.6666666666666666,0.5,0.8155339805825242,0.31553398058252424
modality_agnostic,arousal,CONTROL_SLOW,disagreement_rate,45,0.35965912770605185,0.23148227565761878,0.3333333333333333,0.1844660194174757,0.5,0.3155339805825243
modality_agnostic,arousal,CONTROL_SLOW,mean_top3_probability_range,45,0.3249666412217058,0.16862980658202878,0.3143386771126181,0.2147507801293817,0.4121524052077754,0.1974016250783937
modality_agnostic,arousal,CONTROL_SLOW,median_top3_probability_range,45,0.3058269788250427,0.19229887066873183,0.2834150760633579,0.1675717650453337,0.412602944347169,0.2450311793018353
modality_agnostic,arousal,CONTROL_SLOW,complete_top3_coverage,45,0.9513616804714469,0.07001912554477409,0.9714285714285714,0.9369369369369368,1.0,0.0630630630630632
modality_agnostic,arousal,CONTROL_SLOW,nearest_image_distance,45,3.738371367896681,2.4450567285364824,2.994685973349186,1.9141230606717927,4.864509796757576,2.9503867360857834
modality_agnostic,arousal,CONTROL_SLOW,outside_selected_fraction,45,0.14471679844492055,0.13003980957642533,0.1182432432432432,0.043,0.1820224719101123,0.1390224719101123
modality_agnostic,arousal,CONTROL_SLOW,median_abs_image_z,45,1.0742754882728427,0.6197541921199167,0.8561541165919998,0.7370937633362081,1.2058903997817851,0.468796636445577
modality_agnostic,arousal,CONTROL_FAST,task_consensus_p_high,46,0.5206477556911137,0.27426212302346786,0.5135112630129108,0.3747950164319179,0.7167678755594968,0.3419728591275789
modality_agnostic,arousal,CONTROL_FAST,absolute_margin,46,0.21094211430719675,0.17369550240886156,0.19275718018873939,0.0607555702147069,0.3583230867749985,0.2975675165602916
modality_agnostic,arousal,CONTROL_FAST,unanimous_agreement_rate,46,0.6457629350800564,0.2552126604675101,0.6602564102564102,0.5023584905660378,0.864602307225258,0.36224381665922023
modality_agnostic,arousal,CONTROL_FAST,disagreement_rate,46,0.3542370649199435,0.25521266046751007,0.3397435897435897,0.1353976927747419,0.49764150943396224,0.36224381665922034
modality_agnostic,arousal,CONTROL_FAST,mean_top3_probability_range,46,0.3204224486324846,0.16901795493077149,0.3059091693219364,0.21818190692642075,0.42479179604799044,0.2066098891215697
modality_agnostic,arousal,CONTROL_FAST,median_top3_probability_range,46,0.3032946720718229,0.18918746060468866,0.2655258023325673,0.18457986106021113,0.3995486360683463,0.21496877500813516
modality_agnostic,arousal,CONTROL_FAST,complete_top3_coverage,46,0.8800808967875536,0.1823420313678918,0.9346092503987241,0.8833333333333333,1.0,0.1166666666666667
modality_agnostic,arousal,CONTROL_FAST,nearest_image_distance,46,5.21213573385328,10.844072939815387,2.9854613687550913,2.1097763606526065,4.785089406912319,2.6753130462597126
modality_agnostic,arousal,CONTROL_FAST,outside_selected_fraction,46,0.16218786151285308,0.13583863185873926,0.12948113207547168,0.06246058440193392,0.19198113207547166,0.12952054767353774
modality_agnostic,arousal,CONTROL_FAST,median_abs_image_z,46,1.1305561881549193,0.6450602574962855,0.9754735859277951,0.7836845449996149,1.252460710183335,0.46877616518372
modality_agnostic,arousal,FAULTY_FAST,task_consensus_p_high,46,0.5201704601117354,0.26163762788254175,0.5204373901039014,0.36449234081188003,0.7386198937687021,0.37412755295682204
modality_agnostic,arousal,FAULTY_FAST,absolute_margin,46,0.2038254581657357,0.1624872342031087,0.18613482612691978,0.040733663799900975,0.31193768772969604,0.2712040239297951
modality_agnostic,arousal,FAULTY_FAST,unanimous_agreement_rate,46,0.6014089917709031,0.2699947955280558,0.6417410714285714,0.4073660714285714,0.828125,0.4207589285714286
modality_agnostic,arousal,FAULTY_FAST,disagreement_rate,46,0.3985910082290969,0.2699947955280557,0.35825892857142855,0.171875,0.5926339285714286,0.4207589285714286
modality_agnostic,arousal,FAULTY_FAST,mean_top3_probability_range,46,0.3420911771310072,0.18402583643955053,0.33559385567252253,0.19676098093212668,0.4759451350271203,0.27918415409499364
modality_agnostic,arousal,FAULTY_FAST,median_top3_probability_range,46,0.3340160722612906,0.21895732031142115,0.3316841697683317,0.16860306698580027,0.44101360011108753,0.2724105331252873
modality_agnostic,arousal,FAULTY_FAST,complete_top3_coverage,46,0.9057622072024,0.14503884594603159,0.948200175592625,0.8906746933212176,1.0,0.10932530667878237
modality_agnostic,arousal,FAULTY_FAST,nearest_image_distance,46,4.01646976136175,2.931793906456702,3.1675456207202846,1.9960307109942135,4.84255770843074,2.8465269974365266
modality_agnostic,arousal,FAULTY_FAST,outside_selected_fraction,46,0.16215704527051053,0.1303577248253764,0.12321428571428569,0.06156782670454545,0.25234375,0.19077592329545454
modality_agnostic,arousal,FAULTY_FAST,median_abs_image_z,46,1.1730597081347924,0.6533559485474213,0.9280038289667686,0.7566831225737303,1.3218014522825934,0.5651183297088631
modality_agnostic,valence,CONTROL_SLOW,task_consensus_p_high,45,0.5846381766806839,0.1938225901521347,0.5702391532866953,0.4533786996654673,0.7100871227335015,0.2567084230680342
modality_agnostic,valence,CONTROL_SLOW,absolute_margin,45,0.16287706180845862,0.1332732505662507,0.1212938992665404,0.0598682760416771,0.2276160654355664,0.1677477893938893
modality_agnostic,valence,CONTROL_SLOW,unanimous_agreement_rate,45,0.51829194353302,0.23794612915260802,0.5702479338842975,0.3275862068965517,0.7142857142857143,0.3866995073891626
modality_agnostic,valence,CONTROL_SLOW,disagreement_rate,45,0.4817080564669799,0.237946129152608,0.4297520661157025,0.2857142857142857,0.6724137931034483,0.3866995073891626
modality_agnostic,valence,CONTROL_SLOW,mean_top3_probability_range,45,0.37599862184321947,0.17461107764791586,0.3516265849840367,0.2549347393284144,0.4495373252711305,0.19460258594271612
modality_agnostic,valence,CONTROL_SLOW,median_top3_probability_range,45,0.3813363691647536,0.20858251028218025,0.3598982924509003,0.2152203073583468,0.4296923769276269,0.2144720695692801
modality_agnostic,valence,CONTROL_SLOW,complete_top3_coverage,45,0.9545708467272721,0.05392014802628575,0.9629629629629628,0.9369369369369368,1.0,0.0630630630630632
modality_agnostic,valence,CONTROL_SLOW,nearest_image_distance,45,3.02835294785655,2.050749573649273,2.582954374344607,1.734184734941738,3.410285279362914,1.676100544421176
modality_agnostic,valence,CONTROL_SLOW,outside_selected_fraction,45,0.1335222861972052,0.09184535059809527,0.1111111111111111,0.0609504132231404,0.2111111111111111,0.1501606978879707
modality_agnostic,valence,CONTROL_SLOW,median_abs_image_z,45,0.9761139588684816,0.32079528847087346,0.903183884217342,0.7660791519030683,1.070280239064597,0.3042010871615286
modality_agnostic,valence,CONTROL_FAST,task_consensus_p_high,46,0.5567574167118717,0.2200861386716162,0.5407521159836999,0.430706154389484,0.6605959399917983,0.22988978560231432
modality_agnostic,valence,CONTROL_FAST,absolute_margin,46,0.1676057578913004,0.1517067885518805,0.1071376062803666,0.05519538319299655,0.24627378819448908,0.19107840500149254
modality_agnostic,valence,CONTROL_FAST,unanimous_agreement_rate,46,0.5457670379856427,0.2197019305632547,0.5681003584229392,0.3893791844187462,0.7222222222222222,0.332843037803476
modality_agnostic,valence,CONTROL_FAST,disagreement_rate,46,0.4542329620143572,0.21970193056325474,0.4318996415770609,0.2777777777777778,0.6106208155812538,0.332843037803476
modality_agnostic,valence,CONTROL_FAST,mean_top3_probability_range,46,0.3611887898555918,0.15915922198651236,0.3469695273333468,0.2563683209421224,0.40711541168603926,0.15074709074391685
modality_agnostic,valence,CONTROL_FAST,median_top3_probability_range,46,0.361096785514154,0.17391722270216223,0.34246326045741254,0.2386394803337366,0.40171808606135406,0.16307860572761745
modality_agnostic,valence,CONTROL_FAST,complete_top3_coverage,46,0.886215500302048,0.17342592580276783,0.9253731343283582,0.888423645320197,1.0,0.11157635467980298
modality_agnostic,valence,CONTROL_FAST,nearest_image_distance,46,3.0379744708306933,2.303459637569386,2.4548217096394684,1.7277684998892529,3.1171851963813966,1.3894166964921437
modality_agnostic,valence,CONTROL_FAST,outside_selected_fraction,46,0.14755353258189116,0.10959358165364756,0.1166906682027649,0.05563885267275093,0.21487455197132616,0.15923569929857523
