held_out_participant,architecture,train_rows,validation_rows,test_rows,best_epoch,best_validation_mse,validation_rmse,validation_mae,test_rmse,test_mae,dummy_validation_rmse,dummy_validation_mae,dummy_test_rmse,dummy_test_mae,validation_rmse_delta,test_rmse_delta,validation_ba,test_ba,test_accuracy
P12,baseline,3461,812,120,44,2.3464651107788086,1.5318175554275513,1.269180178642273,1.529666781425476,1.2099359035491943,1.5371050033505118,1.3078931599540553,1.6673423611853408,1.3640132909563714,-0.005287447922960542,-0.13767557975986477,0.5039207814799946,0.5603448275862069,0.6166666666666667
P15,baseline,3477,804,112,2,3.7434189319610596,1.9347916841506958,1.6570976972579956,1.4831598997116089,1.1202876567840576,1.8743592098737918,1.6108199296871983,1.3597782507040164,0.923810550967583,0.060432474276904014,0.12338164900759252,0.5247334754797441,0.5583781143136297,0.375
P16,baseline,3464,813,116,11,3.4274771213531494,1.8513447046279907,1.5837236642837524,1.678511381149292,1.446880578994751,1.8294087370252652,1.5714926895227381,1.671438732868453,1.4415465477422953,0.021935967602725537,0.007072648280838978,0.5361565553283345,0.5902439024390245,0.5344827586206896
P17,baseline,3456,818,119,23,3.5203208923339844,1.8762518167495728,1.6007623672485352,1.273375153541565,1.0416529178619385,1.8337874818126414,1.534275106402246,1.4080376719560552,1.1980236539060067,0.04246433493693136,-0.13466251841449028,0.49861414489986966,0.515625,0.7394957983193278
P18,baseline,3354,921,118,78,1.917934536933899,1.3848950862884521,1.1534093618392944,1.5171903371810913,1.2643661499023438,1.424363989206876,1.1968657515585779,1.4284859725444101,1.1895687415986986,-0.039468902918423865,0.08870436463668119,0.5720046082949308,0.5388265746333045,0.5338983050847458
P19,baseline,3446,827,120,3,3.2313644886016846,1.7975996732711792,1.5180310010910034,1.6957201957702637,1.4262136220932007,1.8394867975882314,1.579479493950893,1.6764475158513301,1.4240713871154962,-0.041887124317052216,0.019272679918933555,0.6247058823529412,0.4538461538461539,0.475
P21,baseline,3478,807,108,49,2.3452117443084717,1.531408429145813,1.307286262512207,2.2420754432678223,2.0699832439422607,1.5708047553096058,1.3519930196747407,2.2125750880136317,2.0722690775882264,-0.03939632616379285,0.02950035525419059,0.5770006855428076,0.47030411449016096,0.5092592592592593
P22,baseline,3481,795,117,15,3.349299192428589,1.8301091194152832,1.5698100328445435,2.2927260398864746,2.0536246299743652,1.8449985198547796,1.6242925205834369,2.3608537227327946,2.127333485563879,-0.01488940043949638,-0.06812768284631998,0.5864289695811435,0.49583333333333335,0.5641025641025641
P23,baseline,3466,809,118,14,3.3009564876556396,1.8168535232543945,1.5580271482467651,1.8173575401306152,1.5902448892593384,1.814482073326403,1.5894288646837333,1.7230708962817252,1.546377888837814,0.0023714499279914314,0.09428664384889007,0.5654348498916744,0.48407859078590787,0.423728813559322
P26,baseline,3470,805,118,6,3.1622416973114014,1.7782692909240723,1.5057566165924072,2.147922992706299,1.9233076572418213,1.8037540025293228,1.5813252904218948,2.1576951796262698,1.917940702388512,-0.025484711605250565,-0.009772186919970949,0.5705607476635515,0.4348894348894349,0.5338983050847458
P29,baseline,3484,800,109,8,3.5225930213928223,1.8768571615219116,1.6001626253128052,1.6511881351470947,1.412933111190796,1.8675321684338513,1.6016956084959815,1.4912195450883061,1.2542974962870894,0.00932499308806034,0.1599685900587886,0.5535222672064777,0.47220163083765754,0.3761467889908257
P30,baseline,3468,805,120,14,3.316741466522217,1.8211923837661743,1.5607295036315918,1.519815444946289,1.1650866270065308,1.81428617480202,1.5935642287605578,1.4380858606254197,1.2439638600538254,0.006906208964154281,0.08172958432086941,0.5574150523975865,0.5113636363636364,0.6416666666666667
