participant,task,segment_id,window_id,window_start_s,window_end_s,condition,model_id,nearest_image_distance,outside_selected_count,outside_selected_fraction,max_abs_image_z,median_abs_image_z
P15,stack,1,stack_s1_9.000,9.0,11.0,ICA,valence__face__gnb__5,2.5346941116882657,0,0.0,3.261030196188468,1.0702226845979146
P15,stack,1,stack_s1_10.000,10.0,12.0,ICA,valence__face__gnb__5,3.3483720579643683,1,0.2,4.208000600515034,1.5827903149645777
P15,stack,1,stack_s1_11.000,11.0,13.0,ICA,valence__face__gnb__5,3.977956164379406,3,0.6,4.479465904004243,2.414756866007892
P15,stack,1,stack_s1_12.000,12.0,14.0,ICA,valence__face__gnb__5,3.741764604795071,3,0.6,3.9165955215417085,2.2644509950176044
P15,stack,1,stack_s1_13.000,13.0,15.0,ICA,valence__face__gnb__5,3.687241839891942,2,0.4,3.898006827740652,1.9087731486856883
P15,stack,1,stack_s1_14.000,14.0,16.0,ICA,valence__face__gnb__5,2.213012278971946,0,0.0,3.2488422081653145,0.43470809520144177
P15,stack,1,stack_s1_15.000,15.0,17.0,ICA,valence__face__gnb__5,1.7855005620825606,0,0.0,1.9037373428510733,0.6577058804676841
P15,stack,1,stack_s1_16.000,16.0,18.0,ICA,valence__face__gnb__5,1.3155623454827987,0,0.0,2.05233759931632,1.0946155893412073
P15,stack,1,stack_s1_17.000,17.0,19.0,ICA,valence__face__gnb__5,1.233373062039892,0,0.0,1.3814212436696036,0.8669567555685045
P15,stack,1,stack_s1_18.000,18.0,20.0,ICA,valence__face__gnb__5,1.4205649018788857,0,0.0,2.199606262361051,1.142069504016132
P15,stack,1,stack_s1_19.000,19.0,21.0,ICA,valence__face__gnb__5,2.2802380150176593,1,0.2,2.5011610676341482,2.1524004069559943
P15,stack,1,stack_s1_20.000,20.0,22.0,ICA,valence__face__gnb__5,1.5300930010846232,0,0.0,1.7382421350460828,1.3689342678338927
P15,stack,1,stack_s1_21.000,21.0,23.0,ICA,valence__face__gnb__5,1.9133708181348332,0,0.0,1.6439477728212593,0.7822758798944021
P15,stack,1,stack_s1_22.000,22.0,24.0,ICA,valence__face__gnb__5,2.516890253871552,1,0.2,2.7697385647060973,2.0630134366470707
P15,stack,1,stack_s1_23.000,23.0,25.0,ICA,valence__face__gnb__5,2.475365045500721,1,0.2,2.7207715230671994,1.9860159821106613
P15,stack,1,stack_s1_24.000,24.0,26.0,ICA,valence__face__gnb__5,2.9545262541932313,0,0.0,2.9294596925347993,1.8774834027624916
P15,stack,1,stack_s1_25.000,25.0,27.0,ICA,valence__face__gnb__5,2.6448163780292573,0,0.0,3.127427788955672,1.166012115151566
P15,stack,1,stack_s1_26.000,26.0,28.0,ICA,valence__face__gnb__5,1.5320877281517589,0,0.0,2.0828290962185982,1.0663146782874424
P15,stack,1,stack_s1_27.000,27.0,29.0,ICA,valence__face__gnb__5,1.8116079990547078,2,0.4,2.5620720319739134,1.5175945820468528
P15,stack,1,stack_s1_28.000,28.0,30.0,ICA,valence__face__gnb__5,1.6455412784228256,0,0.0,2.744723781525274,0.7778192916291319
P15,stack,1,stack_s1_29.000,29.0,31.0,ICA,valence__face__gnb__5,1.3623634297156917,0,0.0,1.789855335973794,0.6139478006677986
P15,stack,1,stack_s1_30.000,30.0,32.0,ICA,valence__face__gnb__5,0.7878423128725819,0,0.0,1.036812780996124,0.6412026470392665
P15,stack,1,stack_s1_31.000,31.0,33.0,ICA,valence__face__gnb__5,0.5604979983414519,0,0.0,1.327136913631961,0.5658348816631564
P15,stack,1,stack_s1_32.000,32.0,34.0,ICA,valence__face__gnb__5,0.9611321476881997,0,0.0,2.2341462228616398,1.2883480146430486
P15,stack,1,stack_s1_33.000,33.0,35.0,ICA,valence__face__gnb__5,0.7808723222397044,0,0.0,1.2830831130986862,0.8555322388859269
P15,stack,1,stack_s1_34.000,34.0,36.0,ICA,valence__face__gnb__5,0.9560057850211895,0,0.0,1.1989423350519262,0.6585905312423403
P15,stack,1,stack_s1_35.000,35.0,37.0,ICA,valence__face__gnb__5,1.3417065425172898,0,0.0,2.0482002477735834,0.8395873046721442
P15,stack,1,stack_s1_36.000,36.0,38.0,ICA,valence__face__gnb__5,1.5610320220192007,0,0.0,2.4179559443524665,1.2351016890012319
P15,stack,1,stack_s1_37.000,37.0,39.0,ICA,valence__face__gnb__5,3.061557759091095,2,0.4,2.6301393866914964,2.3593619347920085
P15,stack,1,stack_s1_38.000,38.0,40.0,ICA,valence__face__gnb__5,3.4581239939657737,2,0.4,2.7993266477494,2.649734401613303
P15,stack,1,stack_s1_39.000,39.0,41.0,ICA,valence__face__gnb__5,3.295714036473299,2,0.4,3.651041910710048,2.0744275158290004
P15,stack,1,stack_s1_40.000,40.0,42.0,ICA,valence__face__gnb__5,2.3860513174872917,0,0.0,3.273623597620862,1.8465495163628027
P15,stack,1,stack_s1_41.000,41.0,43.0,ICA,valence__face__gnb__5,2.5679642265081815,1,0.2,2.3484438877339198,2.280986463206354
P15,stack,1,stack_s1_42.000,42.0,44.0,ICA,valence__face__gnb__5,2.9040382239513405,1,0.2,2.6026385367224405,2.0378793417187224
P15,stack,1,stack_s1_43.000,43.0,45.0,ICA,valence__face__gnb__5,0.9923021798442985,0,0.0,1.5510043251545877,1.0710705436343926
P15,stack,1,stack_s1_44.000,44.0,46.0,ICA,valence__face__gnb__5,1.1120287563536921,0,0.0,1.643089420598138,0.9324823234795259
P15,stack,1,stack_s1_45.000,45.0,47.0,ICA,valence__face__gnb__5,1.1955997497484747,0,0.0,1.9403567819735648,1.7225952414631136
P15,stack,1,stack_s1_46.000,46.0,48.0,ICA,valence__face__gnb__5,1.3022165218678388,0,0.0,1.5557374672501243,0.917703992698872
P15,stack,1,stack_s1_47.000,47.0,49.0,ICA,valence__face__gnb__5,1.4966154061218226,0,0.0,1.5876267267542956,0.8383247877549483
P15,stack,1,stack_s1_48.000,48.0,50.0,ICA,valence__face__gnb__5,1.4414485714160932,0,0.0,1.9756600513316804,1.3183271415867233
P15,stack,1,stack_s1_49.000,49.0,51.0,ICA,valence__face__gnb__5,1.430313817894951,0,0.0,1.5730607721893153,1.1860008581499266
