mode,participant,held_out_participant,target,modality,classifier,feature_count_request,fold,tn,fp,fn,tp
general,COHORT,P13,valence,eeg,svm,5,13,0,31,0,64
general,COHORT,P14,valence,eeg,svm,5,14,12,47,2,51
general,COHORT,P15,valence,eeg,svm,5,15,7,31,11,63
general,COHORT,P16,valence,eeg,svm,5,16,0,54,0,62
general,COHORT,P17,valence,eeg,svm,5,17,1,51,2,65
general,COHORT,P18,valence,eeg,svm,5,18,22,35,12,49
general,COHORT,P19,valence,eeg,svm,5,19,16,27,37,40
general,COHORT,P20,valence,eeg,svm,5,20,0,47,0,46
general,COHORT,P21,valence,eeg,svm,5,21,0,25,0,83
general,COHORT,P22,valence,eeg,svm,5,22,0,68,0,49
general,COHORT,P23,valence,eeg,svm,5,23,4,65,7,42
general,COHORT,P24,valence,eeg,svm,5,24,0,62,0,55
general,COHORT,P25,valence,eeg,svm,5,25,6,48,16,50
general,COHORT,P26,valence,eeg,svm,5,26,3,63,0,52
general,COHORT,P27,valence,eeg,svm,5,27,0,29,0,60
general,COHORT,P28,valence,eeg,svm,5,28,0,39,1,71
general,COHORT,P29,valence,eeg,svm,5,29,0,45,0,64
general,COHORT,P30,valence,eeg,svm,5,30,0,59,0,61
general,COHORT,P31,valence,eeg,svm,5,31,0,58,1,60
general,COHORT,P32,valence,eeg,svm,5,32,1,57,0,62
general,COHORT,P33,valence,eeg,svm,5,33,0,60,0,57
general,COHORT,P34,valence,eeg,svm,5,34,2,65,0,48
general,COHORT,P35,valence,eeg,svm,5,35,1,61,0,52
general,COHORT,P36,valence,eeg,svm,5,36,1,45,0,56
general,COHORT,P37,valence,eeg,svm,5,37,1,45,0,61
general,COHORT,P38,valence,eeg,svm,5,38,1,48,4,67
general,COHORT,P39,valence,eeg,svm,5,39,0,33,0,85
general,COHORT,P40,valence,eeg,svm,5,40,0,54,0,66
general,COHORT,P41,valence,eeg,svm,5,41,0,52,0,65
general,COHORT,P42,valence,eeg,svm,5,42,0,52,0,68
general,COHORT,P43,valence,eeg,svm,5,43,4,39,7,70
general,COHORT,P44,valence,eeg,svm,5,44,4,31,4,80
general,COHORT,P45,valence,eeg,svm,5,45,0,42,0,78
general,COHORT,P46,valence,eeg,svm,5,46,0,50,0,68
general,COHORT,P01,valence,eeg,svm,10,1,0,52,0,62
general,COHORT,P02,valence,eeg,svm,10,2,1,24,1,58
general,COHORT,P03,valence,eeg,svm,10,3,11,10,19,13
general,COHORT,P04,valence,eeg,svm,10,4,0,39,0,63
general,COHORT,P05,valence,eeg,svm,10,5,0,62,0,55
general,COHORT,P06,valence,eeg,svm,10,6,2,45,1,71
general,COHORT,P07,valence,eeg,svm,10,7,5,19,5,87
general,COHORT,P08,valence,eeg,svm,10,8,0,56,0,54
general,COHORT,P09,valence,eeg,svm,10,9,0,47,0,70
general,COHORT,P10,valence,eeg,svm,10,10,0,50,0,70
general,COHORT,P11,valence,eeg,svm,10,11,47,11,41,21
general,COHORT,P12,valence,eeg,svm,10,12,0,36,0,84
general,COHORT,P13,valence,eeg,svm,10,13,0,31,0,64
general,COHORT,P14,valence,eeg,svm,10,14,31,28,17,36
general,COHORT,P15,valence,eeg,svm,10,15,5,33,20,54
general,COHORT,P16,valence,eeg,svm,10,16,4,50,5,57
general,COHORT,P17,valence,eeg,svm,10,17,0,52,0,67
general,COHORT,P18,valence,eeg,svm,10,18,25,32,19,42
general,COHORT,P19,valence,eeg,svm,10,19,24,19,49,28
general,COHORT,P20,valence,eeg,svm,10,20,1,46,0,46
general,COHORT,P21,valence,eeg,svm,10,21,12,13,30,53
general,COHORT,P22,valence,eeg,svm,10,22,0,68,0,49
general,COHORT,P23,valence,eeg,svm,10,23,11,58,14,35
general,COHORT,P24,valence,eeg,svm,10,24,2,60,2,53
general,COHORT,P25,valence,eeg,svm,10,25,10,44,23,43
general,COHORT,P26,valence,eeg,svm,10,26,2,64,1,51
general,COHORT,P27,valence,eeg,svm,10,27,0,29,0,60
general,COHORT,P28,valence,eeg,svm,10,28,0,39,0,72
general,COHORT,P29,valence,eeg,svm,10,29,0,45,0,64
general,COHORT,P30,valence,eeg,svm,10,30,0,59,0,61
general,COHORT,P31,valence,eeg,svm,10,31,28,30,27,34
general,COHORT,P32,valence,eeg,svm,10,32,0,58,2,60
general,COHORT,P33,valence,eeg,svm,10,33,0,60,0,57
general,COHORT,P34,valence,eeg,svm,10,34,0,67,0,48
general,COHORT,P35,valence,eeg,svm,10,35,4,58,2,50
general,COHORT,P36,valence,eeg,svm,10,36,0,46,0,56
general,COHORT,P37,valence,eeg,svm,10,37,1,45,3,58
general,COHORT,P38,valence,eeg,svm,10,38,7,42,12,59
general,COHORT,P39,valence,eeg,svm,10,39,0,33,1,84
general,COHORT,P40,valence,eeg,svm,10,40,0,54,0,66
general,COHORT,P41,valence,eeg,svm,10,41,0,52,0,65
general,COHORT,P42,valence,eeg,svm,10,42,0,52,0,68
general,COHORT,P43,valence,eeg,svm,10,43,6,37,8,69
general,COHORT,P44,valence,eeg,svm,10,44,3,32,7,77
general,COHORT,P45,valence,eeg,svm,10,45,0,42,2,76
general,COHORT,P46,valence,eeg,svm,10,46,22,28,38,30
general,COHORT,P01,valence,eeg,svm,20,1,0,52,1,61
general,COHORT,P02,valence,eeg,svm,20,2,3,22,7,52
general,COHORT,P03,valence,eeg,svm,20,3,16,5,28,4
general,COHORT,P04,valence,eeg,svm,20,4,10,29,18,45
general,COHORT,P05,valence,eeg,svm,20,5,0,62,0,55
general,COHORT,P06,valence,eeg,svm,20,6,11,36,16,56
general,COHORT,P07,valence,eeg,svm,20,7,8,16,25,67
general,COHORT,P08,valence,eeg,svm,20,8,16,40,15,39
general,COHORT,P09,valence,eeg,svm,20,9,15,32,28,42
general,COHORT,P10,valence,eeg,svm,20,10,0,50,1,69
general,COHORT,P11,valence,eeg,svm,20,11,37,21,38,24
general,COHORT,P12,valence,eeg,svm,20,12,0,36,0,84
general,COHORT,P13,valence,eeg,svm,20,13,8,23,17,47
general,COHORT,P14,valence,eeg,svm,20,14,0,59,0,53
general,COHORT,P15,valence,eeg,svm,20,15,17,21,37,37
general,COHORT,P16,valence,eeg,svm,20,16,10,44,12,50
general,COHORT,P17,valence,eeg,svm,20,17,19,33,27,40
general,COHORT,P18,valence,eeg,svm,20,18,10,47,16,45
general,COHORT,P19,valence,eeg,svm,20,19,17,26,26,51
general,COHORT,P20,valence,eeg,svm,20,20,3,44,1,45
general,COHORT,P21,valence,eeg,svm,20,21,23,2,81,2
general,COHORT,P22,valence,eeg,svm,20,22,14,54,9,40
general,COHORT,P23,valence,eeg,svm,20,23,0,69,0,49
general,COHORT,P24,valence,eeg,svm,20,24,4,58,2,53
general,COHORT,P25,valence,eeg,svm,20,25,11,43,22,44
general,COHORT,P26,valence,eeg,svm,20,26,15,51,16,36
general,COHORT,P27,valence,eeg,svm,20,27,0,29,0,60
general,COHORT,P28,valence,eeg,svm,20,28,5,34,10,62
general,COHORT,P29,valence,eeg,svm,20,29,25,20,29,35
general,COHORT,P30,valence,eeg,svm,20,30,0,59,0,61
general,COHORT,P31,valence,eeg,svm,20,31,0,58,0,61
general,COHORT,P32,valence,eeg,svm,20,32,17,41,14,48
general,COHORT,P33,valence,eeg,svm,20,33,17,43,20,37
general,COHORT,P34,valence,eeg,svm,20,34,0,67,0,48
general,COHORT,P35,valence,eeg,svm,20,35,0,62,0,52
general,COHORT,P36,valence,eeg,svm,20,36,0,46,0,56
general,COHORT,P37,valence,eeg,svm,20,37,9,37,7,54
general,COHORT,P38,valence,eeg,svm,20,38,6,43,6,65
general,COHORT,P39,valence,eeg,svm,20,39,8,25,19,66
general,COHORT,P40,valence,eeg,svm,20,40,0,54,0,66
general,COHORT,P41,valence,eeg,svm,20,41,29,23,29,36
general,COHORT,P42,valence,eeg,svm,20,42,0,52,0,68
general,COHORT,P43,valence,eeg,svm,20,43,11,32,23,54
general,COHORT,P44,valence,eeg,svm,20,44,26,9,60,24
general,COHORT,P45,valence,eeg,svm,20,45,0,42,0,78
general,COHORT,P46,valence,eeg,svm,20,46,37,13,41,27
general,COHORT,P01,valence,eeg,gnb,all,1,11,41,7,55
general,COHORT,P02,valence,eeg,gnb,all,2,4,21,6,53
general,COHORT,P03,valence,eeg,gnb,all,3,11,10,17,15
general,COHORT,P04,valence,eeg,gnb,all,4,0,39,2,61
general,COHORT,P05,valence,eeg,gnb,all,5,1,61,1,54
general,COHORT,P06,valence,eeg,gnb,all,6,1,46,0,72
general,COHORT,P07,valence,eeg,gnb,all,7,0,24,5,87
general,COHORT,P08,valence,eeg,gnb,all,8,4,52,5,49
general,COHORT,P09,valence,eeg,gnb,all,9,0,47,1,69
general,COHORT,P10,valence,eeg,gnb,all,10,12,38,6,64
general,COHORT,P11,valence,eeg,gnb,all,11,14,44,19,43
general,COHORT,P12,valence,eeg,gnb,all,12,0,36,0,84
general,COHORT,P13,valence,eeg,gnb,all,13,18,13,31,33
general,COHORT,P14,valence,eeg,gnb,all,14,1,58,0,53
general,COHORT,P15,valence,eeg,gnb,all,15,0,38,0,74
general,COHORT,P16,valence,eeg,gnb,all,16,0,54,3,59
general,COHORT,P17,valence,eeg,gnb,all,17,20,32,28,39
general,COHORT,P18,valence,eeg,gnb,all,18,27,30,19,42
general,COHORT,P19,valence,eeg,gnb,all,19,11,32,33,44
general,COHORT,P20,valence,eeg,gnb,all,20,0,47,0,46
general,COHORT,P21,valence,eeg,gnb,all,21,25,0,83,0
general,COHORT,P22,valence,eeg,gnb,all,22,1,67,2,47
general,COHORT,P23,valence,eeg,gnb,all,23,9,60,6,43
general,COHORT,P24,valence,eeg,gnb,all,24,14,48,14,41
general,COHORT,P25,valence,eeg,gnb,all,25,12,42,22,44
general,COHORT,P26,valence,eeg,gnb,all,26,2,64,3,49
general,COHORT,P27,valence,eeg,gnb,all,27,0,29,0,60
