mode,participant,held_out_participant,target,modality,classifier,feature_count_request,feature_count_resolved,fold,training_participants,sample_size,train_size,test_size,low_count,high_count,balanced_accuracy,accuracy,precision,recall,f1,tn,fp,fn,tp
individual,P12,P12,valence,eeg,knn,all,all,2,P12,120,96,24,36,84,0.5126050420168067,0.6666666666666666,0.7142857142857143,0.8823529411764706,0.7894736842105263,1,6,2,15
individual,P12,P12,valence,eeg,knn,all,all,3,P12,120,96,24,36,84,0.45378151260504196,0.5833333333333334,0.6842105263157895,0.7647058823529411,0.7222222222222222,1,6,4,13
individual,P12,P12,valence,eeg,knn,all,all,4,P12,120,96,24,36,84,0.5252100840336134,0.625,0.7222222222222222,0.7647058823529411,0.7428571428571429,2,5,4,13
individual,P12,P12,valence,eeg,knn,all,all,5,P12,120,96,24,36,84,0.46875,0.625,0.6521739130434783,0.9375,0.7692307692307693,0,8,1,15
individual,P13,P13,valence,eeg,knn,all,all,1,P13,88,70,18,28,60,0.4166666666666667,0.5555555555555556,0.625,0.8333333333333334,0.7142857142857143,0,6,2,10
individual,P13,P13,valence,eeg,knn,all,all,2,P13,88,70,18,28,60,0.5,0.6666666666666666,0.6666666666666666,1.0,0.8,0,6,0,12
individual,P13,P13,valence,eeg,knn,all,all,3,P13,88,70,18,28,60,0.5,0.6666666666666666,0.6666666666666666,1.0,0.8,0,6,0,12
individual,P13,P13,valence,eeg,knn,all,all,4,P13,88,71,17,28,60,0.5,0.7058823529411765,0.7058823529411765,1.0,0.8275862068965517,0,5,0,12
individual,P13,P13,valence,eeg,knn,all,all,5,P13,88,71,17,28,60,0.4166666666666667,0.5882352941176471,0.6666666666666666,0.8333333333333334,0.7407407407407407,0,5,2,10
individual,P21,P21,valence,eeg,knn,all,all,1,P21,111,88,23,26,85,0.4117647058823529,0.6086956521739131,0.7,0.8235294117647058,0.7567567567567568,0,6,3,14
individual,P21,P21,valence,eeg,knn,all,all,2,P21,111,89,22,26,85,0.5,0.7727272727272727,0.7727272727272727,1.0,0.8717948717948718,0,5,0,17
individual,P21,P21,valence,eeg,knn,all,all,3,P21,111,89,22,26,85,0.5,0.7727272727272727,0.7727272727272727,1.0,0.8717948717948718,0,5,0,17
individual,P21,P21,valence,eeg,knn,all,all,4,P21,111,89,22,26,85,0.5,0.7727272727272727,0.7727272727272727,1.0,0.8717948717948718,0,5,0,17
individual,P21,P21,valence,eeg,knn,all,all,5,P21,111,89,22,26,85,0.5,0.7727272727272727,0.7727272727272727,1.0,0.8717948717948718,0,5,0,17
individual,P28,P28,valence,eeg,knn,all,all,1,P28,110,88,22,38,72,0.5178571428571428,0.5909090909090909,0.6470588235294118,0.7857142857142857,0.7096774193548387,2,6,3,11
individual,P28,P28,valence,eeg,knn,all,all,2,P28,110,88,22,38,72,0.45535714285714285,0.5454545454545454,0.6111111111111112,0.7857142857142857,0.6875,1,7,3,11
individual,P28,P28,valence,eeg,knn,all,all,3,P28,110,88,22,38,72,0.5,0.6363636363636364,0.6363636363636364,1.0,0.7777777777777778,0,8,0,14
individual,P28,P28,valence,eeg,knn,all,all,4,P28,110,88,22,38,72,0.47619047619047616,0.5454545454545454,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,5,5,10
individual,P28,P28,valence,eeg,knn,all,all,5,P28,110,88,22,38,72,0.4666666666666667,0.6363636363636364,0.6666666666666666,0.9333333333333333,0.7777777777777778,0,7,1,14
individual,P29,P29,valence,eeg,knn,all,all,1,P29,110,88,22,46,64,0.49572649572649574,0.5454545454545454,0.5882352941176471,0.7692307692307693,0.6666666666666666,2,7,3,10
individual,P29,P29,valence,eeg,knn,all,all,2,P29,110,88,22,46,64,0.6623931623931625,0.6818181818181818,0.7142857142857143,0.7692307692307693,0.7407407407407407,5,4,3,10
individual,P29,P29,valence,eeg,knn,all,all,3,P29,110,88,22,46,64,0.3632478632478633,0.4090909090909091,0.5,0.6153846153846154,0.5517241379310345,1,8,5,8
individual,P29,P29,valence,eeg,knn,all,all,4,P29,110,88,22,46,64,0.47435897435897434,0.5,0.5714285714285714,0.6153846153846154,0.5925925925925926,3,6,5,8
individual,P29,P29,valence,eeg,knn,all,all,5,P29,110,88,22,46,64,0.6583333333333333,0.6818181818181818,0.6470588235294118,0.9166666666666666,0.7586206896551724,4,6,1,11
individual,P31,P31,valence,eeg,knn,all,all,1,P31,116,92,24,56,60,0.375,0.375,0.38461538461538464,0.4166666666666667,0.4,4,8,7,5
individual,P31,P31,valence,eeg,knn,all,all,2,P31,116,93,23,56,60,0.4772727272727273,0.4782608695652174,0.5,0.5,0.5,5,6,6,6
individual,P31,P31,valence,eeg,knn,all,all,3,P31,116,93,23,56,60,0.4772727272727273,0.4782608695652174,0.5,0.5,0.5,5,6,6,6
individual,P31,P31,valence,eeg,knn,all,all,4,P31,116,93,23,56,60,0.42803030303030304,0.43478260869565216,0.4666666666666667,0.5833333333333334,0.5185185185185185,3,8,5,7
individual,P31,P31,valence,eeg,knn,all,all,5,P31,116,93,23,56,60,0.3522727272727273,0.34782608695652173,0.3333333333333333,0.25,0.2857142857142857,5,6,9,3
individual,P35,P35,valence,eeg,knn,all,all,1,P35,114,91,23,62,52,0.6307692307692307,0.6086956521739131,0.5333333333333333,0.8,0.64,6,7,2,8
individual,P35,P35,valence,eeg,knn,all,all,2,P35,114,91,23,62,52,0.5576923076923077,0.5652173913043478,0.5,0.5,0.5,8,5,5,5
individual,P35,P35,valence,eeg,knn,all,all,3,P35,114,91,23,62,52,0.46969696969696967,0.4782608695652174,0.42857142857142855,0.2727272727272727,0.3333333333333333,8,4,8,3
individual,P35,P35,valence,eeg,knn,all,all,4,P35,114,91,23,62,52,0.7348484848484849,0.7391304347826086,0.7777777777777778,0.6363636363636364,0.7,10,2,4,7
individual,P35,P35,valence,eeg,knn,all,all,5,P35,114,92,22,62,52,0.5916666666666667,0.5909090909090909,0.5454545454545454,0.6,0.5714285714285714,7,5,4,6
individual,P36,P36,valence,eeg,knn,all,all,1,P36,102,81,21,47,55,0.6545454545454545,0.6666666666666666,0.625,0.9090909090909091,0.7407407407407407,4,6,1,10
individual,P36,P36,valence,eeg,knn,all,all,2,P36,102,81,21,47,55,0.4181818181818182,0.42857142857142855,0.4666666666666667,0.6363636363636364,0.5384615384615384,2,8,4,7
individual,P36,P36,valence,eeg,knn,all,all,3,P36,102,82,20,47,55,0.6414141414141414,0.65,0.6666666666666666,0.7272727272727273,0.6956521739130435,5,4,3,8
individual,P36,P36,valence,eeg,knn,all,all,4,P36,102,82,20,47,55,0.3939393939393939,0.4,0.45454545454545453,0.45454545454545453,0.45454545454545453,3,6,6,5
individual,P36,P36,valence,eeg,knn,all,all,5,P36,102,82,20,47,55,0.5,0.55,0.55,1.0,0.7096774193548387,0,9,0,11
individual,P37,P37,valence,eeg,knn,all,all,1,P37,108,86,22,46,62,0.5897435897435898,0.6363636363636364,0.6470588235294118,0.8461538461538461,0.7333333333333333,3,6,2,11
individual,P37,P37,valence,eeg,knn,all,all,2,P37,108,86,22,46,62,0.4017094017094017,0.45454545454545453,0.5294117647058824,0.6923076923076923,0.6,1,8,4,9
