task_type,model_scope,target,modality,model,input_representation,ica_status,label_condition,experiment,best_primary_metric,primary_metric_name,secondary_metric,secondary_metric_name,participant_if_individual,feature_count_or_family,channel_subset,hyperparameters_if_available,n_participants,source_run,source_file,notes
classification,general LOSO,arousal,multimodal,kNN,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.4893498116476747,balanced_accuracy,0.5382701973115086,accuracy,,5,,,46,{participant_lower}_no_ica,outputs/image_classification/general_no_ica/results_summary.csv,mean outer-fold metric
classification,general LOSO,arousal,multimodal,kNN,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.491743094319483,balanced_accuracy,0.5480041094725017,accuracy,,all,,,46,{participant_lower}_no_ica,outputs/image_classification/general_no_ica/results_summary.csv,mean outer-fold metric
classification,general LOSO,arousal,multimodal,SVM,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.4982842852231282,balanced_accuracy,0.5829055617654891,accuracy,,10,,,46,{participant_lower}_no_ica,outputs/image_classification/general_no_ica/results_summary.csv,mean outer-fold metric
classification,general LOSO,arousal,multimodal,SVM,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.4998901610504042,balanced_accuracy,0.5673628175379436,accuracy,,20,,,46,{participant_lower}_no_ica,outputs/image_classification/general_no_ica/results_summary.csv,mean outer-fold metric
classification,general LOSO,arousal,multimodal,SVM,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.4983061601328438,balanced_accuracy,0.5831520137502689,accuracy,,5,,,46,{participant_lower}_no_ica,outputs/image_classification/general_no_ica/results_summary.csv,mean outer-fold metric
classification,general LOSO,arousal,multimodal,SVM,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.4934326983185296,balanced_accuracy,0.5777167788575379,accuracy,,all,,,46,{participant_lower}_no_ica,outputs/image_classification/general_no_ica/results_summary.csv,mean outer-fold metric
classification,general LOSO,valence,eeg,GaussianNB,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.4965254450625096,balanced_accuracy,0.528716489849994,accuracy,,10,,,46,{participant_lower}_no_ica,outputs/image_classification/general_no_ica/results_summary.csv,mean outer-fold metric
classification,general LOSO,valence,eeg,GaussianNB,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.4968872642580907,balanced_accuracy,0.529147817598097,accuracy,,20,,,46,{participant_lower}_no_ica,outputs/image_classification/general_no_ica/results_summary.csv,mean outer-fold metric
classification,general LOSO,valence,eeg,GaussianNB,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.4932053248270353,balanced_accuracy,0.5274583553993202,accuracy,,5,,,46,{participant_lower}_no_ica,outputs/image_classification/general_no_ica/results_summary.csv,mean outer-fold metric
classification,general LOSO,valence,eeg,GaussianNB,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.496214774802423,balanced_accuracy,0.5355600591201573,accuracy,,all,,,46,{participant_lower}_no_ica,outputs/image_classification/general_no_ica/results_summary.csv,mean outer-fold metric
