eeg_sd__C3,eeg_sd__C4,eeg_sd__Fz,eeg_hm__Cz,eeg_hc__Cz,eeg_bp_delta__Fz,eeg_se_delta__PO7,eeg_se_theta__C4,eeg_se_theta__Fz,eeg_bp_alpha__C3,eeg_bp_alpha__PO8,eeg_se_alpha__C3,eeg_se_alpha__Fz,eeg_se_alpha__PO7,eeg_se_alpha__Pz,eeg_bp_beta__C3,eeg_bp_beta__C4,eeg_bp_beta__Cz,eeg_bp_beta__Fz,eeg_bp_beta__Pz
3.872948805895764,4.784724803047954,7.531621669093621,0.2533514665159476,2.3455485764344544,28.81037376253211,1.871699968842684,2.0555722378291024,2.2379263431749177,2.6452851389382586,8.76169748456556,1.9358941174478463,2.053089201183763,2.2499807024026848,2.041131143483967,3.772303961341712,3.5586916500118497,5.485918935662545,11.506446754044918,1.9808873173088304
4.336112967739361,4.445131507738388,7.131661545888529,0.375153965014314,1.57134102849708,11.430778700650745,1.942151519391184,2.2461453976777648,2.254765144332469,3.2915657878773072,3.7818531455038578,2.0148239214248886,2.258099150336446,2.1972423168093247,2.277620841147661,6.647836885144421,7.916019148395744,10.42758950338704,12.800217388956986,2.6439493332919093
3.953445564305581,3.990665487597349,7.857816715631237,0.3179096486196401,1.88057699814407,12.430565722705555,1.956927628953556,2.294790061060047,2.027202937326116,1.2359824799519037,4.157018480500209,2.1409834118087905,2.0648617515228103,1.9998264997825024,2.223113006713696,3.24219693496654,3.375702444237432,5.914001186627166,8.82871054766486,1.9094164342709443
4.377941239484729,3.694921407391753,7.836051974791907,0.4172197937985707,1.4558939923758123,14.012328085919282,1.919393126684544,1.9978027411233652,2.168037789261522,1.6905913332227906,3.1860720998522045,2.184768245245752,2.170350505692714,1.9825150558497004,2.058910484252205,4.924947117955002,3.436017824684603,11.308723057268852,15.32338890715396,2.361335529487874
4.258098124373521,3.6331129430068887,9.498349271153817,0.3507492293782751,1.6356555474715593,40.26296734400923,1.8078631725754493,1.9869246801070428,2.1920496146301374,1.8555172658567705,3.6714158535096617,2.1872290055527754,2.205194732288153,2.052098767262064,2.1610677758737222,5.045385048932244,4.190794747579121,9.911949480185203,17.26871614806058,2.3457368210996616
4.356210948775042,3.873130832950309,6.9862987891768284,0.3806322427037508,1.5454227038545791,8.794844899813366,1.840893776908938,2.075316827481498,2.15005931345572,1.9349878018761577,6.681201572002769,1.9573417389482628,2.2102482356541624,2.107058199403074,2.085890181518605,5.414442743050468,3.8807775838454135,8.53616807427172,14.336853612640462,2.9976622871271346
3.741417883835108,4.344425286491402,8.846306201570549,0.2345656583009606,2.5479433676997894,30.339534710589845,1.7255087565753944,2.2478780690065983,1.7701692868512382,3.76295304532746,10.497477950250063,2.0303645316517462,2.262010841519284,2.220824176122288,1.8421379330758405,3.59245045640944,3.50903085370178,5.04445127434343,11.12460110748448,2.06167672655811
3.78121057475638,4.265612075293989,9.38381070817016,0.3704558538444955,1.635762352961014,39.25044746720234,1.873443185323776,2.101915958335544,2.2125282897814995,2.593801439994317,2.67621452306481,2.149031811875525,2.196476214854639,2.142502986423421,2.000411573295275,5.75963557888394,6.120409208631758,9.359571554683356,18.48871101970069,2.967636248222983
3.916852020356648,3.461167013365954,8.060472318242148,0.3423037560854626,1.659304006303699,15.518698751138118,1.940229337514283,2.1032390869843054,1.8699510363540492,1.9704402961803469,3.2412461031401296,2.114754635654986,2.2173348143591896,2.245971398345909,2.154662865200066,3.2273567394389384,2.84337669526696,7.123950398896475,9.5721318476137,2.0518877833597533
3.9241726401989903,4.0990612937365976,10.150773198966007,0.2020157747533001,2.617548787514092,73.00565877400274,1.72787956332952,2.0729593507909305,2.276365685418672,0.9158306750910168,4.187064312325975,1.8319276925426464,2.1599652958948257,1.8918415331062688,1.869194864838965,2.7559130821209705,1.6472211446702862,2.786229583127138,7.393959255177067,2.648339129499219
