eeg_sd__Fz,eeg_hm__Oz,eeg_hm__Pz,eeg_hc__Pz,eeg_mf_hz__C4,eeg_mf_hz__Oz,eeg_bp_delta__C4,eeg_se_delta__Oz,eeg_bp_theta__C4,eeg_bp_theta__Oz,eeg_se_theta__Cz,eeg_se_theta__Fz,eeg_se_alpha__C4,eeg_se_alpha__Fz,eeg_se_alpha__PO7,eeg_bp_gamma__PO7,video_irisdo_norm_std,video_eso_norm_std,video_enso_norm_std,video_mwo_norm_std
6.386865467351955,0.3027545130506193,0.2342857402086345,2.207836753639321,10.0,8.0,2.0559130870617355,1.6755645378949502,4.077761504961087,4.655493728908345,2.1480371655755803,2.2779467089111867,2.0982500766371808,2.2920229882916114,1.983094336309232,0.4273925186899487,0.0157979871342748,0.0103708809566079,0.0205752809510875,0.009371145490984
8.270228039949888,0.2850524458411471,0.2745172554418817,2.023835812254842,8.0,5.0,5.972009823160649,1.8860451882297955,2.252225896775074,4.4204717916985885,2.1580756921332807,2.107054320807352,2.2473521803342686,2.112743327266622,1.9504813504647256,0.5622652742312872,0.0127057896128502,0.0096459110097888,0.0160233508004893,0.0105991777303195
7.947367321252591,0.243844048438987,0.2398552644474062,2.2502097911267955,12.0,5.0,2.3295676101670155,1.855307041304104,2.1063860077674423,4.855312135685483,2.294899958397987,1.9078288916817332,2.207089910629916,2.2300598687804385,2.108988644654584,0.4624880683527083,0.0159773465242147,0.0049804560289138,0.0156120660716493,0.0142531471024877
6.549056511193431,0.2396251504824348,0.2514887036391157,2.175368528906559,9.0,5.0,2.712560787821785,1.9768842913531453,2.892006139549044,9.478658782081752,2.1231934711945164,2.000373889504496,2.036308740446595,2.18458339772869,2.301310286575469,0.2713619010239525,0.0124535805771011,0.0038453824153715,0.0125194668918302,0.0088504144184507
6.817584078190332,0.2123371067293855,0.2993986431128722,1.7779520215741706,7.0,7.0,4.820395687693258,1.8901006480058469,7.210273715162568,20.10211442878803,2.2289089812237224,2.157599851658868,2.171860302020413,2.278444400774441,2.199065546771248,0.2684504887671602,0.0131467837974779,0.0069728629100892,0.0107512329567882,0.0095683418633805
10.375649414476287,0.2540874389892472,0.2234610658970177,2.385884780006828,7.0,3.0,3.073945248073168,1.7573825503541631,2.583553765623797,5.66025571727031,2.168301708095417,2.020324927724232,2.1764204475184936,2.2200498454278987,2.248666465567014,0.4213696158786957,0.0286045717182686,0.0161985847982943,0.0258426632960151,0.0196051013631468
8.807310192912439,0.3055685221921696,0.1824079761012292,2.7447798092971154,10.0,7.0,4.430924012544136,1.7479325231211262,2.5598387839915056,4.888890433286808,2.2810451706340995,2.209692015997941,2.2290840866171577,2.2648814019160515,1.9940535554900516,0.6845468987229855,0.0239813718573832,0.015282199034012,0.0224823778435222,0.010568687922466
7.83846345584014,0.3221894096839239,0.2550096014845341,2.108445436627894,11.0,7.0,1.5711580202615678,1.8148039435257584,3.606016856561867,6.569517832319193,2.1649511686202287,2.017796851533764,2.1823174025928767,2.124517737228972,2.26788922308681,0.4808983827267174,0.0126180082402785,0.0035439035123852,0.0086454419024023,0.0074490663985295
8.894677727268528,0.2255940404980331,0.1960053235888672,2.666269940358968,7.0,5.0,4.859870414471073,1.8180294360139,3.589348919620663,6.999685081240717,2.2847358723818774,2.247561057788868,2.295245082799747,1.844694222629692,1.86188181073856,0.4649068901304122,0.014737390525065,0.0122139154900833,0.0149454534231459,0.0107873816273313
6.732111181177942,0.2877634216333798,0.2765496112083319,1.9191615396434023,6.0,6.0,5.639920797019345,1.896742464328604,5.515743269090544,5.280434714132016,2.11970698367092,2.2193872140561544,1.9846398245560213,2.3180351316443297,2.2286999044562115,0.4783463063360531,0.0192720448520966,0.0077579331126921,0.0192051129486002,0.0144355857726585
9.518654135214112,0.2672221279009977,0.2403321290363515,2.0415155153484394,13.0,7.0,1.7643124916237447,1.913703382761626,2.668071979251777,6.727414982111014,2.186856211971336,2.063403820307854,2.059298555508601,1.949030327814781,1.691650000905761,0.3399454264399694,0.0192402673641673,0.0100853423539636,0.0191327448789791,0.0104327144514236
10.6449012421217,0.2038274892129799,0.2097431551078322,2.358826043308161,8.0,5.0,4.309560870409094,1.806448303574259,7.276680789525471,10.306779655257555,2.2696279031396083,2.2499406217028186,2.161765106743431,2.232660507376265,1.991122542902804,0.2744630890127038,0.0258622212922866,0.012879850973019,0.0237618403871342,0.0135545895069434
7.413903186894038,0.2024579679738456,0.2456139177996713,2.208863606177135,7.0,6.0,2.718244017923476,1.7307816453712328,4.893393702816208,12.641776236880649,2.1596921536272693,1.9927245775148623,2.1685678515051565,2.1617686689637368,2.103023776825881,0.2800421885140984,0.0156786415739489,0.0053975592260706,0.0113243928160713,0.0070712921019025
8.964417703231039,0.2619016900495279,0.3069772404140592,1.8946914122936045,9.0,7.0,3.8313883676928535,1.8662075094205444,4.266457544983312,13.867203577588926,2.137146699801085,2.094997903863527,2.2360728818746334,2.1924531767196527,2.121228928841614,0.3812925867955812,0.0153670846162763,0.0083840588624258,0.0111076936590589,0.0109593678058503
8.032483613362418,0.199323591244716,0.1957600190466699,2.5536476128022763,3.0,4.0,12.728814009700898,1.82098320839501,4.914628110387794,9.179756480935866,2.205846780974725,2.290187705101791,2.1389677244502843,2.175863317791178,2.11034058261929,0.5108597095596386,0.0160543342088916,0.0153722072613991,0.0213346955256417,0.0137004744534158
