eeg_se__C3,eeg_se__Cz,eeg_hm__C3,eeg_hm__Oz,eeg_hc__C3,eeg_hc__Cz,eeg_hc__Oz,eeg_hc__Pz,eeg_mf_hz__C3,eeg_bp_delta__C3,eeg_bp_delta__Cz,eeg_bp_delta__Oz,eeg_se_delta__C3,eeg_se_delta__PO7,eeg_se_theta__Cz,eeg_se_theta__Fz,eeg_bp_alpha__C4,eeg_se_alpha__C4,eeg_se_beta__C3,eeg_se_beta__Oz
4.374175074541312,3.55502487287422,0.3428505687117942,0.2501346447441976,1.7023236139168765,2.2807743239441067,2.3040654929012727,1.7718508131613566,7.0,3.0985530686934206,9.7434886256814,12.029814404557737,1.7441947481647282,1.9466824378927168,2.109685344422486,1.5692281636816492,1.0449002126516342,2.214149927868033,4.008413695874418,4.047971692643898
4.683186679015446,4.1001161141113975,0.3302730029440534,0.231368310050583,1.6505251692395984,2.175556642546144,2.102568830963526,1.647170867762755,10.0,1.377971832983134,5.413361782940836,8.652842926073898,1.8176232721982355,1.8341312791611035,2.200233459648654,2.1539949712133,1.4619076109056073,1.9863350544288896,3.928023070961375,3.868651737448253
4.260074818933539,4.000731135197501,0.2954934906133428,0.2699928273283002,1.7217840745649744,1.96184020331134,1.940517127853265,1.5622126338015532,8.0,3.5646132388996103,6.833707462853833,8.934587580402603,1.6580064901085043,1.659672289789094,2.019372966606824,2.073464030673009,0.9305093439839,2.312099773420281,3.5468318557306486,3.53094309219781
4.137641799614673,4.140454239246885,0.2909532181099133,0.2761339689961504,1.8314434363534613,2.12773503892749,1.884920302475876,1.560401030189784,5.0,3.443688116053755,5.5125304144607865,5.713363018221702,1.8087785870416235,1.7869905876278849,1.9890492231725283,2.277734619292629,1.3363097544847962,2.246058637131777,3.647169841790439,3.635906726338003
4.437457240201473,4.606590050171315,0.2954994992492842,0.2898759606363963,1.752034402447184,1.6777650542226317,1.6860312753163234,1.5935271223058671,8.0,4.556324974236992,3.3413065446517187,4.6782302140767325,1.86673299654838,1.940259729272582,2.204292194216116,2.257143516209981,1.032323997379326,2.0691774494009603,3.8433898789894143,3.623391952720378
4.151517974444968,4.144338868421471,0.2766431035075882,0.2433805520793004,2.003900281160909,1.990135841453254,2.263253603163887,2.1406153838129334,7.0,2.0223371085924504,3.5973290968559817,9.074711268678458,1.6072378614810634,1.4676754111263552,2.216722651078487,2.299353429810351,1.6130527689573153,2.2902817764944903,3.8406290541969113,4.027452604762727
4.770928045658503,4.467718587700946,0.3668993593726878,0.2869253803824667,1.4280892697930003,1.567869160175881,1.7877211176056484,1.63356309107284,12.0,0.7318718794619788,2.8033969367333733,7.45976975773147,1.965813344623368,1.9140387394058205,2.2549183047367194,2.1706907287621737,1.2719779304384071,2.170925080990199,3.908041590148738,3.753841421167358
4.546622165345266,4.157967952214662,0.3197365303301354,0.2398981098958001,1.5656726736924675,1.8385478654242664,1.9185606939917332,1.6606273938476734,9.0,2.6864051215371294,3.6550457390710713,7.892927150694497,1.925674789435155,1.8960164556595325,2.258181993591387,2.298126184991492,1.8293668238704248,2.17797680612374,3.748134768556559,3.6140750474330425
4.668189995092652,4.379873147590143,0.3674948505622973,0.2558551028783218,1.5424175103338054,1.7986850997301629,2.008638315850575,1.8801226257665231,11.0,0.7827897699846167,4.818203758366096,7.289610195553176,1.647023866608671,1.6912854362041112,2.2602956759875457,2.1790507843767912,2.406757951260015,1.9517647113254493,3.994717131976096,3.905920661828942
4.598152977500213,4.5218312529522215,0.317374721556327,0.2744333926750739,1.5740118169208448,1.695746077039539,1.915383600758192,1.525873737037361,10.0,2.622544462113077,4.37507037454769,7.048084192546467,1.8328161401811705,1.8805473886306427,2.2167304499362954,2.2416315066207417,2.3353455648270947,2.123351410773422,3.820810954436834,4.038171326165679
4.470559282408434,4.437895124888987,0.3251957742394451,0.279182393802353,1.5379620505840168,1.686391074646466,1.803748748124478,1.342691068504563,10.0,3.071455757729652,2.3313752663250904,3.598484213279429,1.9866014361017732,1.8155270194860649,2.2729955019335675,2.2030826272675794,7.334801703046185,2.2827014816260744,3.6092927868062943,3.7665725950935465
4.435580206311494,4.17718653559452,0.3165907744213945,0.2498686545680266,1.58657653527962,1.6707608110124923,2.079615102954345,1.6473346744748394,9.0,3.169923911101864,7.085040853713962,9.079290995532316,1.7988524908919652,1.8604506494185125,2.0641278314499867,2.177339097430488,1.4331486392320123,2.2001957012782007,3.5993242449607687,3.753324073888259
4.465220321798016,4.467551392451751,0.3137093327635115,0.2738040160995473,1.6058908752323098,1.4501566822289518,1.6059342578953844,1.4512656778275868,10.0,1.4857795669159413,1.1577819108669911,2.18439306879462,1.8900387690502347,1.9285442667406187,2.164465809348066,1.8948061624824029,1.1394406310211098,2.173230603338171,3.7406736575163686,3.6557628913901135
4.481071321804378,4.488570786643885,0.3408887259308438,0.2529444652597109,1.4409830573662945,1.607272636649783,1.824625730202532,1.4870352504194984,13.0,2.0438071102346567,3.220320449509356,8.889368787037254,1.8697406223836837,1.713644505612352,2.17670017439504,2.0882611502307884,1.1624802953801698,1.9129277675775311,3.651613521497903,3.6851978783821417
