mode,participant,held_out_participant,target,modality,classifier,feature_count_request,feature_count_resolved,fold,training_participants,sample_size,train_size,test_size,low_count,high_count,balanced_accuracy,accuracy,precision,recall,f1,tn,fp,fn,tp
individual,P10,P10,valence,face,knn,10,10,5,P10,120,96,24,50,70,0.6285714285714286,0.6666666666666666,0.6666666666666666,0.8571428571428571,0.75,4,6,2,12
individual,P10,P10,valence,face,knn,20,10,1,P10,120,96,24,50,70,0.5285714285714286,0.5,0.625,0.35714285714285715,0.45454545454545453,7,3,9,5
individual,P10,P10,valence,face,knn,20,10,2,P10,120,96,24,50,70,0.55,0.5416666666666666,0.6363636363636364,0.5,0.56,6,4,7,7
individual,P10,P10,valence,face,knn,20,10,3,P10,120,96,24,50,70,0.5428571428571428,0.5833333333333334,0.6111111111111112,0.7857142857142857,0.6875,3,7,3,11
individual,P10,P10,valence,face,knn,20,10,4,P10,120,96,24,50,70,0.6071428571428572,0.625,0.6666666666666666,0.7142857142857143,0.6896551724137931,5,5,4,10
individual,P10,P10,valence,face,knn,20,10,5,P10,120,96,24,50,70,0.6285714285714286,0.6666666666666666,0.6666666666666666,0.8571428571428571,0.75,4,6,2,12
individual,P10,P10,valence,face,svm,all,all,1,P10,120,96,24,50,70,0.41428571428571426,0.4166666666666667,0.5,0.42857142857142855,0.46153846153846156,4,6,8,6
individual,P10,P10,valence,face,svm,all,all,2,P10,120,96,24,50,70,0.6214285714285714,0.625,0.6923076923076923,0.6428571428571429,0.6666666666666666,6,4,5,9
individual,P10,P10,valence,face,svm,all,all,3,P10,120,96,24,50,70,0.5214285714285715,0.5416666666666666,0.6,0.6428571428571429,0.6206896551724138,4,6,5,9
individual,P10,P10,valence,face,svm,all,all,4,P10,120,96,24,50,70,0.7071428571428571,0.7083333333333334,0.7692307692307693,0.7142857142857143,0.7407407407407407,7,3,4,10
individual,P10,P10,valence,face,svm,all,all,5,P10,120,96,24,50,70,0.5214285714285715,0.5416666666666666,0.6,0.6428571428571429,0.6206896551724138,4,6,5,9
individual,P10,P10,valence,face,svm,5,5,1,P10,120,96,24,50,70,0.4642857142857143,0.5416666666666666,0.5652173913043478,0.9285714285714286,0.7027027027027027,0,10,1,13
individual,P10,P10,valence,face,svm,5,5,2,P10,120,96,24,50,70,0.5714285714285714,0.5833333333333334,0.6428571428571429,0.6428571428571429,0.6428571428571429,5,5,5,9
individual,P10,P10,valence,face,svm,5,5,3,P10,120,96,24,50,70,0.4714285714285714,0.5,0.5625,0.6428571428571429,0.6,3,7,5,9
individual,P10,P10,valence,face,svm,5,5,4,P10,120,96,24,50,70,0.2857142857142857,0.3333333333333333,0.4444444444444444,0.5714285714285714,0.5,0,10,6,8
individual,P10,P10,valence,face,svm,5,5,5,P10,120,96,24,50,70,0.5642857142857143,0.625,0.6190476190476191,0.9285714285714286,0.7428571428571429,2,8,1,13
individual,P10,P10,valence,face,svm,10,10,1,P10,120,96,24,50,70,0.41428571428571426,0.4166666666666667,0.5,0.42857142857142855,0.46153846153846156,4,6,8,6
individual,P10,P10,valence,face,svm,10,10,2,P10,120,96,24,50,70,0.6214285714285714,0.625,0.6923076923076923,0.6428571428571429,0.6666666666666666,6,4,5,9
individual,P10,P10,valence,face,svm,10,10,3,P10,120,96,24,50,70,0.5214285714285715,0.5416666666666666,0.6,0.6428571428571429,0.6206896551724138,4,6,5,9
