condition,target,task,n_all_three_windows,unanimous_agreement_rate,unanimous_high_rate,unanimous_low_rate,disagreement_rate,majority_vote_high_fraction,class_agreement_1_2,probability_correlation_1_2,class_agreement_1_3,probability_correlation_1_3,class_agreement_2_3,probability_correlation_2_3
no-ICA,arousal,shape_sorter_interaction,95,0.6947368421052632,0.5789473684210527,0.031578947368421054,0.30526315789473685,0.7789473684210526,0.6526315789473685,0.6107751879955209,0.7894736842105263,0.5821531452962809,0.6947368421052632,0.6180481941655688
no-ICA,arousal,shape_sorter_observation,60,0.9333333333333333,0.8,0.016666666666666666,0.06666666666666667,0.8333333333333334,0.8166666666666667,0.5335352986333589,0.8666666666666667,0.7222100534052354,0.8333333333333334,0.5978468074171831
no-ICA,arousal,sisyphus,127,0.6929133858267716,0.6141732283464567,0.023622047244094488,0.30708661417322836,0.8503937007874016,0.7165354330708661,0.4551078503808389,0.8110236220472441,0.6636475199963744,0.6929133858267716,0.4293370342662976
no-ICA,arousal,stack,70,0.9,0.8142857142857143,0.0,0.1,0.8857142857142857,0.8428571428571429,0.5047321242705257,0.8714285714285714,0.6400445145104744,0.8285714285714286,0.3739694800314267
no-ICA,valence,pick_place,41,0.5365853658536586,0.4146341463414634,0.07317073170731707,0.4634146341463415,0.7073170731707317,0.4878048780487805,0.657420594841644,0.5853658536585366,0.21783190740414496,0.8048780487804879,0.7715424138403713
no-ICA,valence,shape_sorter_alone,29,0.5862068965517241,0.10344827586206896,0.10344827586206896,0.41379310344827586,0.6206896551724138,0.3448275862068966,0.8844621213721835,0.6206896551724138,0.15386249229224955,0.2413793103448276,0.6526498028600191
no-ICA,valence,shape_sorter_interaction,95,0.4842105263157895,0.35789473684210527,0.08421052631578947,0.5157894736842106,0.7157894736842105,0.49473684210526314,0.4936899769827332,0.5578947368421052,0.1358434096115445,0.7894736842105263,0.7188253057622114
no-ICA,valence,shape_sorter_observation,60,0.5833333333333334,0.4,0.13333333333333333,0.4166666666666667,0.6833333333333333,0.5666666666666667,0.3939219517254145,0.6666666666666666,0.1302237413370004,0.7666666666666667,0.7841951436013398
no-ICA,valence,sisyphus,127,0.4251968503937008,0.2992125984251969,0.09448818897637795,0.5748031496062992,0.6614173228346457,0.5984251968503937,0.2641610781753811,0.5118110236220472,-0.2124075778825273,0.6535433070866141,0.5071908920711861
no-ICA,valence,stack,70,0.42857142857142855,0.2571428571428571,0.11428571428571428,0.5714285714285714,0.7,0.45714285714285713,0.4575917966915639,0.5714285714285714,0.15481974224879336,0.6857142857142857,0.6988543592154819
