held_out_participant,architecture,train_rows,validation_rows,test_rows,best_epoch,best_validation_mse,validation_rmse,validation_mae,test_rmse,test_mae,dummy_validation_rmse,dummy_validation_mae,dummy_test_rmse,dummy_test_mae,validation_rmse_delta,test_rmse_delta,validation_ba,test_ba,test_accuracy
P23,baseline,3436,826,118,46,3.6483893394470215,1.9100757837295532,1.619645118713379,1.9971827268600464,1.7652772665023804,1.8794593325733626,1.5629983904929148,2.102710231814588,1.862088356583335,0.030616451156190605,-0.10552750495454166,0.5033744502300187,0.533569949719018,0.6101694915254238
P26,baseline,3492,770,118,37,3.3669791221618652,1.8349330425262451,1.5744171142578125,2.5180320739746094,2.2061939239501953,1.7950301914087485,1.5366715758468334,2.2297153871485063,1.983152775350923,0.039902851117496585,0.2883166868261031,0.5070406857015639,0.49038461538461536,0.4322033898305085
P29,baseline,3332,939,109,12,3.122293710708618,1.7670013904571533,1.4674289226531982,2.0620810985565186,1.7493810653686523,1.7791547534576333,1.4667227913529628,1.9321035429108546,1.6805456127405087,-0.012153363000479978,0.12997755564566393,0.5163262502289797,0.4756944444444444,0.4036697247706422
P30,baseline,3476,784,120,13,3.0858097076416016,1.7566472291946411,1.458159327507019,1.9288314580917358,1.664966344833374,1.7753457786841524,1.4607696214273973,1.8914626106922543,1.627824127349444,-0.01869854948951133,0.03736884739948154,0.5290256248022778,0.47638232842456235,0.475
P31,baseline,3477,784,119,22,3.107820749282837,1.7629013061523438,1.461071252822876,2.149981737136841,1.9662203788757324,1.7738987469368048,1.4581876969942422,2.1314005491521546,1.9597305703989967,-0.010997440784461077,0.01858118798468622,0.5122324159021406,0.47526851328434144,0.4789915966386555
P32,baseline,3354,906,120,20,3.116544723510742,1.7653738260269165,1.4781007766723633,1.520580530166626,1.2275978326797485,1.7648193423915621,1.4702302677044705,1.5338871006344066,1.2250596302921883,0.0005544836353543747,-0.01330657046778061,0.5042038027332145,0.5233592880978866,0.5166666666666667
P33,baseline,3473,790,117,19,2.888514518737793,1.6995630264282227,1.4142694473266602,1.6855084896087646,1.4055730104446411,1.7079074415411326,1.391110811431404,1.6669305410562327,1.4555804115262798,-0.008344415112909953,0.01857794855253192,0.5186341075260401,0.5478070175438596,0.5555555555555556
P34,baseline,3320,945,115,26,3.2581732273101807,1.8050410747528076,1.509290099143982,1.776206612586975,1.550207495689392,1.7958607928992025,1.4971278765857081,1.8024114057505982,1.569426401257203,0.009180281853605088,-0.02620479316362312,0.4854631507775524,0.49486940298507465,0.5043478260869565
P35,baseline,3367,899,114,6,3.4564781188964844,1.8591606616973877,1.5781251192092896,2.1371750831604004,1.935085654258728,1.8307775603221732,1.575358622077198,2.1059787478552856,1.9196588143956563,0.028383101375214492,0.031196335305114786,0.5105915604700748,0.49286600496277916,0.5175438596491229
P36,baseline,3377,901,102,12,3.182056188583374,1.7838319540023804,1.5099126100540161,2.0192182064056396,1.7868356704711914,1.785634111610873,1.5127327021566865,2.103280505634149,1.88443159318806,-0.0018021576084925606,-0.08406229922850939,0.5045589766473301,0.5788043478260869,0.5588235294117647
P37,baseline,3383,890,107,11,3.5045745372772217,1.8720508813858032,1.6006381511688232,1.7617045640945435,1.430806040763855,1.8275845914701403,1.572647108643017,1.7145948789347338,1.3459573845036066,0.04446628991566293,0.04710968515980962,0.5056342038890245,0.4189237348538845,0.38317757009345793
P38,baseline,3325,935,120,16,3.1855697631835938,1.7848163843154907,1.4806618690490723,1.6628363132476807,1.4205641746520996,1.752417724701873,1.4575693779904304,1.6322039549923044,1.3794035087719296,0.03239865961361765,0.030632358255376246,0.4922227959210017,0.48950847944811726,0.43333333333333335
P39,baseline,3435,827,118,6,3.055086135864258,1.747880458831787,1.455001711845398,1.493251919746399,1.1742080450057983,1.7347389842721024,1.418621523579202,1.341307126776531,1.0167789208792837,0.01314147455968473,0.15194479296986785,0.5113731243588826,0.5065953654188948,0.3559322033898305
P40,baseline,3435,825,120,21,3.103299379348755,1.7616183757781982,1.4624055624008179,2.2655844688415527,1.8740596771240234,1.7039075937823855,1.3858695249437607,2.1058628884886317,1.8168995633187772,0.0577107819958127,0.15972158035292106,0.5201846389162024,0.5,0.45
P41,baseline,3494,769,117,12,3.581623077392578,1.8925176858901978,1.6124439239501953,1.9282010793685913,1.608719825744629,1.8665506792292759,1.5803692452899007,1.940173438124291,1.5979872699964288,0.025967006660921887,-0.011972358755699686,0.5001987009071724,0.5019230769230769,0.4700854700854701
P42,baseline,3327,933,120,13,3.3410096168518066,1.8278429508209229,1.551637053489685,1.3454457521438599,1.1765282154083252,1.8073178687668254,1.5506819870938064,1.4114708056143,1.1934450455866146,0.02052508205409742,-0.06602505347044008,0.5086049933330268,0.5395927601809954,0.48333333333333334
P43,baseline,3429,831,120,28,3.435777187347412,1.853584885597229,1.5265387296676636,1.350022554397583,1.0586676597595215,1.8577370239723372,1.508992984380763,1.3078910979540666,0.9854792456498492,-0.004152138375108194,0.04213145644351646,0.52295449908182,0.4620960434913923,0.5666666666666667
P44,baseline,3434,827,119,9,3.0574228763580322,1.7485488653182983,1.4694381952285767,2.520610809326172,2.233098030090332,1.7428972073522278,1.4401084820054666,2.3989194516082737,2.1625857098809234,0.005651657966070589,0.12169135771789819,0.5454367550257961,0.5880952380952381,0.453781512605042
P45,baseline,3434,826,120,4,3.5803744792938232,1.8921878337860107,1.599271297454834,1.5721936225891113,1.2881131172180176,1.887278444563903,1.5821220919984038,1.4575374731925204,1.1790380508639098,0.004909389222107707,0.11465614939659097,0.5438631046172946,0.5018315018315018,0.5166666666666667
P46,baseline,3436,826,118,51,2.9654700756073,1.7220540046691895,1.4142942428588867,1.549931287765503,1.3208692073822021,1.6774274843766053,1.363869807507463,1.5295782120816575,1.2614490637517017,0.04462652029258418,0.02035307568384548,0.539544975067127,0.4591176470588235,0.5169491525423728
