mode,target,modality,regressor,feature_count_request,feature_count_resolved,feature,selected_folds,outer_folds,selection_frequency,mean_feature_score
general,arousal,eeg,knn,10,10,eeg_se_delta__Fz,0,46,0.0,0.4762768537719983
general,arousal,eeg,knn,10,10,eeg_se_delta__Oz,0,46,0.0,0.25207736863504954
general,arousal,eeg,knn,10,10,eeg_se_delta__PO7,0,46,0.0,0.51654140133697
general,arousal,eeg,knn,10,10,eeg_se_delta__PO8,0,46,0.0,0.41653783243952547
general,arousal,eeg,knn,10,10,eeg_se_delta__Pz,0,46,0.0,1.4051136728003162
general,arousal,eeg,knn,10,10,eeg_se_gamma__C3,21,46,0.45652173913043476,29.24185570302742
general,arousal,eeg,knn,10,10,eeg_se_gamma__C4,0,46,0.0,21.885732729906955
general,arousal,eeg,knn,10,10,eeg_se_gamma__Cz,0,46,0.0,6.80376391499425
general,arousal,eeg,knn,10,10,eeg_se_gamma__Fz,0,46,0.0,11.017056883642764
general,arousal,eeg,knn,10,10,eeg_se_gamma__Oz,0,46,0.0,3.9173859002161957
general,arousal,eeg,knn,10,10,eeg_se_gamma__PO7,0,46,0.0,7.78405098066266
general,arousal,eeg,knn,10,10,eeg_se_gamma__PO8,0,46,0.0,5.685644073559085
general,arousal,eeg,knn,10,10,eeg_se_gamma__Pz,0,46,0.0,7.827401787309911
general,arousal,eeg,knn,10,10,eeg_se_theta__C3,0,46,0.0,0.4272532713215939
general,arousal,eeg,knn,10,10,eeg_se_theta__C4,0,46,0.0,4.543524687208455
general,arousal,eeg,knn,10,10,eeg_se_theta__Cz,0,46,0.0,0.12183704428368258
general,arousal,eeg,knn,10,10,eeg_se_theta__Fz,0,46,0.0,3.3699530908187034
general,arousal,eeg,knn,10,10,eeg_se_theta__Oz,0,46,0.0,0.5334460625664084
general,arousal,eeg,knn,10,10,eeg_se_theta__PO7,0,46,0.0,0.29327428344493484
general,arousal,eeg,knn,10,10,eeg_se_theta__PO8,0,46,0.0,1.4735250382963783
general,arousal,eeg,knn,10,10,eeg_se_theta__Pz,0,46,0.0,3.0311882129228644
general,arousal,eeg,knn,20,20,eeg_bp_alpha__C3,0,46,0.0,4.8395001020299295
general,arousal,eeg,knn,20,20,eeg_bp_alpha__C4,44,46,0.9565217391304348,26.698224364505865
general,arousal,eeg,knn,20,20,eeg_bp_alpha__Cz,0,46,0.0,6.815720948141891
general,arousal,eeg,knn,20,20,eeg_bp_alpha__Fz,2,46,0.043478260869565216,16.198512212357972
general,arousal,eeg,knn,20,20,eeg_bp_alpha__Oz,0,46,0.0,1.6744014911031753
general,arousal,eeg,knn,20,20,eeg_bp_alpha__PO7,1,46,0.021739130434782608,10.660485315152116
general,arousal,eeg,knn,20,20,eeg_bp_alpha__PO8,0,46,0.0,1.9432811004873627
general,arousal,eeg,knn,20,20,eeg_bp_alpha__Pz,46,46,1.0,80.23313141557152
general,arousal,eeg,knn,20,20,eeg_bp_beta__C3,0,46,0.0,0.9325591920251033
general,arousal,eeg,knn,20,20,eeg_bp_beta__C4,0,46,0.0,3.834847585011328
general,arousal,eeg,knn,20,20,eeg_bp_beta__Cz,0,46,0.0,4.000744360574041
general,arousal,eeg,knn,20,20,eeg_bp_beta__Fz,0,46,0.0,6.502022131278722
general,arousal,eeg,knn,20,20,eeg_bp_beta__Oz,0,46,0.0,1.3247857979072983
general,arousal,eeg,knn,20,20,eeg_bp_beta__PO7,1,46,0.021739130434782608,11.371981286035105
general,arousal,eeg,knn,20,20,eeg_bp_beta__PO8,0,46,0.0,5.522389594794757
general,arousal,eeg,knn,20,20,eeg_bp_beta__Pz,39,46,0.8478260869565217,23.063695499862433
general,arousal,eeg,knn,20,20,eeg_bp_delta__C3,0,46,0.0,5.3463778104537605
general,arousal,eeg,knn,20,20,eeg_bp_delta__C4,0,46,0.0,3.2682534854947436
general,arousal,eeg,knn,20,20,eeg_bp_delta__Cz,0,46,0.0,4.418615957942825
general,arousal,eeg,knn,20,20,eeg_bp_delta__Fz,0,46,0.0,13.0172872183545
general,arousal,eeg,knn,20,20,eeg_bp_delta__Oz,0,46,0.0,2.796048203471645
general,arousal,eeg,knn,20,20,eeg_bp_delta__PO7,0,46,0.0,3.8845724682121303
general,arousal,eeg,knn,20,20,eeg_bp_delta__PO8,0,46,0.0,6.718534566039267
general,arousal,eeg,knn,20,20,eeg_bp_delta__Pz,0,46,0.0,0.2523954378288423
general,arousal,eeg,knn,20,20,eeg_bp_gamma__C3,0,46,0.0,4.532618810905625
general,arousal,eeg,knn,20,20,eeg_bp_gamma__C4,0,46,0.0,0.12182784161258862
general,arousal,eeg,knn,20,20,eeg_bp_gamma__Cz,0,46,0.0,2.2744349682025944
general,arousal,eeg,knn,20,20,eeg_bp_gamma__Fz,0,46,0.0,0.26431596283796466
general,arousal,eeg,knn,20,20,eeg_bp_gamma__Oz,0,46,0.0,0.20285683110602676
general,arousal,eeg,knn,20,20,eeg_bp_gamma__PO7,0,46,0.0,2.0376039579233236
general,arousal,eeg,knn,20,20,eeg_bp_gamma__PO8,0,46,0.0,4.863225129570936
general,arousal,eeg,knn,20,20,eeg_bp_gamma__Pz,0,46,0.0,0.2746681903358055
