participant,condition,target,model_id,model_rank,modality,classifier,feature_request,task,n_windows,mean_high_probability,median_high_probability,sd_high_probability,fraction_predicted_high
P27,ICA,valence,valence__multimodal__svm__10,2,multimodal,svm,10,pick_place,35,0.7448220156942891,0.7743170026589677,0.13361828652864058,0.8857142857142857
P27,ICA,valence,valence__multimodal__svm__10,2,multimodal,svm,10,shape_sorter_alone,12,0.6893576735163686,0.7541036386424416,0.22207168690249943,0.75
P27,ICA,valence,valence__multimodal__svm__10,2,multimodal,svm,10,shape_sorter_interaction,87,0.6517541620085382,0.6957115209027401,0.1773999847855156,0.7471264367816092
P27,ICA,valence,valence__multimodal__svm__10,2,multimodal,svm,10,shape_sorter_observation,53,0.702840776792028,0.7415298849751674,0.13518220646618354,0.8301886792452831
P27,ICA,valence,valence__multimodal__svm__10,2,multimodal,svm,10,sisyphus,120,0.6572912830304566,0.702712427230632,0.20692840455804118,0.7333333333333333
P27,ICA,valence,valence__multimodal__svm__10,2,multimodal,svm,10,stack,64,0.6893759161210539,0.6792243543919934,0.11098400362266705,0.84375
P27,no-ICA,arousal,arousal__eeg__knn__5,3,eeg,knn,5,pick_place,41,0.8083623693379791,0.8571428571428571,0.1678488025209453,1.0
P27,no-ICA,arousal,arousal__eeg__knn__5,3,eeg,knn,5,shape_sorter_alone,29,0.6896551724137931,0.7142857142857143,0.19493949692028945,0.7586206896551724
P27,no-ICA,arousal,arousal__eeg__knn__5,3,eeg,knn,5,shape_sorter_interaction,95,0.7037593984962407,0.7142857142857143,0.18549449849598965,0.8526315789473684
P27,no-ICA,arousal,arousal__eeg__knn__5,3,eeg,knn,5,shape_sorter_observation,60,0.8309523809523809,0.8571428571428571,0.1887380338679537,0.9333333333333333
P27,no-ICA,arousal,arousal__eeg__knn__5,3,eeg,knn,5,sisyphus,127,0.7547806524184476,0.8571428571428571,0.18953648967535683,0.8582677165354331
P27,no-ICA,arousal,arousal__eeg__knn__5,3,eeg,knn,5,stack,70,0.8489795918367347,0.8571428571428571,0.13516717504239223,0.9857142857142858
P27,no-ICA,arousal,arousal__multimodal__gnb__10,2,multimodal,gnb,10,pick_place,35,0.809221111579147,0.86610500601371,0.22564640236504507,0.8857142857142857
