participant,target,modality,classifier,feature_family,channel_subset,feature_count_request,analysis_tier,available_feature_count,feature_count_resolved,outer_folds,mean_outer_cv_balanced_accuracy,fold_ba_sd,outer_fold_ba_values,mean_accuracy,low_count,high_count,sample_size
P01,valence,multimodal,gnb,all_eeg_plus_face,all_channels,20,primary,130,20,5,0.5353962703962705,0.08767580416709804,"[0.48461538461538467, 0.5961538461538461, 0.6515151515151515, 0.5113636363636364, 0.43333333333333335]",0.5517786561264822,52,62,114
P01,valence,multimodal,gnb,all_eeg_plus_face,all_channels,5,primary,130,5,5,0.500058275058275,0.04975531505656547,"[0.47307692307692306, 0.4461538461538461, 0.5568181818181819, 0.5492424242424242, 0.475]",0.5260869565217391,52,62,114
P01,valence,multimodal,logreg,all_eeg_plus_face,all_channels,10,primary,130,10,5,0.5226573426573428,0.052813978331838346,"[0.5461538461538462, 0.4307692307692308, 0.5303030303030303, 0.5643939393939394, 0.5416666666666667]",0.5264822134387351,52,62,114
P01,valence,multimodal,logreg,all_eeg_plus_face,all_channels,20,primary,130,20,5,0.49280885780885786,0.07009878637253844,"[0.5576923076923077, 0.46923076923076923, 0.48484848484848486, 0.5606060606060606, 0.3916666666666667]",0.4992094861660079,52,62,114
P01,valence,multimodal,logreg,all_eeg_plus_face,all_channels,5,primary,130,5,5,0.5628205128205128,0.07607124189921635,"[0.5846153846153846, 0.4461538461538461, 0.6098484848484849, 0.6401515151515151, 0.5333333333333333]",0.5786561264822134,52,62,114
P01,valence,multimodal,svm,all_eeg_plus_face,all_channels,10,primary,130,10,5,0.5473193473193473,0.07709699911552075,"[0.5192307692307692, 0.49615384615384617, 0.5303030303030303, 0.5075757575757576, 0.6833333333333333]",0.5537549407114624,52,62,114
P01,valence,multimodal,svm,all_eeg_plus_face,all_channels,20,primary,130,20,5,0.5604778554778556,0.08164608525145242,"[0.5230769230769231, 0.5346153846153846, 0.696969696969697, 0.5643939393939394, 0.4833333333333333]",0.5782608695652174,52,62,114
P01,valence,multimodal,svm,all_eeg_plus_face,all_channels,5,primary,130,5,5,0.5063752913752914,0.05317881813857912,"[0.5076923076923077, 0.4461538461538461, 0.5909090909090909, 0.5037878787878788, 0.4833333333333333]",0.5260869565217392,52,62,114
P02,arousal,face,gnb,face_geometry,all_face,5,primary,10,5,5,0.4257326007326007,0.06426040947591248,"[0.5341880341880342, 0.4188034188034188, 0.4017094017094017, 0.3632478632478633, 0.4107142857142857]",0.4454545454545455,44,66,110
P02,arousal,face,gnb,face_geometry,all_face,all,primary,10,all,5,0.4513736263736264,0.11264458004546096,"[0.3162393162393162, 0.6025641025641025, 0.5256410256410257, 0.4017094017094017, 0.4107142857142857]",0.42727272727272725,44,66,110
P02,arousal,face,logreg,face_geometry,all_face,5,primary,10,5,5,0.5078296703296703,0.10191480424922351,"[0.5, 0.5470085470085471, 0.5341880341880342, 0.3418803418803419, 0.6160714285714286]",0.5545454545454545,44,66,110
P02,arousal,face,logreg,face_geometry,all_face,all,primary,10,all,5,0.442979242979243,0.0709713195976119,"[0.43162393162393164, 0.4786324786324786, 0.5341880341880342, 0.3418803418803419, 0.4285714285714286]",0.4636363636363637,44,66,110
P02,arousal,face,svm,face_geometry,all_face,5,primary,10,5,5,0.49050671550671554,0.06830383989262644,"[0.5, 0.46153846153846156, 0.5, 0.4017094017094017, 0.5892857142857143]",0.5454545454545455,44,66,110
P02,arousal,face,svm,face_geometry,all_face,all,primary,10,all,5,0.4641788766788767,0.08496279798725231,"[0.5, 0.45726495726495725, 0.5341880341880342, 0.3205128205128205, 0.5089285714285714]",0.509090909090909,44,66,110
P02,arousal,multimodal,gnb,all_eeg_plus_face,all_channels,10,primary,130,10,5,0.44752747252747255,0.0777799551116255,"[0.375, 0.5, 0.4583333333333333, 0.5416666666666667, 0.3626373626373626]",0.48,39,61,100
P02,arousal,multimodal,gnb,all_eeg_plus_face,all_channels,20,primary,130,20,5,0.5004120879120879,0.14929464458421898,"[0.3333333333333333, 0.625, 0.4166666666666667, 0.6875, 0.43956043956043955]",0.54,39,61,100
P02,arousal,multimodal,gnb,all_eeg_plus_face,all_channels,5,primary,130,5,5,0.43086080586080583,0.07095943281771044,"[0.4375, 0.5, 0.3541666666666667, 0.5, 0.3626373626373626]",0.4600000000000001,39,61,100
P02,arousal,multimodal,logreg,all_eeg_plus_face,all_channels,10,primary,130,10,5,0.44848901098901095,0.10993839083603138,"[0.375, 0.4375, 0.3125, 0.5625, 0.554945054945055]",0.49000000000000005,39,61,100
P02,arousal,multimodal,logreg,all_eeg_plus_face,all_channels,20,primary,130,20,5,0.44253663003663,0.09748715825706088,"[0.3333333333333333, 0.4375, 0.375, 0.5833333333333333, 0.48351648351648346]",0.49000000000000005,39,61,100
