participant,target,modality,classifier,feature_family,channel_subset,feature_count_request,analysis_tier,available_feature_count,feature_count_resolved,outer_folds,mean_outer_cv_balanced_accuracy,fold_ba_sd,outer_fold_ba_values,mean_accuracy,low_count,high_count,sample_size,absolute_rank
P04,arousal,multimodal,svm,all_eeg_plus_face,all_channels,20,primary,130,20,5,0.5487637362637363,0.09416620959159304,"[0.4951923076923077, 0.5865384615384616, 0.41208791208791207, 0.6458333333333333, 0.6041666666666667]",0.588095238095238,39,63,102,1
P04,arousal,multimodal,logreg,all_eeg_plus_face,all_channels,5,primary,130,5,5,0.4966575091575091,0.1390123010985002,"[0.6057692307692308, 0.5961538461538461, 0.30219780219780223, 0.39583333333333337, 0.5833333333333333]",0.508095238095238,39,63,102,2
P04,arousal,multimodal,svm,all_eeg_plus_face,all_channels,10,primary,130,10,5,0.48044871794871796,0.08315902628219321,"[0.4278846153846154, 0.4855769230769231, 0.38461538461538464, 0.6041666666666667, 0.5]",0.5404761904761906,39,63,102,3
P04,valence,face,svm,face_geometry,all_face,5,primary,10,5,5,0.6022222222222222,0.06255861449004109,"[0.5333333333333333, 0.6, 0.7, 0.6111111111111112, 0.5666666666666667]",0.5916666666666667,45,75,120,1
P04,valence,face,svm,face_geometry,all_face,all,primary,10,all,5,0.58,0.05465943944999482,"[0.5333333333333333, 0.5888888888888888, 0.5333333333333333, 0.5777777777777777, 0.6666666666666666]",0.5916666666666667,45,75,120,2
P04,valence,face,logreg,face_geometry,all_face,all,primary,10,all,5,0.5777777777777777,0.0538631095268481,"[0.5777777777777777, 0.6222222222222222, 0.5, 0.5555555555555556, 0.6333333333333333]",0.6,45,75,120,3
P04,valence,multimodal,gnb,all_eeg_plus_face,all_channels,5,primary,130,5,5,0.606456043956044,0.11244560365593721,"[0.7596153846153846, 0.4951923076923077, 0.5274725274725275, 0.6875, 0.5625]",0.6371428571428571,39,63,102,1
P04,valence,multimodal,logreg,all_eeg_plus_face,all_channels,20,primary,130,20,5,0.5886904761904762,0.07906834378839835,"[0.6826923076923077, 0.47115384615384615, 0.5604395604395604, 0.625, 0.6041666666666667]",0.5980952380952381,39,63,102,2
P04,valence,multimodal,logreg,all_eeg_plus_face,all_channels,5,primary,130,5,5,0.5795329670329671,0.11971490746332734,"[0.6730769230769231, 0.3701923076923077, 0.6043956043956045, 0.625, 0.625]",0.6285714285714286,39,63,102,3
P05,arousal,face,gnb,face_geometry,all_face,5,primary,10,5,5,0.5215873015873015,0.10470537195194844,"[0.4714285714285714, 0.5555555555555556, 0.36666666666666664, 0.5793650793650793, 0.6349206349206349]",0.5771739130434783,46,72,118,1
P05,arousal,face,logreg,face_geometry,all_face,all,primary,10,all,5,0.516984126984127,0.15448652748900465,"[0.37142857142857144, 0.7111111111111111, 0.3555555555555555, 0.5277777777777778, 0.6190476190476191]",0.5427536231884058,46,72,118,2
