participant,target,classifier,modality,feature_family,channel_subset,feature_count_request,analysis_tier,available_feature_count,fold,feature_count_resolved,outer_folds,best_parameters,inner_best_balanced_accuracy,selected_feature_names
P01,valence,logreg,multimodal,all_eeg_plus_face,all_channels,5,primary,130,5,5,5,"{""classifier__C"": 1, ""classifier__class_weight"": null}",0.5493697478991596,"[""eeg_sd__C3"", ""eeg_bp_delta__C3"", ""eeg_se_delta__Cz"", ""eeg_bp_theta__C3"", ""eeg_bp_beta__C3""]"
P01,valence,svm,multimodal,all_eeg_plus_face,all_channels,5,primary,130,1,5,5,"{""classifier__C"": 10, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.5268732492997199,"[""eeg_sd__C3"", ""eeg_bp_theta__C3"", ""eeg_bp_beta__C3"", ""video_eso_norm_std"", ""video_mwo_norm_std""]"
P01,valence,svm,multimodal,all_eeg_plus_face,all_channels,5,primary,130,2,5,5,"{""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.5769432773109243,"[""eeg_hc__Oz"", ""eeg_se_theta__Cz"", ""eeg_bp_alpha__C3"", ""eeg_bp_beta__C3"", ""video_irisdo_norm_mean""]"
P01,valence,svm,multimodal,all_eeg_plus_face,all_channels,5,primary,130,3,5,5,"{""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}",0.49682180564533507,"[""eeg_mf_hz__PO7"", ""eeg_bp_theta__C3"", ""eeg_bp_beta__C3"", ""video_eso_norm_std"", ""video_mwo_norm_std""]"
P01,valence,svm,multimodal,all_eeg_plus_face,all_channels,5,primary,130,4,5,5,"{""classifier__C"": 0.1, ""classifier__class_weight"": null, ""classifier__kernel"": ""linear""}",0.4899132730015083,"[""eeg_sd__C3"", ""eeg_hm__Oz"", ""eeg_hc__Oz"", ""eeg_bp_theta__C3"", ""eeg_bp_beta__C3""]"
P01,valence,svm,multimodal,all_eeg_plus_face,all_channels,5,primary,130,5,5,5,"{""classifier__C"": 10, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.5817577030812325,"[""eeg_sd__C3"", ""eeg_bp_delta__C3"", ""eeg_se_delta__Cz"", ""eeg_bp_theta__C3"", ""eeg_bp_beta__C3""]"
P01,valence,gnb,multimodal,all_eeg_plus_face,all_channels,5,primary,130,1,5,5,"{""classifier__var_smoothing"": 1e-11}",0.4979866946778711,"[""eeg_sd__C3"", ""eeg_bp_theta__C3"", ""eeg_bp_beta__C3"", ""video_eso_norm_std"", ""video_mwo_norm_std""]"
P01,valence,gnb,multimodal,all_eeg_plus_face,all_channels,5,primary,130,2,5,5,"{""classifier__var_smoothing"": 1e-11}",0.5209208683473389,"[""eeg_hc__Oz"", ""eeg_se_theta__Cz"", ""eeg_bp_alpha__C3"", ""eeg_bp_beta__C3"", ""video_irisdo_norm_mean""]"
P01,valence,gnb,multimodal,all_eeg_plus_face,all_channels,5,primary,130,3,5,5,"{""classifier__var_smoothing"": 1e-11}",0.5167797888386124,"[""eeg_mf_hz__PO7"", ""eeg_bp_theta__C3"", ""eeg_bp_beta__C3"", ""video_eso_norm_std"", ""video_mwo_norm_std""]"
P01,valence,gnb,multimodal,all_eeg_plus_face,all_channels,5,primary,130,4,5,5,"{""classifier__var_smoothing"": 1e-11}",0.5167797888386123,"[""eeg_sd__C3"", ""eeg_hm__Oz"", ""eeg_hc__Oz"", ""eeg_bp_theta__C3"", ""eeg_bp_beta__C3""]"
P01,valence,gnb,multimodal,all_eeg_plus_face,all_channels,5,primary,130,5,5,5,"{""classifier__var_smoothing"": 1e-11}",0.5168067226890757,"[""eeg_sd__C3"", ""eeg_bp_delta__C3"", ""eeg_se_delta__Cz"", ""eeg_bp_theta__C3"", ""eeg_bp_beta__C3""]"
P01,valence,logreg,multimodal,all_eeg_plus_face,all_channels,10,primary,130,1,10,5,"{""classifier__C"": 0.01, ""classifier__class_weight"": null}",0.5370273109243698,"[""eeg_sd__C3"", ""eeg_bp_delta__C3"", ""eeg_bp_theta__C3"", ""eeg_bp_theta__Cz"", ""eeg_bp_beta__C3"", ""eeg_bp_beta__Cz"", ""eeg_se_gamma__Cz"", ""video_eso_norm_std"", ""video_enso_norm_std"", ""video_mwo_norm_std""]"
P01,valence,logreg,multimodal,all_eeg_plus_face,all_channels,10,primary,130,2,10,5,"{""classifier__C"": 0.01, ""classifier__class_weight"": ""balanced""}",0.5367647058823529,"[""eeg_hc__Oz"", ""eeg_bp_theta__C3"", ""eeg_se_theta__Cz"", ""eeg_bp_alpha__C3"", ""eeg_bp_alpha__Oz"", ""eeg_bp_beta__C3"", ""eeg_bp_beta__Oz"", ""eeg_se_beta__C3"", ""video_irisdo_norm_mean"", ""video_eso_norm_std""]"
P01,valence,logreg,multimodal,all_eeg_plus_face,all_channels,10,primary,130,3,10,5,"{""classifier__C"": 0.01, ""classifier__class_weight"": ""balanced""}",0.4512699310493429,"[""eeg_mf_hz__PO7"", ""eeg_bp_theta__C3"", ""eeg_bp_theta__Pz"", ""eeg_se_theta__C3"", ""eeg_bp_alpha__C3"", ""eeg_se_alpha__Pz"", ""eeg_bp_beta__C3"", ""video_irisdo_norm_mean"", ""video_eso_norm_std"", ""video_mwo_norm_std""]"
P01,valence,logreg,multimodal,all_eeg_plus_face,all_channels,10,primary,130,4,10,5,"{""classifier__C"": 0.01, ""classifier__class_weight"": ""balanced""}",0.460279304029304,"[""eeg_sd__C3"", ""eeg_hm__Oz"", ""eeg_hc__Oz"", ""eeg_mf_hz__PO7"", ""eeg_bp_theta__C3"", ""eeg_se_theta__C3"", ""eeg_se_theta__Cz"", ""eeg_se_alpha__Pz"", ""eeg_bp_beta__C3"", ""eeg_bp_beta__Oz""]"
P01,valence,logreg,multimodal,all_eeg_plus_face,all_channels,10,primary,130,5,10,5,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced""}",0.5238095238095237,"[""eeg_sd__C3"", ""eeg_mf_hz__Cz"", ""eeg_bp_delta__C3"", ""eeg_se_delta__Cz"", ""eeg_bp_theta__C3"", ""eeg_bp_theta__Cz"", ""eeg_bp_beta__C3"", ""video_eso_norm_std"", ""video_enso_norm_std"", ""video_mwo_norm_std""]"
P01,valence,svm,multimodal,all_eeg_plus_face,all_channels,10,primary,130,1,10,5,"{""classifier__C"": 10, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.5212710084033613,"[""eeg_sd__C3"", ""eeg_bp_delta__C3"", ""eeg_bp_theta__C3"", ""eeg_bp_theta__Cz"", ""eeg_bp_beta__C3"", ""eeg_bp_beta__Cz"", ""eeg_se_gamma__Cz"", ""video_eso_norm_std"", ""video_enso_norm_std"", ""video_mwo_norm_std""]"
P01,valence,svm,multimodal,all_eeg_plus_face,all_channels,10,primary,130,2,10,5,"{""classifier__C"": 10, ""classifier__class_weight"": ""balanced"", ""classifier__kernel"": ""linear""}",0.5450805322128852,"[""eeg_hc__Oz"", ""eeg_bp_theta__C3"", ""eeg_se_theta__Cz"", ""eeg_bp_alpha__C3"", ""eeg_bp_alpha__Oz"", ""eeg_bp_beta__C3"", ""eeg_bp_beta__Oz"", ""eeg_se_beta__C3"", ""video_irisdo_norm_mean"", ""video_eso_norm_std""]"
P01,valence,svm,multimodal,all_eeg_plus_face,all_channels,10,primary,130,3,10,5,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}",0.47633861236802416,"[""eeg_mf_hz__PO7"", ""eeg_bp_theta__C3"", ""eeg_bp_theta__Pz"", ""eeg_se_theta__C3"", ""eeg_bp_alpha__C3"", ""eeg_se_alpha__Pz"", ""eeg_bp_beta__C3"", ""video_irisdo_norm_mean"", ""video_eso_norm_std"", ""video_mwo_norm_std""]"
P01,valence,svm,multimodal,all_eeg_plus_face,all_channels,10,primary,130,4,10,5,"{""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}",0.46190206851971555,"[""eeg_sd__C3"", ""eeg_hm__Oz"", ""eeg_hc__Oz"", ""eeg_mf_hz__PO7"", ""eeg_bp_theta__C3"", ""eeg_se_theta__C3"", ""eeg_se_theta__Cz"", ""eeg_se_alpha__Pz"", ""eeg_bp_beta__C3"", ""eeg_bp_beta__Oz""]"
P01,valence,svm,multimodal,all_eeg_plus_face,all_channels,10,primary,130,5,10,5,"{""classifier__C"": 10, ""classifier__class_weight"": null, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.5927871148459384,"[""eeg_sd__C3"", ""eeg_mf_hz__Cz"", ""eeg_bp_delta__C3"", ""eeg_se_delta__Cz"", ""eeg_bp_theta__C3"", ""eeg_bp_theta__Cz"", ""eeg_bp_beta__C3"", ""video_eso_norm_std"", ""video_enso_norm_std"", ""video_mwo_norm_std""]"
P01,valence,gnb,multimodal,all_eeg_plus_face,all_channels,10,primary,130,1,10,5,"{""classifier__var_smoothing"": 1e-11}",0.4992121848739495,"[""eeg_sd__C3"", ""eeg_bp_delta__C3"", ""eeg_bp_theta__C3"", ""eeg_bp_theta__Cz"", ""eeg_bp_beta__C3"", ""eeg_bp_beta__Cz"", ""eeg_se_gamma__Cz"", ""video_eso_norm_std"", ""video_enso_norm_std"", ""video_mwo_norm_std""]"
