participant,target,classifier,modality,feature_family,channel_subset,feature_count_request,analysis_tier,available_feature_count,fold,feature_count_resolved,outer_folds,sample_size,train_size,test_size,low_count,high_count,balanced_accuracy,accuracy
P01,arousal,gnb,face,face_geometry,all_face,all,primary,10,5,all,5,118,95,23,47,71,0.6706349206349207,0.6956521739130435
P01,arousal,logreg,multimodal,all_eeg_plus_face,all_channels,5,primary,130,1,5,5,112,89,23,45,67,0.3968253968253968,0.43478260869565216
P01,arousal,logreg,multimodal,all_eeg_plus_face,all_channels,5,primary,130,2,5,5,112,89,23,45,67,0.5793650793650793,0.6086956521739131
P01,arousal,logreg,multimodal,all_eeg_plus_face,all_channels,5,primary,130,3,5,5,112,90,22,45,67,0.5128205128205128,0.5454545454545454
P01,arousal,logreg,multimodal,all_eeg_plus_face,all_channels,5,primary,130,4,5,5,112,90,22,45,67,0.6025641025641025,0.5909090909090909
P01,arousal,logreg,multimodal,all_eeg_plus_face,all_channels,5,primary,130,5,5,5,112,90,22,45,67,0.6837606837606838,0.7272727272727273
P01,arousal,svm,multimodal,all_eeg_plus_face,all_channels,5,primary,130,1,5,5,112,89,23,45,67,0.3968253968253968,0.43478260869565216
P01,arousal,svm,multimodal,all_eeg_plus_face,all_channels,5,primary,130,2,5,5,112,89,23,45,67,0.5952380952380952,0.6521739130434783
P01,arousal,svm,multimodal,all_eeg_plus_face,all_channels,5,primary,130,3,5,5,112,90,22,45,67,0.5128205128205128,0.5454545454545454
P01,arousal,svm,multimodal,all_eeg_plus_face,all_channels,5,primary,130,4,5,5,112,90,22,45,67,0.5854700854700855,0.5909090909090909
P01,arousal,svm,multimodal,all_eeg_plus_face,all_channels,5,primary,130,5,5,5,112,90,22,45,67,0.6282051282051282,0.6818181818181818
P01,arousal,gnb,multimodal,all_eeg_plus_face,all_channels,5,primary,130,1,5,5,112,89,23,45,67,0.45238095238095233,0.4782608695652174
P01,arousal,gnb,multimodal,all_eeg_plus_face,all_channels,5,primary,130,2,5,5,112,89,23,45,67,0.5793650793650793,0.6086956521739131
P01,arousal,gnb,multimodal,all_eeg_plus_face,all_channels,5,primary,130,3,5,5,112,90,22,45,67,0.5683760683760684,0.5909090909090909
P01,arousal,gnb,multimodal,all_eeg_plus_face,all_channels,5,primary,130,4,5,5,112,90,22,45,67,0.6452991452991452,0.6818181818181818
P01,arousal,gnb,multimodal,all_eeg_plus_face,all_channels,5,primary,130,5,5,5,112,90,22,45,67,0.6837606837606838,0.7272727272727273
