condition,model_id,task,feature_group,window_count,median_nearest_image_distance,iqr_nearest_image_distance,fraction_windows_with_outside,fraction_feature_values_outside,median_abs_image_z,maximum_abs_image_z
ICA,arousal__multimodal__knn__5,pick_place,all_selected,35,0.8348337513160218,0.6234220711371234,0.08571428571428572,0.017142857142857144,0.6233862076712291,5.907431658231718
ICA,arousal__multimodal__knn__5,shape_sorter_alone,all_selected,12,2.9332741799023285,18.79821875620565,0.5833333333333334,0.1666666666666667,0.8736221222945039,65.98690734696525
ICA,arousal__multimodal__knn__5,shape_sorter_interaction,all_selected,87,1.111734839246981,0.6666941588626988,0.26436781609195403,0.055172413793103454,0.5883648559087928,15.178813443984705
ICA,arousal__multimodal__knn__5,shape_sorter_observation,all_selected,53,0.7204041788976572,0.3128878645093347,0.03773584905660377,0.011320754716981133,0.7109374812668294,6.697547930716461
ICA,arousal__multimodal__knn__5,sisyphus,all_selected,120,1.650983782221649,7.691104638627054,0.4583333333333333,0.155,0.7215106858880669,918.1120348706618
ICA,arousal__multimodal__knn__5,stack,all_selected,64,0.8394425980941367,0.5158410704360056,0.046875,0.009375000000000001,0.7362278405553402,4.819295247111203
ICA,arousal__multimodal__knn__5,pick_place,eeg_selected,35,0.8348337513160218,0.6234220711371234,0.08571428571428572,0.02142857142857143,0.644272123394452,5.907431658231718
ICA,arousal__multimodal__knn__5,shape_sorter_alone,eeg_selected,12,2.9332741799023285,18.79821875620565,0.5833333333333334,0.20833333333333334,0.9902599960111393,65.98690734696525
ICA,arousal__multimodal__knn__5,shape_sorter_interaction,eeg_selected,87,1.111734839246981,0.6666941588626988,0.26436781609195403,0.06896551724137931,0.6738497836138084,15.178813443984705
ICA,arousal__multimodal__knn__5,shape_sorter_observation,eeg_selected,53,0.7204041788976572,0.3128878645093347,0.03773584905660377,0.014150943396226415,0.7071086067361371,6.697547930716461
ICA,arousal__multimodal__knn__5,sisyphus,eeg_selected,120,1.650983782221649,7.691104638627054,0.4583333333333333,0.19375,0.9913456233562792,918.1120348706618
ICA,arousal__multimodal__knn__5,stack,eeg_selected,64,0.8394425980941367,0.5158410704360056,0.046875,0.01171875,0.7886447934806615,4.819295247111203
ICA,arousal__multimodal__knn__5,pick_place,face_selected,35,0.8348337513160218,0.6234220711371234,0.0,0.0,0.4459147798453216,1.337966238900277
ICA,arousal__multimodal__knn__5,shape_sorter_alone,face_selected,12,2.9332741799023285,18.79821875620565,0.0,0.0,0.38950145505930034,1.0393006278818995
ICA,arousal__multimodal__knn__5,shape_sorter_interaction,face_selected,87,1.111734839246981,0.6666941588626988,0.0,0.0,0.3819727122047537,1.544454981200337
ICA,arousal__multimodal__knn__5,shape_sorter_observation,face_selected,53,0.7204041788976572,0.3128878645093347,0.0,0.0,0.3905142783050983,1.6682431482934488
ICA,arousal__multimodal__knn__5,sisyphus,face_selected,120,1.650983782221649,7.691104638627054,0.0,0.0,0.37114539628269017,2.2313897950465207
ICA,arousal__multimodal__knn__5,stack,face_selected,64,0.8394425980941367,0.5158410704360056,0.0,0.0,0.4183420041753332,2.282218874965917
ICA,arousal__multimodal__gnb__10,pick_place,all_selected,35,2.2156967283943816,0.6504333466184553,0.22857142857142856,0.022857142857142857,0.6654360338594774,5.907431658231718
ICA,arousal__multimodal__gnb__10,shape_sorter_alone,all_selected,12,5.5976652713935895,17.07593607420161,0.75,0.15,0.9064447794047471,65.98690734696525
ICA,arousal__multimodal__gnb__10,shape_sorter_interaction,all_selected,87,2.6211953783620445,1.8826413873704686,0.3793103448275862,0.04827586206896551,0.6678593535208261,15.178813443984705
ICA,arousal__multimodal__gnb__10,shape_sorter_observation,all_selected,53,2.0009621236668704,1.0352505598922292,0.09433962264150944,0.016981132075471698,0.7136773192921521,6.9807386859483325
ICA,arousal__multimodal__gnb__10,sisyphus,all_selected,120,2.667717179773275,7.412967996494085,0.49166666666666664,0.12583333333333335,0.763511751419325,918.1120348706618
ICA,arousal__multimodal__gnb__10,stack,all_selected,64,2.1438531496517896,0.9359140375862809,0.15625,0.0171875,0.6959194203730777,5.8644559188490115
ICA,arousal__multimodal__gnb__10,pick_place,eeg_selected,35,2.2156967283943816,0.6504333466184553,0.22857142857142856,0.03265306122448979,0.739875977642737,5.907431658231718
ICA,arousal__multimodal__gnb__10,shape_sorter_alone,eeg_selected,12,5.5976652713935895,17.07593607420161,0.6666666666666666,0.15476190476190474,0.9354412567856257,65.98690734696525
ICA,arousal__multimodal__gnb__10,shape_sorter_interaction,eeg_selected,87,2.6211953783620445,1.8826413873704686,0.367816091954023,0.06568144499178982,0.7180884836289054,15.178813443984705
ICA,arousal__multimodal__gnb__10,shape_sorter_observation,eeg_selected,53,2.0009621236668704,1.0352505598922292,0.09433962264150944,0.024258760107816708,0.7243882080130374,6.9807386859483325
ICA,arousal__multimodal__gnb__10,sisyphus,eeg_selected,120,2.667717179773275,7.412967996494085,0.49166666666666664,0.17619047619047615,0.9701655337565162,918.1120348706618
ICA,arousal__multimodal__gnb__10,stack,eeg_selected,64,2.1438531496517896,0.9359140375862809,0.15625,0.02232142857142857,0.803424582291616,5.8644559188490115
ICA,arousal__multimodal__gnb__10,pick_place,face_selected,35,2.2156967283943816,0.6504333466184553,0.0,0.0,0.5562747553392767,2.86242231148376
ICA,arousal__multimodal__gnb__10,shape_sorter_alone,face_selected,12,5.5976652713935895,17.07593607420161,0.4166666666666667,0.13888888888888887,0.6962788583516795,7.0814758677721485
ICA,arousal__multimodal__gnb__10,shape_sorter_interaction,face_selected,87,2.6211953783620445,1.8826413873704686,0.022988505747126436,0.007662835249042145,0.4950111074409972,5.889419184505738
ICA,arousal__multimodal__gnb__10,shape_sorter_observation,face_selected,53,2.0009621236668704,1.0352505598922292,0.0,0.0,0.5545044766608977,4.5390879595651965
ICA,arousal__multimodal__gnb__10,sisyphus,face_selected,120,2.667717179773275,7.412967996494085,0.025,0.008333333333333333,0.4970067652394545,6.804057864599821
ICA,arousal__multimodal__gnb__10,stack,face_selected,64,2.1438531496517896,0.9359140375862809,0.015625,0.005208333333333333,0.5048799166711218,4.293698143103564
