analysis_type,branch,outcome,predictor,n_task_cases,n_participants,coefficient_per_1sd,odds_ratio_per_1sd,coefficient_ci_95_low,coefficient_ci_95_high,p_value_bootstrap_sign,spearman_rho,p_value_raw,target,task,p_value_fdr_bh
participant_mean_spearman,modality_agnostic,absolute_margin,median_abs_image_z,,46,,,,,,0.244650015417823,0.10128812907894982,,,
participant_mean_spearman,modality_agnostic,unanimous_agreement,median_abs_image_z,,46,,,,,,-0.1417823003391921,0.3472637116968297,,,
participant_mean_spearman,modality_agnostic,probability_range,median_abs_image_z,,46,,,,,,0.3181621954979957,0.031174678984264473,,,
within_task_target_spearman_descriptive,modality_agnostic,correct,nearest_image_distance,46.0,46,,,,,,0.23445844031281562,0.11679663225694574,valence,pick_place,
within_task_target_spearman_descriptive,modality_agnostic,correct,outside_selected_fraction,46.0,46,,,,,,-0.13136729046561166,0.3841713434689209,valence,pick_place,
within_task_target_spearman_descriptive,modality_agnostic,correct,median_abs_image_z,46.0,46,,,,,,-0.06485020689503411,0.6685184636684561,valence,pick_place,
within_task_target_spearman_descriptive,modality_agnostic,correct,nearest_image_distance,46.0,46,,,,,,0.05945744878515459,0.694681661665653,valence,shape_sorter_observation,
within_task_target_spearman_descriptive,modality_agnostic,correct,outside_selected_fraction,46.0,46,,,,,,0.08258233649833842,0.585327308485015,valence,shape_sorter_observation,
within_task_target_spearman_descriptive,modality_agnostic,correct,median_abs_image_z,46.0,46,,,,,,-0.04954787398762882,0.7436658512749494,valence,shape_sorter_observation,
within_task_target_spearman_descriptive,modality_agnostic,correct,nearest_image_distance,46.0,46,,,,,,-0.08812976834453352,0.5602901750009397,valence,stack,
within_task_target_spearman_descriptive,modality_agnostic,correct,outside_selected_fraction,46.0,46,,,,,,-0.11806063306531851,0.43455057341606396,valence,stack,
within_task_target_spearman_descriptive,modality_agnostic,correct,median_abs_image_z,46.0,46,,,,,,-0.1579684526930318,0.29440374260122515,valence,stack,
within_task_target_spearman_descriptive,modality_agnostic,correct,nearest_image_distance,42.0,42,,,,,,0.1260609441880974,0.42632601860779207,valence,sisyphus,
within_task_target_spearman_descriptive,modality_agnostic,correct,outside_selected_fraction,42.0,42,,,,,,0.17408416102165833,0.270204296760114,valence,sisyphus,
within_task_target_spearman_descriptive,modality_agnostic,correct,median_abs_image_z,42.0,42,,,,,,-0.08203966209066656,0.605502055025823,valence,sisyphus,
within_task_target_spearman_descriptive,modality_agnostic,correct,nearest_image_distance,44.0,44,,,,,,0.1689380113520535,0.2729693022483554,valence,shape_sorter_interaction,
within_task_target_spearman_descriptive,modality_agnostic,correct,outside_selected_fraction,44.0,44,,,,,,0.1689380113520535,0.2729693022483554,valence,shape_sorter_interaction,
within_task_target_spearman_descriptive,modality_agnostic,correct,median_abs_image_z,44.0,44,,,,,,0.05751081237516715,0.7107802023625089,valence,shape_sorter_interaction,
within_task_target_spearman_descriptive,modality_agnostic,correct,nearest_image_distance,44.0,44,,,,,,-0.06323264989746907,0.6834414170610851,valence,shape_sorter_alone,
within_task_target_spearman_descriptive,modality_agnostic,correct,outside_selected_fraction,44.0,44,,,,,,0.1337201619910768,0.3868413945386565,valence,shape_sorter_alone,
within_task_target_spearman_descriptive,modality_agnostic,correct,median_abs_image_z,44.0,44,,,,,,-0.04877947277804757,0.7531878491638617,valence,shape_sorter_alone,
within_task_target_spearman_descriptive,modality_agnostic,correct,nearest_image_distance,46.0,46,,,,,,0.10065640694646234,0.5056727786457115,arousal,pick_place,
within_task_target_spearman_descriptive,modality_agnostic,correct,outside_selected_fraction,46.0,46,,,,,,0.03020064733957636,0.8420757495318166,arousal,pick_place,
within_task_target_spearman_descriptive,modality_agnostic,correct,median_abs_image_z,46.0,46,,,,,,0.06710427129764157,0.6576947731611309,arousal,pick_place,
within_task_target_spearman_descriptive,modality_agnostic,correct,nearest_image_distance,46.0,46,,,,,,-0.07211758195112716,0.6338711798995578,arousal,shape_sorter_observation,
within_task_target_spearman_descriptive,modality_agnostic,correct,outside_selected_fraction,46.0,46,,,,,,-0.032781729930099306,0.8287728247341059,arousal,shape_sorter_observation,
within_task_target_spearman_descriptive,modality_agnostic,correct,median_abs_image_z,46.0,46,,,,,,-0.06556143813738832,0.6650959146879908,arousal,shape_sorter_observation,
within_task_target_spearman_descriptive,modality_agnostic,correct,nearest_image_distance,46.0,46,,,,,,-0.04917107860304124,0.7455497491745549,arousal,stack,
within_task_target_spearman_descriptive,modality_agnostic,correct,outside_selected_fraction,46.0,46,,,,,,-0.06720254635670356,0.6572244231927185,arousal,stack,
within_task_target_spearman_descriptive,modality_agnostic,correct,median_abs_image_z,46.0,46,,,,,,-0.10489830101982132,0.4878120031472908,arousal,stack,
within_task_target_spearman_descriptive,modality_agnostic,correct,nearest_image_distance,42.0,42,,,,,,-0.35004843091488685,0.023053822595679507,arousal,sisyphus,
within_task_target_spearman_descriptive,modality_agnostic,correct,outside_selected_fraction,42.0,42,,,,,,-0.27533014593189253,0.07760058049559487,arousal,sisyphus,
within_task_target_spearman_descriptive,modality_agnostic,correct,median_abs_image_z,42.0,42,,,,,,-0.36184781622662465,0.018538460255260823,arousal,sisyphus,
within_task_target_spearman_descriptive,modality_agnostic,correct,nearest_image_distance,44.0,44,,,,,,-0.3630370031182426,0.015432698621449796,arousal,shape_sorter_interaction,
within_task_target_spearman_descriptive,modality_agnostic,correct,outside_selected_fraction,44.0,44,,,,,,-0.34507703362779724,0.021787373297489244,arousal,shape_sorter_interaction,
within_task_target_spearman_descriptive,modality_agnostic,correct,median_abs_image_z,44.0,44,,,,,,-0.32349831961031517,0.032190373044438746,arousal,shape_sorter_interaction,
within_task_target_spearman_descriptive,modality_agnostic,correct,nearest_image_distance,44.0,44,,,,,,0.10738625876702151,0.4877927570329037,arousal,shape_sorter_alone,
within_task_target_spearman_descriptive,modality_agnostic,correct,outside_selected_fraction,44.0,44,,,,,,0.11275954497991987,0.4661492721053696,arousal,shape_sorter_alone,
within_task_target_spearman_descriptive,modality_agnostic,correct,median_abs_image_z,44.0,44,,,,,,0.021477251753404304,0.8899412667566884,arousal,shape_sorter_alone,
