target,model_rank,participant,task,segment_id,window_id,window_start_s,window_end_s,nearest_image_distance,outside_selected_count,outside_selected_fraction,median_abs_image_z,max_abs_image_z
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_90.000,90.0,92.0,2.7928367649435275,1,0.1,0.650581133335971,2.100501003191298
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_91.000,91.0,93.0,1.980935188000454,0,0.0,0.5699211971329458,1.6861111648180782
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_92.000,92.0,94.0,3.778837200945058,1,0.1,0.4777627656079054,4.107168551249778
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_93.000,93.0,95.0,11.941264252288137,3,0.3,2.6760712505542283,10.373867373697976
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_94.000,94.0,96.0,15.558491594547911,3,0.3,2.0254172366720558,13.06411118157126
arousal,1,P27,shape_sorter_observation,1,shape_sorter_observation_s1_0.000,0.0,2.0,1358.4317983716876,2,0.2,1.5320565668388766,1361.8445269387555
arousal,1,P27,shape_sorter_observation,1,shape_sorter_observation_s1_1.000,1.0,3.0,64.00952816952595,3,0.3,1.071828554318977,66.25068338688517
arousal,1,P27,shape_sorter_observation,1,shape_sorter_observation_s1_2.000,2.0,4.0,7.559216407129142,4,0.4,2.2351892311577584,6.971697168410431
arousal,1,P27,shape_sorter_observation,1,shape_sorter_observation_s1_3.000,3.0,5.0,4.030911336282334,1,0.1,1.496663378231124,3.728783866078529
arousal,1,P27,shape_sorter_observation,1,shape_sorter_observation_s1_4.000,4.0,6.0,3.961063356231717,1,0.1,0.40297403440107593,4.555850075485845
arousal,1,P27,shape_sorter_observation,1,shape_sorter_observation_s1_5.000,5.0,7.0,3.910108124792838,1,0.1,0.4780159620662332,4.811736717925667
arousal,1,P27,shape_sorter_observation,1,shape_sorter_observation_s1_6.000,6.0,8.0,3.038508019268173,0,0.0,0.595192133997311,3.137638530380051
arousal,1,P27,shape_sorter_observation,1,shape_sorter_observation_s1_7.000,7.0,9.0,3.531550669446579,0,0.0,0.8664467392103291,3.261185158116912
arousal,1,P27,shape_sorter_observation,1,shape_sorter_observation_s1_8.000,8.0,10.0,5.915850220509884,1,0.1,0.9310157068577272,7.200089753121696
arousal,1,P27,shape_sorter_observation,1,shape_sorter_observation_s1_9.000,9.0,11.0,8.853575416720805,2,0.2,0.9297872801377731,9.445699235625542
arousal,1,P27,shape_sorter_observation,1,shape_sorter_observation_s1_10.000,10.0,12.0,3.765378469943517,0,0.0,1.1618311666865782,3.626210491200201
arousal,1,P27,shape_sorter_observation,1,shape_sorter_observation_s1_11.000,11.0,13.0,2.2181734070904606,0,0.0,0.922166110823404,1.547347397274877
arousal,1,P27,shape_sorter_observation,1,shape_sorter_observation_s1_12.000,12.0,14.0,2.454737663496141,0,0.0,0.8890055102755452,2.2038847808782758
arousal,1,P27,shape_sorter_observation,1,shape_sorter_observation_s1_13.000,13.0,15.0,3.2726162387507345,0,0.0,1.0168949875112245,2.8051128231335762
arousal,1,P27,shape_sorter_observation,1,shape_sorter_observation_s1_14.000,14.0,16.0,4.212076705972221,1,0.1,1.0066330815680657,3.4890259028025334
arousal,1,P27,shape_sorter_observation,1,shape_sorter_observation_s1_15.000,15.0,17.0,1.9761143928929914,0,0.0,0.7123957287924801,2.4658475685549797
