mode,participant,target,modality,classifier,feature_count_request,feature_count_resolved,fold,best_parameters,inner_best_balanced_accuracy
individual,P19,valence,face,knn,all,all,4,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}",0.45
individual,P19,valence,face,knn,all,all,5,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""distance""}",0.3825396825396825
individual,P19,valence,face,knn,5,5,1,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}",0.3666666666666667
individual,P19,valence,face,knn,5,5,2,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""distance""}",0.4444444444444445
individual,P19,valence,face,knn,5,5,3,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""distance""}",0.387037037037037
individual,P19,valence,face,knn,5,5,4,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}",0.4695767195767195
individual,P19,valence,face,knn,5,5,5,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}",0.4047619047619048
individual,P19,valence,face,knn,10,10,1,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}",0.3722222222222222
individual,P19,valence,face,knn,10,10,2,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""distance""}",0.4518518518518518
individual,P19,valence,face,knn,10,10,3,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""distance""}",0.3925925925925926
individual,P19,valence,face,knn,10,10,4,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}",0.45
individual,P19,valence,face,knn,10,10,5,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""distance""}",0.3825396825396825
individual,P19,valence,face,knn,20,10,1,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}",0.3722222222222222
individual,P19,valence,face,knn,20,10,2,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""distance""}",0.4518518518518518
individual,P19,valence,face,knn,20,10,3,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""distance""}",0.3925925925925926
individual,P19,valence,face,knn,20,10,4,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}",0.45
individual,P19,valence,face,knn,20,10,5,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""distance""}",0.3825396825396825
individual,P19,valence,face,svm,all,all,1,"{""classifier__C"": 10, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.3722222222222222
individual,P19,valence,face,svm,all,all,2,"{""classifier__C"": 10, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.5499999999999999
individual,P19,valence,face,svm,all,all,3,"{""classifier__C"": 10, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.3648148148148148
individual,P19,valence,face,svm,all,all,4,"{""classifier__C"": 10, ""classifier__kernel"": ""linear""}",0.5095238095238095
individual,P19,valence,face,svm,all,all,5,"{""classifier__C"": 10, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.3873015873015872
individual,P19,valence,face,svm,5,5,1,"{""classifier__C"": 10, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.4037037037037037
individual,P19,valence,face,svm,5,5,2,"{""classifier__C"": 10, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.3962962962962963
individual,P19,valence,face,svm,5,5,3,"{""classifier__C"": 10, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.4148148148148148
individual,P19,valence,face,svm,5,5,4,"{""classifier__C"": 10, ""classifier__gamma"": 0.1, ""classifier__kernel"": ""rbf""}",0.4399470899470899
individual,P19,valence,face,svm,5,5,5,"{""classifier__C"": 0.1, ""classifier__kernel"": ""linear""}",0.3333333333333333
