mode,participant,target,modality,classifier,feature_count_request,feature_count_resolved,fold,sample_size,train_size,test_size,low_count,neutral_count,high_count,balanced_accuracy,accuracy,macro_precision,macro_recall,macro_f1,recall_low,recall_neutral,recall_high,cm_0_0,cm_0_1,cm_0_2,cm_1_0,cm_1_1,cm_1_2,cm_2_0,cm_2_1,cm_2_2
individual,P19,valence,eeg,svm,20,20,3,120,96,24,22,75,23,0.3111111111111111,0.5833333333333334,0.2028985507246377,0.3111111111111111,0.2456140350877192,0.0,0.9333333333333332,0.0,0,4,0,0,14,1,0,5,0
individual,P19,valence,eeg,svm,20,20,4,120,96,24,22,75,23,0.3722222222222222,0.5,0.3888888888888889,0.3722222222222222,0.3722222222222222,0.2,0.6666666666666666,0.25,1,3,1,1,10,4,1,2,1
individual,P19,valence,eeg,svm,20,20,5,120,96,24,22,75,23,0.3333333333333333,0.625,0.2083333333333333,0.3333333333333333,0.2564102564102564,0.0,1.0,0.0,0,5,0,0,15,0,0,4,0
individual,P19,valence,eeg,gnb,all,all,1,120,96,24,22,75,23,0.1999999999999999,0.375,0.1875,0.1999999999999999,0.1935483870967742,0.0,0.6,0.0,0,4,0,3,9,3,2,3,0
individual,P19,valence,eeg,gnb,all,all,2,120,96,24,22,75,23,0.2388888888888888,0.25,0.2617845117845118,0.2388888888888888,0.2296296296296296,0.25,0.2666666666666666,0.2,1,2,1,9,4,2,1,3,1
individual,P19,valence,eeg,gnb,all,all,3,120,96,24,22,75,23,0.35,0.375,0.3388888888888888,0.35,0.3292307692307692,0.25,0.4,0.4,1,1,2,5,6,4,0,3,2
individual,P19,valence,eeg,gnb,all,all,4,120,96,24,22,75,23,0.1944444444444444,0.25,0.196969696969697,0.1944444444444444,0.1777777777777777,0.0,0.3333333333333333,0.25,0,3,2,2,5,8,1,2,1
individual,P19,valence,eeg,gnb,all,all,5,120,96,24,22,75,23,0.2833333333333333,0.4166666666666667,0.2708333333333333,0.2833333333333333,0.2768817204301075,0.0,0.6,0.25,0,4,1,4,9,2,0,3,1
individual,P19,valence,eeg,gnb,5,5,1,120,96,24,22,75,23,0.2444444444444444,0.4583333333333333,0.2291666666666666,0.2444444444444444,0.2365591397849462,0.0,0.7333333333333333,0.0,0,3,1,4,11,0,3,2,0
individual,P19,valence,eeg,gnb,5,5,2,120,96,24,22,75,23,0.2444444444444444,0.4583333333333333,0.2291666666666666,0.2444444444444444,0.2365591397849462,0.0,0.7333333333333333,0.0,0,2,2,4,11,0,2,3,0
individual,P19,valence,eeg,gnb,5,5,3,120,96,24,22,75,23,0.2222222222222222,0.4166666666666667,0.1851851851851852,0.2222222222222222,0.202020202020202,0.0,0.6666666666666666,0.0,0,4,0,3,10,2,1,4,0
individual,P19,valence,eeg,gnb,5,5,4,120,96,24,22,75,23,0.4555555555555555,0.625,0.3614035087719298,0.4555555555555555,0.4030501089324618,0.0,0.8666666666666667,0.5,0,4,1,0,13,2,0,2,2
individual,P19,valence,eeg,gnb,5,5,5,120,96,24,22,75,23,0.35,0.5416666666666666,0.3333333333333333,0.35,0.3376623376623377,0.0,0.8,0.25,0,3,2,3,12,0,0,3,1
individual,P19,valence,eeg,gnb,10,10,1,120,96,24,22,75,23,0.4277777777777777,0.4583333333333333,0.3666666666666667,0.4277777777777777,0.3561904761904761,0.75,0.5333333333333333,0.0,3,0,1,4,8,3,3,2,0
individual,P19,valence,eeg,gnb,10,10,2,120,96,24,22,75,23,0.2444444444444444,0.375,0.3015873015873015,0.2444444444444444,0.2672413793103448,0.0,0.5333333333333333,0.2,0,2,2,7,8,0,0,4,1
individual,P19,valence,eeg,gnb,10,10,3,120,96,24,22,75,23,0.2666666666666666,0.5,0.1904761904761904,0.2666666666666666,0.2222222222222222,0.0,0.8,0.0,0,4,0,3,12,0,0,5,0
individual,P19,valence,eeg,gnb,10,10,4,120,96,24,22,75,23,0.3722222222222222,0.5833333333333334,0.3277777777777778,0.3722222222222222,0.3428571428571428,0.0,0.8666666666666667,0.25,0,5,0,0,13,2,1,2,1
individual,P19,valence,eeg,gnb,10,10,5,120,96,24,22,75,23,0.3944444444444444,0.5416666666666666,0.3958333333333333,0.3944444444444444,0.3939665471923536,0.2,0.7333333333333333,0.25,1,2,2,3,11,1,0,3,1
individual,P19,valence,eeg,gnb,20,20,1,120,96,24,22,75,23,0.1999999999999999,0.375,0.2142857142857143,0.1999999999999999,0.2068965517241379,0.0,0.6,0.0,0,3,1,3,9,3,3,2,0
individual,P19,valence,eeg,gnb,20,20,2,120,96,24,22,75,23,0.3666666666666667,0.375,0.3999999999999999,0.3666666666666667,0.3386243386243386,0.5,0.4,0.2,2,2,0,8,6,1,0,4,1
individual,P19,valence,eeg,gnb,20,20,3,120,96,24,22,75,23,0.2222222222222222,0.4166666666666667,0.196078431372549,0.2222222222222222,0.2083333333333333,0.0,0.6666666666666666,0.0,0,3,1,4,10,1,1,4,0
individual,P19,valence,eeg,gnb,20,20,4,120,96,24,22,75,23,0.1999999999999999,0.375,0.1875,0.1999999999999999,0.1935483870967742,0.0,0.6,0.0,0,5,0,0,9,6,2,2,0
individual,P19,valence,eeg,gnb,20,20,5,120,96,24,22,75,23,0.4611111111111111,0.5833333333333334,0.4777777777777778,0.4611111111111111,0.4666666666666666,0.4,0.7333333333333333,0.25,2,1,2,2,11,2,0,3,1
individual,P19,valence,face,knn,all,all,1,120,96,24,22,75,23,0.4166666666666667,0.5833333333333334,0.6222222222222222,0.4166666666666667,0.4276094276094276,0.25,0.8,0.2,1,3,0,3,12,0,1,3,1
individual,P19,valence,face,knn,all,all,2,120,96,24,22,75,23,0.35,0.5416666666666666,0.293859649122807,0.35,0.3186274509803922,0.25,0.8,0.0,1,3,0,2,12,1,1,4,0
individual,P19,valence,face,knn,all,all,3,120,96,24,22,75,23,0.35,0.4583333333333333,0.3531746031746032,0.35,0.3508359456635319,0.25,0.6,0.2,1,2,1,2,9,4,1,3,1
individual,P19,valence,face,knn,all,all,4,120,96,24,22,75,23,0.2666666666666666,0.5,0.1904761904761904,0.2666666666666666,0.2222222222222222,0.0,0.8,0.0,0,5,0,3,12,0,0,4,0
individual,P19,valence,face,knn,all,all,5,120,96,24,22,75,23,0.3944444444444444,0.4583333333333333,0.4202020202020202,0.3944444444444444,0.3892551892551892,0.4,0.5333333333333333,0.25,2,1,2,7,8,0,1,2,1
individual,P19,valence,face,knn,5,5,1,120,96,24,22,75,23,0.3111111111111111,0.5833333333333334,0.2222222222222222,0.3111111111111111,0.2592592592592592,0.0,0.9333333333333332,0.0,0,4,0,0,14,1,2,3,0
individual,P19,valence,face,knn,5,5,2,120,96,24,22,75,23,0.2666666666666666,0.5,0.2105263157894736,0.2666666666666666,0.2352941176470588,0.0,0.8,0.0,0,3,1,2,12,1,1,4,0
individual,P19,valence,face,knn,5,5,3,120,96,24,22,75,23,0.7222222222222223,0.7916666666666666,0.7597222222222223,0.7222222222222223,0.7367127496159753,0.5,0.8666666666666667,0.8,2,2,0,1,13,1,0,1,4
individual,P19,valence,face,knn,5,5,4,120,96,24,22,75,23,0.3111111111111111,0.5833333333333334,0.2333333333333333,0.3111111111111111,0.2666666666666666,0.0,0.9333333333333332,0.0,0,3,2,1,14,0,1,3,0
individual,P19,valence,face,knn,5,5,5,120,96,24,22,75,23,0.4833333333333333,0.5416666666666666,0.5085470085470085,0.4833333333333333,0.4682539682539682,0.6,0.6,0.25,3,2,0,5,9,1,1,2,1
individual,P19,valence,face,knn,10,10,1,120,96,24,22,75,23,0.4166666666666667,0.5833333333333334,0.6222222222222222,0.4166666666666667,0.4276094276094276,0.25,0.8,0.2,1,3,0,3,12,0,1,3,1
individual,P19,valence,face,knn,10,10,2,120,96,24,22,75,23,0.35,0.5416666666666666,0.293859649122807,0.35,0.3186274509803922,0.25,0.8,0.0,1,3,0,2,12,1,1,4,0
individual,P19,valence,face,knn,10,10,3,120,96,24,22,75,23,0.35,0.4583333333333333,0.3531746031746032,0.35,0.3508359456635319,0.25,0.6,0.2,1,2,1,2,9,4,1,3,1
individual,P19,valence,face,knn,10,10,4,120,96,24,22,75,23,0.2666666666666666,0.5,0.1904761904761904,0.2666666666666666,0.2222222222222222,0.0,0.8,0.0,0,5,0,3,12,0,0,4,0
individual,P19,valence,face,knn,10,10,5,120,96,24,22,75,23,0.3944444444444444,0.4583333333333333,0.4202020202020202,0.3944444444444444,0.3892551892551892,0.4,0.5333333333333333,0.25,2,1,2,7,8,0,1,2,1
individual,P19,valence,face,knn,20,10,1,120,96,24,22,75,23,0.4166666666666667,0.5833333333333334,0.6222222222222222,0.4166666666666667,0.4276094276094276,0.25,0.8,0.2,1,3,0,3,12,0,1,3,1
individual,P19,valence,face,knn,20,10,2,120,96,24,22,75,23,0.35,0.5416666666666666,0.293859649122807,0.35,0.3186274509803922,0.25,0.8,0.0,1,3,0,2,12,1,1,4,0
