mode,participant,target,modality,classifier,feature_count_request,feature_count_resolved,folds,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_median,balanced_accuracy_min,balanced_accuracy_max,accuracy_mean,precision_mean,recall_mean,f1_mean
general,COHORT,valence,face,svm,20,10,46,0.4977831309726368,0.025924707834792865,0.5,0.39940323955669227,0.5659983291562238,0.5438911705178059,0.5546396617440665,0.8121373147841396,0.6331697842974159
general,COHORT,valence,face,svm,5,5,46,0.5052527913593028,0.020922187963656542,0.5,0.4482758620689655,0.5881370091896407,0.5657531243739282,0.5807130660046363,0.9127437453457381,0.6870840821380986
general,COHORT,valence,face,svm,all,all,46,0.4977831309726368,0.025924707834792865,0.5,0.39940323955669227,0.5659983291562238,0.5438911705178059,0.5546396617440665,0.8121373147841396,0.6331697842974159
general,COHORT,valence,multimodal,gnb,10,10,46,0.49897160450818673,0.032757118526684836,0.5007763975155279,0.4089156626506024,0.5755932203389831,0.5117742171233244,0.5748680030852471,0.6633024391473444,0.5727062454749078
general,COHORT,valence,multimodal,gnb,20,20,46,0.49554695480597954,0.028849855073130877,0.5,0.41903940178314636,0.5965221774193548,0.5311184099147279,0.5503478082683408,0.846974680893087,0.6461935037822351
general,COHORT,valence,multimodal,gnb,5,5,46,0.5044689140361264,0.03981210889130429,0.5000891265597147,0.39353669586227724,0.6001683501683501,0.5279861273457714,0.5786663950652854,0.7198497863878828,0.6085629648069978
general,COHORT,valence,multimodal,gnb,all,all,46,0.4989305903306704,0.028654824725187687,0.4994868035190616,0.42011476895197825,0.597497842968076,0.5382662988639564,0.5550251258668941,0.8454517510166807,0.656817200052912
general,COHORT,valence,multimodal,knn,10,10,46,0.48681990253675034,0.04711599199740259,0.48501845376845376,0.36979166666666663,0.5787167891464104,0.5054008013324129,0.5659884857289447,0.6001225662077068,0.569883074700059
general,COHORT,valence,multimodal,knn,20,20,46,0.49609073811897236,0.05549312273942447,0.48933189655172415,0.39217758985200846,0.6239583333333334,0.5081540902837428,0.570613761205313,0.6063134114079273,0.5738600640107417
general,COHORT,valence,multimodal,knn,5,5,46,0.49765816211914915,0.04623587212217309,0.49667796920821117,0.3903985507246377,0.612567956507835,0.5172130637372642,0.5733574351230736,0.6244924314773842,0.5863920633140698
general,COHORT,valence,multimodal,knn,all,all,46,0.5022847591061587,0.036249274343970926,0.5018448861307887,0.40104166666666663,0.5686813186813187,0.5263497951085697,0.5739176740631164,0.6837370472086907,0.6128827161957144
general,COHORT,valence,multimodal,svm,10,10,46,0.4993125731217316,0.02280508252368838,0.5,0.43008154636061613,0.584929435483871,0.5553610090977752,0.5757335802028279,0.9179638129411458,0.6895330186154218
general,COHORT,valence,multimodal,svm,20,20,46,0.5029175041580047,0.03452278160971102,0.5,0.4051693404634581,0.6127755794234031,0.556132624729758,0.5782162586211388,0.8506717255795913,0.6708991391823413
general,COHORT,valence,multimodal,svm,5,5,46,0.5033418443297009,0.026727962355999117,0.5,0.45937783147085476,0.6314358810361369,0.5684954386984914,0.5765850289510493,0.9441151974165807,0.7083258645896886
general,COHORT,valence,multimodal,svm,all,all,46,0.510580376250959,0.04617842367210227,0.5113650105330612,0.4155011655011655,0.603287841191067,0.533860313441646,0.5809743193500069,0.6637156068121366,0.6016454469716378
