held_out_participant,train_rows,validation_rows,test_rows,best_epoch,best_validation_mse,validation_rmse,validation_mae,test_rmse,test_mae,dummy_validation_rmse,dummy_validation_mae,dummy_test_rmse,dummy_test_mae,validation_rmse_delta,test_rmse_delta,validation_ba,test_ba,test_accuracy
P18,4086,966,118,62,3.0603091716766357,1.7493739128112793,1.474237084388733,2.2092020511627197,1.8518155813217163,1.7485813307943934,1.4555331592297693,1.8136621614386939,1.627699378614036,0.0007925820168859232,0.3955398897240259,0.5143794023693156,0.4003451251078516,0.4067796610169492
P19,4084,966,120,33,3.6400725841522217,1.9078974723815918,1.6400091648101807,1.6186423301696777,1.261468529701233,1.9026512721461701,1.623918417173112,1.6124015157344231,1.2187234737185766,0.005246200235421661,0.0062408144352545936,0.5036231884057971,0.5007550588945938,0.5833333333333334
P20,4046,1031,93,38,3.5947656631469727,1.895986795425415,1.6029154062271118,1.6527575254440308,1.399743676185608,1.8770055211357255,1.565694561044592,1.6556467933346593,1.3870834861458814,0.018981274289689543,-0.0028892678906284885,0.485562144452486,0.5048566142460684,0.5053763440860215
P21,4038,1024,108,31,3.637242078781128,1.9071555137634277,1.6144108772277832,2.074758529663086,1.8783676624298096,1.9088589996263754,1.5993423802005944,2.1041738310143794,1.9129932309724285,-0.0017034858629476624,-0.029415301351293444,0.5283324518618636,0.4734939759036144,0.6203703703703703
P22,4006,1047,117,67,3.6421756744384766,1.908448576927185,1.6147514581680298,2.307614803314209,2.0801804065704346,1.8866983768482548,1.5981614970095004,2.3240026649917955,2.091793933032076,0.02175020007893025,-0.016387861677586546,0.4859779526626342,0.4492797118847539,0.49572649572649574
P23,4005,1047,118,60,3.649317741394043,1.9103187322616577,1.615687608718872,2.0451133251190186,1.8258023262023926,1.886712456179604,1.5983959878232439,2.122450853383917,1.879959372817876,0.02360627608205368,-0.07733752826489848,0.4942345990686518,0.5598935226264419,0.6271186440677966
P24,3995,1058,117,42,3.4790713787078857,1.8652268648147583,1.5482953786849976,2.461688995361328,2.3416075706481934,1.8509586638305118,1.5077734218813215,2.447783132445076,2.3333932372730866,0.014268200984246526,0.013905862916252065,0.5047059262576503,0.5099706744868036,0.48717948717948717
P25,3988,1062,120,2,3.8265085220336914,1.9561463594436646,1.6450104713439941,1.8382600545883179,1.6253206729888916,1.9086567014166795,1.5999892332364325,1.804960660318738,1.6415830825810767,0.047489658026985015,0.03329939426957984,0.5267350172090397,0.49242424242424243,0.49166666666666664
P26,4006,1046,118,58,3.3517494201660156,1.8307783603668213,1.5245318412780762,2.2231128215789795,1.98086416721344,1.8322026444649209,1.516344985389984,2.2328251236656924,1.9868756187752272,-0.001424284098099582,-0.00971230208671292,0.5123014339163818,0.5233100233100233,0.5169491525423728
P27,4094,987,89,61,2.7323412895202637,1.6529794931411743,1.3356115818023682,1.6224013566970825,1.3385165929794312,1.6469228049705893,1.3116882441945585,1.6072844564301414,1.3165470982473666,0.006056688170585023,0.015116900266941125,0.5088841644118026,0.48477011494252875,0.449438202247191
P28,4064,995,111,44,3.5051510334014893,1.8722048997879028,1.553812026977539,1.6360293626785278,1.2839351892471313,1.8672036176652989,1.5308891900447117,1.6048972940102402,1.2270119528977799,0.005001282122603978,0.03113206866828766,0.5336133571794419,0.5416666666666666,0.5045045045045045
P29,3996,1065,109,73,3.627450704574585,1.904586672782898,1.5812489986419678,1.9066739082336426,1.640197515487671,1.908126005716632,1.5592423409324818,1.9391678970569797,1.6700691517205277,-0.003539332933734096,-0.032493988823337094,0.512352975619753,0.565625,0.5596330275229358
P30,3999,1051,120,41,3.875511407852173,1.9686318635940552,1.6826441287994385,1.9341787099838257,1.685442328453064,1.9737115187701577,1.6860197447078231,1.8868595689502252,1.619211052763191,-0.005079655176102538,0.047319141033600465,0.5209562775596166,0.4772158933036955,0.475
P31,4129,922,119,60,3.7718749046325684,1.942131519317627,1.657634973526001,2.135348081588745,1.966089129447937,1.9387019852682053,1.6541456677256108,2.1315175642667015,1.9588440849820188,0.003429534049421701,0.0038305173220436473,0.5106020936143327,0.4506783493499152,0.453781512605042
P32,3999,1051,120,46,3.8964145183563232,1.9739338159561157,1.6849677562713623,1.5166963338851929,1.2158153057098389,1.973812830056355,1.6865122560373678,1.5283182647314861,1.2131387013420019,0.00012098589976061724,-0.01162193084629326,0.520619894843838,0.4905450500556173,0.48333333333333334
P33,4002,1051,117,36,3.901742935180664,1.9752830266952515,1.6894880533218384,1.675076961517334,1.4514282941818237,1.9737807216612617,1.6863578201384561,1.6614095771224782,1.4478807604744635,0.001502305033989737,0.01366738439485582,0.5209251987217457,0.4671052631578947,0.47863247863247865
P34,3984,1071,115,2,4.177680492401123,2.0439374446868896,1.7385104894638062,1.788368821144104,1.5386408567428589,1.997064917211191,1.704521165896077,1.774904209620407,1.5377684651650072,0.0468725274756987,0.013464611523696934,0.5330523136265014,0.5544154228855721,0.5565217391304348
P35,4003,1053,114,103,3.8083388805389404,1.9514966011047363,1.6525577306747437,2.0703043937683105,1.8983136415481567,1.9681867600355298,1.6665587229331085,2.106089669828864,1.9197224888351276,-0.01669015893079351,-0.03578527606055326,0.5358693280977312,0.49410669975186106,0.5087719298245614
