participant,target,classifier,feature_family,channel_subset,feature_count_request,analysis_tier,available_feature_count,fold,feature_count_resolved,outer_folds,sample_size,train_size,test_size,low_count,high_count,balanced_accuracy,accuracy,modality
P01,valence,logreg,time_statistical,all_channels,all,primary,8,3,all,5,114,91,23,52,62,0.4810606060606061,0.4782608695652174,eeg
P01,valence,logreg,time_statistical,all_channels,all,primary,8,4,all,5,114,91,23,52,62,0.553030303030303,0.5652173913043478,eeg
P01,valence,logreg,time_statistical,all_channels,all,primary,8,5,all,5,114,92,22,52,62,0.4583333333333333,0.4545454545454545,eeg
P01,valence,svm,time_statistical,all_channels,all,primary,8,1,all,5,114,91,23,52,62,0.5230769230769231,0.5652173913043478,eeg
P01,valence,svm,time_statistical,all_channels,all,primary,8,2,all,5,114,91,23,52,62,0.5,0.5652173913043478,eeg
P01,valence,svm,time_statistical,all_channels,all,primary,8,3,all,5,114,91,23,52,62,0.5606060606060606,0.5652173913043478,eeg
P01,valence,svm,time_statistical,all_channels,all,primary,8,4,all,5,114,91,23,52,62,0.4696969696969696,0.4782608695652174,eeg
P01,valence,svm,time_statistical,all_channels,all,primary,8,5,all,5,114,92,22,52,62,0.4583333333333333,0.5,eeg
P01,valence,gnb,time_statistical,all_channels,all,primary,8,1,all,5,114,91,23,52,62,0.4692307692307692,0.4782608695652174,eeg
P01,valence,gnb,time_statistical,all_channels,all,primary,8,2,all,5,114,91,23,52,62,0.5153846153846154,0.4782608695652174,eeg
P01,valence,gnb,time_statistical,all_channels,all,primary,8,3,all,5,114,91,23,52,62,0.5606060606060606,0.5652173913043478,eeg
P01,valence,gnb,time_statistical,all_channels,all,primary,8,4,all,5,114,91,23,52,62,0.4318181818181818,0.4347826086956521,eeg
P01,valence,gnb,time_statistical,all_channels,all,primary,8,5,all,5,114,92,22,52,62,0.4166666666666666,0.4090909090909091,eeg
P01,valence,logreg,paper_compact,all_channels,8,secondary,64,1,8,5,114,91,23,52,62,0.4076923076923077,0.4347826086956521,eeg
P01,valence,logreg,paper_compact,all_channels,8,secondary,64,2,8,5,114,91,23,52,62,0.4192307692307692,0.4347826086956521,eeg
P01,valence,logreg,paper_compact,all_channels,8,secondary,64,3,8,5,114,91,23,52,62,0.6553030303030303,0.6521739130434783,eeg
P01,valence,logreg,paper_compact,all_channels,8,secondary,64,4,8,5,114,91,23,52,62,0.5568181818181819,0.5652173913043478,eeg
P01,valence,logreg,paper_compact,all_channels,8,secondary,64,5,8,5,114,92,22,52,62,0.3833333333333333,0.4090909090909091,eeg
P01,valence,svm,paper_compact,all_channels,8,secondary,64,1,8,5,114,91,23,52,62,0.4846153846153846,0.5217391304347826,eeg
P01,valence,svm,paper_compact,all_channels,8,secondary,64,2,8,5,114,91,23,52,62,0.4576923076923077,0.4782608695652174,eeg
