participant,target,modality,classifier,feature_family,channel_subset,feature_count_request,analysis_tier,available_feature_count,feature_count_resolved,outer_folds,mean_outer_cv_balanced_accuracy,fold_ba_sd,outer_fold_ba_values,mean_accuracy,low_count,high_count,sample_size
P08,arousal,face,gnb,face_geometry,all_face,5,primary,10,5,5,0.5242424242424242,0.0998089888317028,"[0.4166666666666667, 0.5833333333333333, 0.41666666666666663, 0.625, 0.5795454545454546]",0.5213768115942029,59,60,119
P08,arousal,multimodal,gnb,all_eeg_plus_face,all_channels,20,primary,130,20,5,0.5206060606060606,0.1078294064710929,"[0.4666666666666667, 0.6363636363636364, 0.5454545454545454, 0.5909090909090909, 0.36363636363636365]",0.5181818181818182,56,54,110
P08,valence,eeg,svm,hjorth,all_channels,8,primary,16,8,5,0.6448484848484848,0.0593970314594018,"[0.6333333333333333, 0.5909090909090908, 0.7272727272727273, 0.5909090909090908, 0.6818181818181819]",0.6454545454545455,56,54,110
P08,valence,face,logreg,face_geometry,all_face,5,primary,10,5,5,0.5765151515151515,0.0595552848697987,"[0.6666666666666667, 0.5416666666666666, 0.5833333333333334, 0.5833333333333334, 0.5075757575757576]",0.5793478260869566,60,59,119
P08,valence,multimodal,gnb,all_eeg_plus_face,all_channels,20,primary,130,20,5,0.5521212121212121,0.0506341783617101,"[0.5333333333333333, 0.5454545454545454, 0.6363636363636364, 0.5, 0.5454545454545454]",0.5545454545454545,56,54,110
P09,arousal,eeg,gnb,paper_compact,all_channels,10,secondary,64,10,5,0.6473214285714286,0.0958002845262274,"[0.65625, 0.65625, 0.7946428571428572, 0.5892857142857143, 0.5401785714285714]",0.7347826086956522,37,80,117
P09,arousal,face,gnb,face_geometry,all_face,5,primary,10,5,5,0.4944852941176471,0.063252391669431,"[0.5, 0.59375, 0.5, 0.4375, 0.4411764705882353]",0.625,39,81,120
P09,arousal,multimodal,svm,all_eeg_plus_face,all_channels,5,primary,130,5,5,0.6178571428571429,0.0880834230333115,"[0.625, 0.65625, 0.7410714285714286, 0.5267857142857143, 0.5401785714285714]",0.691304347826087,37,80,117
P09,valence,eeg,logreg,hjorth,all_channels,8,primary,16,8,5,0.5658730158730159,0.0897299355024334,"[0.5, 0.5357142857142857, 0.4722222222222222, 0.6507936507936507, 0.6706349206349207]",0.5822463768115942,47,70,117
P09,valence,face,logreg,face_geometry,all_face,5,primary,10,5,5,0.5768253968253969,0.1090474457612818,"[0.75, 0.4857142857142857, 0.4928571428571429, 0.5444444444444445, 0.6111111111111112]",0.6166666666666666,48,72,120
P09,valence,multimodal,svm,all_eeg_plus_face,all_channels,10,primary,130,10,5,0.5525396825396826,0.0830027456311712,"[0.6571428571428571, 0.6214285714285714, 0.48809523809523814, 0.5277777777777778, 0.46825396825396826]",0.571376811594203,47,70,117
P10,arousal,eeg,svm,paper_compact,all_channels,10,secondary,64,10,5,0.5016899766899767,0.1346835441325762,"[0.29166666666666663, 0.6538461538461539, 0.5734265734265734, 0.5, 0.48951048951048953]",0.5083333333333334,56,64,120
P10,arousal,face,logreg,face_geometry,all_face,5,primary,10,5,5,0.5629370629370629,0.107001005231464,"[0.5, 0.465034965034965, 0.7412587412587412, 0.5419580419580419, 0.5664335664335665]",0.5666666666666667,56,64,120
P10,arousal,multimodal,logreg,all_eeg_plus_face,all_channels,20,primary,130,20,5,0.5365384615384615,0.1134620772127241,"[0.375, 0.6188811188811189, 0.6188811188811189, 0.458041958041958, 0.6118881118881119]",0.5416666666666666,56,64,120
P10,valence,eeg,gnb,paper_compact,frontal_central,8,secondary,32,8,5,0.5242857142857142,0.0516562420907558,"[0.4571428571428572, 0.5928571428571429, 0.4928571428571429, 0.5357142857142857, 0.5428571428571428]",0.5583333333333333,50,70,120
P10,valence,face,svm,face_geometry,all_face,all,primary,10,all,5,0.5157142857142858,0.0689572479208409,"[0.47857142857142854, 0.6214285714285714, 0.5214285714285715, 0.4357142857142857, 0.5214285714285715]",0.525,50,70,120
P10,valence,multimodal,svm,all_eeg_plus_face,all_channels,20,primary,130,20,5,0.5042857142857142,0.1073331643214962,"[0.4285714285714286, 0.3857142857142857, 0.6571428571428571, 0.4928571428571428, 0.5571428571428572]",0.5083333333333334,50,70,120
P11,arousal,eeg,gnb,paper_compact,frontal_central,8,secondary,32,8,5,0.5851448551448551,0.0921351628567643,"[0.6048951048951049, 0.5279720279720279, 0.6785714285714286, 0.4571428571428572, 0.6571428571428571]",0.6083333333333333,52,68,120
