participant,target,classifier,feature_family,channel_subset,feature_count_request,analysis_tier,available_feature_count,fold,feature_count_resolved,outer_folds,best_parameters,inner_best_balanced_accuracy,selected_feature_names,modality
P29,valence,logreg,all_eeg_plus_face,all_channels,20,primary,130,1,20,5,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced""}",0.5359477124183006,"[""eeg_sd__Oz"", ""eeg_sd__PO7"", ""eeg_se__Cz"", ""eeg_se__Oz"", ""eeg_se__PO8"", ""eeg_hm__Oz"", ""eeg_hc__Oz"", ""eeg_mf_hz__C4"", ""eeg_mf_hz__Cz"", ""eeg_bp_delta__Oz"", ""eeg_se_delta__C4"", ""eeg_se_delta__PO8"", ""eeg_bp_theta__Oz"", ""eeg_se_alpha__C3"", ""eeg_se_beta__C3"", ""eeg_se_beta__Cz"", ""eeg_se_beta__Fz"", ""eeg_bp_gamma__PO8"", ""eeg_se_gamma__C3"", ""eeg_se_gamma__C4""]",multimodal
P29,valence,logreg,all_eeg_plus_face,all_channels,20,primary,130,2,20,5,"{""classifier__C"": 0.01, ""classifier__class_weight"": null}",0.5024509803921569,"[""eeg_se__C3"", ""eeg_se__Oz"", ""eeg_se__PO8"", ""eeg_hc__Oz"", ""eeg_bp_delta__C3"", ""eeg_bp_delta__Oz"", ""eeg_se_delta__C4"", ""eeg_se_delta__PO8"", ""eeg_se_theta__Fz"", ""eeg_bp_alpha__PO7"", ""eeg_se_alpha__C3"", ""eeg_se_alpha__Cz"", ""eeg_se_alpha__PO8"", ""eeg_bp_beta__PO7"", ""eeg_se_beta__C3"", ""eeg_bp_gamma__Oz"", ""eeg_se_gamma__C3"", ""eeg_se_gamma__C4"", ""eeg_se_gamma__Fz"", ""video_mwo_norm_std""]",multimodal
P29,valence,logreg,all_eeg_plus_face,all_channels,20,primary,130,3,20,5,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced""}",0.5678104575163399,"[""eeg_se__Cz"", ""eeg_se__Oz"", ""eeg_se__PO8"", ""eeg_hc__Cz"", ""eeg_mf_hz__C4"", ""eeg_mf_hz__Cz"", ""eeg_se_delta__C4"", ""eeg_se_delta__PO8"", ""eeg_bp_theta__C3"", ""eeg_se_theta__C4"", ""eeg_se_theta__Fz"", ""eeg_bp_alpha__Cz"", ""eeg_bp_alpha__Oz"", ""eeg_bp_beta__PO7"", ""eeg_se_beta__C3"", ""eeg_se_beta__Cz"", ""eeg_bp_gamma__PO8"", ""eeg_bp_gamma__Pz"", ""eeg_se_gamma__C3"", ""eeg_se_gamma__C4""]",multimodal
P29,valence,logreg,all_eeg_plus_face,all_channels,20,primary,130,4,20,5,"{""classifier__C"": 0.01, ""classifier__class_weight"": null}",0.6176470588235294,"[""eeg_se__C3"", ""eeg_se__Fz"", ""eeg_se__Oz"", ""eeg_hm__Oz"", ""eeg_hc__Oz"", ""eeg_mf_hz__Oz"", ""eeg_bp_delta__C3"", ""eeg_bp_delta__Oz"", ""eeg_se_delta__PO8"", ""eeg_se_theta__Fz"", ""eeg_bp_alpha__Cz"", ""eeg_se_alpha__C3"", ""eeg_se_alpha__Pz"", ""eeg_se_beta__C3"", ""eeg_se_beta__Cz"", ""eeg_bp_gamma__Oz"", ""eeg_bp_gamma__PO8"", ""eeg_se_gamma__C3"", ""eeg_se_gamma__C4"", ""eeg_se_gamma__Fz""]",multimodal
P29,valence,logreg,all_eeg_plus_face,all_channels,20,primary,130,5,20,5,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced""}",0.5103485838779956,"[""eeg_se__Cz"", ""eeg_se__PO8"", ""eeg_mf_hz__C4"", ""eeg_bp_delta__Oz"", ""eeg_se_delta__C4"", ""eeg_se_delta__PO8"", ""eeg_se_theta__Fz"", ""eeg_bp_alpha__Cz"", ""eeg_se_alpha__C3"", ""eeg_se_alpha__Cz"", ""eeg_bp_beta__PO7"", ""eeg_se_beta__C3"", ""eeg_se_beta__Cz"", ""eeg_se_beta__Fz"", ""eeg_se_beta__Oz"", ""eeg_bp_gamma__PO7"", ""eeg_bp_gamma__Pz"", ""eeg_se_gamma__C3"", ""eeg_se_gamma__Fz"", ""eeg_se_gamma__Pz""]",multimodal
P29,valence,svm,all_eeg_plus_face,all_channels,20,primary,130,1,20,5,"{""classifier__C"": 10, ""classifier__class_weight"": null, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.579248366013072,"[""eeg_sd__Oz"", ""eeg_sd__PO7"", ""eeg_se__Cz"", ""eeg_se__Oz"", ""eeg_se__PO8"", ""eeg_hm__Oz"", ""eeg_hc__Oz"", ""eeg_mf_hz__C4"", ""eeg_mf_hz__Cz"", ""eeg_bp_delta__Oz"", ""eeg_se_delta__C4"", ""eeg_se_delta__PO8"", ""eeg_bp_theta__Oz"", ""eeg_se_alpha__C3"", ""eeg_se_beta__C3"", ""eeg_se_beta__Cz"", ""eeg_se_beta__Fz"", ""eeg_bp_gamma__PO8"", ""eeg_se_gamma__C3"", ""eeg_se_gamma__C4""]",multimodal
P29,valence,svm,all_eeg_plus_face,all_channels,20,primary,130,2,20,5,"{""classifier__C"": 10, ""classifier__class_weight"": null, ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}",0.5040849673202614,"[""eeg_se__C3"", ""eeg_se__Oz"", ""eeg_se__PO8"", ""eeg_hc__Oz"", ""eeg_bp_delta__C3"", ""eeg_bp_delta__Oz"", ""eeg_se_delta__C4"", ""eeg_se_delta__PO8"", ""eeg_se_theta__Fz"", ""eeg_bp_alpha__PO7"", ""eeg_se_alpha__C3"", ""eeg_se_alpha__Cz"", ""eeg_se_alpha__PO8"", ""eeg_bp_beta__PO7"", ""eeg_se_beta__C3"", ""eeg_bp_gamma__Oz"", ""eeg_se_gamma__C3"", ""eeg_se_gamma__C4"", ""eeg_se_gamma__Fz"", ""video_mwo_norm_std""]",multimodal
P29,valence,svm,all_eeg_plus_face,all_channels,20,primary,130,3,20,5,"{""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__kernel"": ""linear""}",0.5833333333333334,"[""eeg_se__Cz"", ""eeg_se__Oz"", ""eeg_se__PO8"", ""eeg_hc__Cz"", ""eeg_mf_hz__C4"", ""eeg_mf_hz__Cz"", ""eeg_se_delta__C4"", ""eeg_se_delta__PO8"", ""eeg_bp_theta__C3"", ""eeg_se_theta__C4"", ""eeg_se_theta__Fz"", ""eeg_bp_alpha__Cz"", ""eeg_bp_alpha__Oz"", ""eeg_bp_beta__PO7"", ""eeg_se_beta__C3"", ""eeg_se_beta__Cz"", ""eeg_bp_gamma__PO8"", ""eeg_bp_gamma__Pz"", ""eeg_se_gamma__C3"", ""eeg_se_gamma__C4""]",multimodal
P29,valence,svm,all_eeg_plus_face,all_channels,20,primary,130,4,20,5,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__kernel"": ""linear""}",0.6372549019607844,"[""eeg_se__C3"", ""eeg_se__Fz"", ""eeg_se__Oz"", ""eeg_hm__Oz"", ""eeg_hc__Oz"", ""eeg_mf_hz__Oz"", ""eeg_bp_delta__C3"", ""eeg_bp_delta__Oz"", ""eeg_se_delta__PO8"", ""eeg_se_theta__Fz"", ""eeg_bp_alpha__Cz"", ""eeg_se_alpha__C3"", ""eeg_se_alpha__Pz"", ""eeg_se_beta__C3"", ""eeg_se_beta__Cz"", ""eeg_bp_gamma__Oz"", ""eeg_bp_gamma__PO8"", ""eeg_se_gamma__C3"", ""eeg_se_gamma__C4"", ""eeg_se_gamma__Fz""]",multimodal
P29,valence,svm,all_eeg_plus_face,all_channels,20,primary,130,5,20,5,"{""classifier__C"": 10, ""classifier__class_weight"": ""balanced"", ""classifier__kernel"": ""linear""}",0.5675381263616558,"[""eeg_se__Cz"", ""eeg_se__PO8"", ""eeg_mf_hz__C4"", ""eeg_bp_delta__Oz"", ""eeg_se_delta__C4"", ""eeg_se_delta__PO8"", ""eeg_se_theta__Fz"", ""eeg_bp_alpha__Cz"", ""eeg_se_alpha__C3"", ""eeg_se_alpha__Cz"", ""eeg_bp_beta__PO7"", ""eeg_se_beta__C3"", ""eeg_se_beta__Cz"", ""eeg_se_beta__Fz"", ""eeg_se_beta__Oz"", ""eeg_bp_gamma__PO7"", ""eeg_bp_gamma__Pz"", ""eeg_se_gamma__C3"", ""eeg_se_gamma__Fz"", ""eeg_se_gamma__Pz""]",multimodal
