participant,target,eeg,face,multimodal,eeg_minus_face_ba,eeg_minus_multimodal_ba,face_minus_multimodal_ba
P39,valence,0.7042016806722688,0.5782446311858076,0.6945378151260504,0.12595704948646125,0.009663865546218453,-0.1162931839402428
P40,arousal,0.5503174603174603,0.6382539682539683,0.5492063492063493,-0.08793650793650798,0.0011111111111110628,0.08904761904761904
P40,valence,0.5957042957042957,0.6029070929070929,0.6281418581418581,-0.007202797202797151,-0.03243756243756235,-0.0252347652347652
P41,arousal,0.5877411477411478,0.5466333666333666,0.5764346764346765,0.04110778110778124,0.011306471306471333,-0.029801309801309905
P41,valence,0.5816783216783217,0.5535764235764236,0.5852447552447553,0.028101898101898115,-0.003566433566433602,-0.03166833166833172
P42,arousal,0.5642857142857143,0.5814285714285715,0.5714285714285714,-0.017142857142857237,-0.0071428571428571175,0.01000000000000012
P42,valence,0.5746953046953047,0.5993506493506493,0.547032967032967,-0.02465534465534458,0.02766233766233772,0.0523176823176823
P43,arousal,0.5688888888888888,0.5584126984126984,0.5636507936507936,0.010476190476190417,0.005238095238095153,-0.005238095238095264
P43,valence,0.5515277777777777,0.5990277777777778,0.5418055555555557,-0.0475000000000001,0.009722222222222077,0.057222222222222174
P44,arousal,0.6272627372627373,0.6324975024975025,0.661058941058941,-0.005234765234765182,-0.03379620379620374,-0.028561438561438557
P44,valence,0.5185924369747898,0.5621848739495798,0.5465336134453781,-0.04359243697478998,-0.027941176470588247,0.015651260504201736
P45,arousal,0.5583616383616384,0.5812787212787213,0.5596503496503497,-0.02291708291708283,-0.0012887112887112195,0.021628371628371612
P45,valence,0.5845833333333333,0.5797222222222222,0.5256944444444445,0.004861111111111094,0.05888888888888888,0.054027777777777786
P46,arousal,0.5866946778711485,0.46531279178338,0.6009803921568627,0.12138188608776851,-0.014285714285714235,-0.13566760037348274
P46,valence,0.6252747252747253,0.6009490509490509,0.5818681318681318,0.02432567432567434,0.043406593406593474,0.019080919080919134
