participant,target,classifier,feature_family,channel_subset,feature_count_request,analysis_tier,available_feature_count,feature_count_resolved,outer_folds,mean_outer_cv_balanced_accuracy,fold_ba_sd,outer_fold_ba_values,mean_accuracy,low_count,high_count,sample_size,modality
P02,arousal,gnb,paper_compact,all_channels,8,secondary,64,8,5,0.4148351648351648,0.0997343771598738,"[0.375, 0.5, 0.3333333333333333, 0.5416666666666667, 0.32417582417582413]",0.43,39,61,100,eeg
P02,arousal,gnb,paper_compact,frontal_central,10,secondary,32,10,5,0.3766941391941392,0.1016994630681541,"[0.25, 0.4791666666666667, 0.3125, 0.4791666666666667, 0.3626373626373626]",0.4,39,61,100,eeg
P02,arousal,gnb,paper_compact,frontal_central,8,secondary,32,8,5,0.3850274725274725,0.098927513303797,"[0.22916666666666666, 0.4791666666666667, 0.4583333333333333, 0.3958333333333333, 0.3626373626373626]",0.41,39,61,100,eeg
P02,arousal,logreg,all_eeg,all_channels,10,primary,120,10,5,0.426510989010989,0.0930181909389236,"[0.375, 0.4375, 0.3125, 0.5625, 0.44505494505494503]",0.47,39,61,100,eeg
P02,arousal,logreg,all_eeg,all_channels,8,primary,120,8,5,0.4098443223443223,0.0753468464938213,"[0.3541666666666667, 0.3958333333333333, 0.33333333333333337, 0.5208333333333333, 0.44505494505494503]",0.44,39,61,100,eeg
P02,arousal,logreg,paper_compact,all_channels,10,secondary,64,10,5,0.4539377289377289,0.1045153264089054,"[0.3541666666666667, 0.6041666666666667, 0.35416666666666663, 0.4791666666666667, 0.478021978021978]",0.4599999999999999,39,61,100,eeg
P02,arousal,logreg,paper_compact,all_channels,8,secondary,64,8,5,0.4027472527472527,0.1070706048842953,"[0.3125, 0.5, 0.4791666666666667, 0.4583333333333333, 0.26373626373626374]",0.44,39,61,100,eeg
P02,arousal,logreg,paper_compact,frontal_central,10,secondary,32,10,5,0.4563186813186813,0.0626050302265832,"[0.375, 0.5208333333333333, 0.4791666666666667, 0.5, 0.4065934065934066]",0.4800000000000001,39,61,100,eeg
P02,arousal,logreg,paper_compact,frontal_central,8,secondary,32,8,5,0.4586996336996337,0.0889703091160853,"[0.4791666666666667, 0.4375, 0.45833333333333337, 0.5833333333333333, 0.3351648351648352]",0.49,39,61,100,eeg
P02,arousal,svm,all_eeg,all_channels,10,primary,120,10,5,0.4348443223443223,0.0454652115729891,"[0.4583333333333333, 0.3541666666666667, 0.4583333333333333, 0.4583333333333333, 0.44505494505494503]",0.49,39,61,100,eeg
P02,arousal,svm,all_eeg,all_channels,8,primary,120,8,5,0.4407967032967033,0.1314515903201129,"[0.4583333333333333, 0.3541666666666667, 0.27083333333333337, 0.6041666666666667, 0.5164835164835164]",0.4800000000000001,39,61,100,eeg
P02,arousal,svm,paper_compact,all_channels,10,secondary,64,10,5,0.408058608058608,0.0962707785854217,"[0.3125, 0.5208333333333333, 0.3333333333333333, 0.5, 0.37362637362637363]",0.4599999999999999,39,61,100,eeg
P02,arousal,svm,paper_compact,all_channels,8,secondary,64,8,5,0.4521062271062271,0.1606062540646468,"[0.27083333333333337, 0.6458333333333333, 0.5, 0.5416666666666667, 0.30219780219780223]",0.49,39,61,100,eeg
P02,arousal,svm,paper_compact,frontal_central,10,secondary,32,10,5,0.4956043956043955,0.0373990644715427,"[0.4375, 0.5208333333333333, 0.5208333333333333, 0.5208333333333333, 0.478021978021978]",0.52,39,61,100,eeg
P02,arousal,svm,paper_compact,frontal_central,8,secondary,32,8,5,0.4967032967032967,0.0679090047769744,"[0.5208333333333333, 0.5, 0.39583333333333337, 0.5833333333333333, 0.48351648351648346]",0.54,39,61,100,eeg
P02,valence,gnb,all_eeg,all_channels,10,primary,120,10,5,0.6418181818181818,0.1182393507980105,"[0.775, 0.5333333333333333, 0.5333333333333333, 0.7583333333333333, 0.6090909090909091]",0.6904411764705882,25,59,84,eeg
P02,valence,gnb,all_eeg,all_channels,8,primary,120,8,5,0.6036363636363636,0.0906615949197256,"[0.7333333333333334, 0.5333333333333333, 0.575, 0.6583333333333333, 0.5181818181818182]",0.6536764705882353,25,59,84,eeg
P02,valence,gnb,hjorth,all_channels,10,primary,16,10,5,0.6310606060606061,0.1447326625817343,"[0.8166666666666667, 0.45, 0.5916666666666667, 0.7333333333333334, 0.5636363636363637]",0.6426470588235295,25,59,84,eeg
