participant,target,classifier,feature_family,channel_subset,feature_count_request,analysis_tier,available_feature_count,fold,feature_count_resolved,outer_folds,sample_size,train_size,test_size,low_count,high_count,balanced_accuracy,accuracy
P01,valence,gnb,time_statistical,all_channels,all,primary,8,2,all,5,114,91,23,52,62,0.5153846153846154,0.4782608695652174
P01,valence,gnb,time_statistical,all_channels,all,primary,8,3,all,5,114,91,23,52,62,0.5606060606060606,0.5652173913043478
P01,valence,gnb,time_statistical,all_channels,all,primary,8,4,all,5,114,91,23,52,62,0.4318181818181818,0.43478260869565216
P01,valence,gnb,time_statistical,all_channels,all,primary,8,5,all,5,114,92,22,52,62,0.41666666666666663,0.4090909090909091
P01,valence,logreg,paper_compact,all_channels,8,secondary,64,1,8,5,114,91,23,52,62,0.4076923076923077,0.43478260869565216
P01,valence,logreg,paper_compact,all_channels,8,secondary,64,2,8,5,114,91,23,52,62,0.4192307692307692,0.43478260869565216
P01,valence,logreg,paper_compact,all_channels,8,secondary,64,3,8,5,114,91,23,52,62,0.6553030303030303,0.6521739130434783
P01,valence,logreg,paper_compact,all_channels,8,secondary,64,4,8,5,114,91,23,52,62,0.5568181818181819,0.5652173913043478
P01,valence,logreg,paper_compact,all_channels,8,secondary,64,5,8,5,114,92,22,52,62,0.3833333333333333,0.4090909090909091
P01,valence,svm,paper_compact,all_channels,8,secondary,64,1,8,5,114,91,23,52,62,0.48461538461538467,0.5217391304347826
P01,valence,svm,paper_compact,all_channels,8,secondary,64,2,8,5,114,91,23,52,62,0.45769230769230773,0.4782608695652174
P01,valence,svm,paper_compact,all_channels,8,secondary,64,3,8,5,114,91,23,52,62,0.6515151515151515,0.6521739130434783
P01,valence,svm,paper_compact,all_channels,8,secondary,64,4,8,5,114,91,23,52,62,0.5492424242424242,0.5652173913043478
P01,valence,svm,paper_compact,all_channels,8,secondary,64,5,8,5,114,92,22,52,62,0.3833333333333333,0.4090909090909091
P01,valence,gnb,paper_compact,all_channels,8,secondary,64,1,8,5,114,91,23,52,62,0.4076923076923077,0.43478260869565216
P01,valence,gnb,paper_compact,all_channels,8,secondary,64,2,8,5,114,91,23,52,62,0.5846153846153846,0.6086956521739131
P01,valence,gnb,paper_compact,all_channels,8,secondary,64,3,8,5,114,91,23,52,62,0.6553030303030303,0.6521739130434783
P01,valence,gnb,paper_compact,all_channels,8,secondary,64,4,8,5,114,91,23,52,62,0.43939393939393934,0.43478260869565216
P01,valence,gnb,paper_compact,all_channels,8,secondary,64,5,8,5,114,92,22,52,62,0.44166666666666665,0.45454545454545453
P01,valence,logreg,paper_compact,all_channels,10,secondary,64,1,10,5,114,91,23,52,62,0.46923076923076923,0.4782608695652174
P01,valence,logreg,paper_compact,all_channels,10,secondary,64,2,10,5,114,91,23,52,62,0.4307692307692308,0.43478260869565216
P01,valence,logreg,paper_compact,all_channels,10,secondary,64,3,10,5,114,91,23,52,62,0.6553030303030303,0.6521739130434783
P01,valence,logreg,paper_compact,all_channels,10,secondary,64,4,10,5,114,91,23,52,62,0.6022727272727273,0.6086956521739131
P01,valence,logreg,paper_compact,all_channels,10,secondary,64,5,10,5,114,92,22,52,62,0.3416666666666667,0.36363636363636365
P01,valence,svm,paper_compact,all_channels,10,secondary,64,1,10,5,114,91,23,52,62,0.45769230769230773,0.4782608695652174
P01,valence,svm,paper_compact,all_channels,10,secondary,64,2,10,5,114,91,23,52,62,0.4192307692307692,0.43478260869565216
P01,valence,svm,paper_compact,all_channels,10,secondary,64,3,10,5,114,91,23,52,62,0.6553030303030303,0.6521739130434783
P01,valence,svm,paper_compact,all_channels,10,secondary,64,4,10,5,114,91,23,52,62,0.5,0.5217391304347826
P01,valence,svm,paper_compact,all_channels,10,secondary,64,5,10,5,114,92,22,52,62,0.43333333333333335,0.45454545454545453
P01,valence,gnb,paper_compact,all_channels,10,secondary,64,1,10,5,114,91,23,52,62,0.49615384615384617,0.5217391304347826
P01,valence,gnb,paper_compact,all_channels,10,secondary,64,2,10,5,114,91,23,52,62,0.46923076923076923,0.4782608695652174
P01,valence,gnb,paper_compact,all_channels,10,secondary,64,3,10,5,114,91,23,52,62,0.571969696969697,0.5652173913043478
P01,valence,gnb,paper_compact,all_channels,10,secondary,64,4,10,5,114,91,23,52,62,0.44696969696969696,0.43478260869565216
P01,valence,gnb,paper_compact,all_channels,10,secondary,64,5,10,5,114,92,22,52,62,0.35833333333333334,0.36363636363636365
P01,valence,logreg,paper_compact,frontal_central,8,secondary,32,1,8,5,114,91,23,52,62,0.4461538461538461,0.4782608695652174
P01,valence,logreg,paper_compact,frontal_central,8,secondary,32,2,8,5,114,91,23,52,62,0.39615384615384613,0.43478260869565216
P01,valence,logreg,paper_compact,frontal_central,8,secondary,32,3,8,5,114,91,23,52,62,0.6098484848484849,0.6086956521739131
P01,valence,logreg,paper_compact,frontal_central,8,secondary,32,4,8,5,114,91,23,52,62,0.5606060606060606,0.5652173913043478
P01,valence,logreg,paper_compact,frontal_central,8,secondary,32,5,8,5,114,92,22,52,62,0.575,0.5909090909090909
P01,valence,svm,paper_compact,frontal_central,8,secondary,32,1,8,5,114,91,23,52,62,0.5615384615384615,0.6086956521739131
P01,valence,svm,paper_compact,frontal_central,8,secondary,32,2,8,5,114,91,23,52,62,0.4461538461538461,0.4782608695652174
P01,valence,svm,paper_compact,frontal_central,8,secondary,32,3,8,5,114,91,23,52,62,0.6477272727272727,0.6521739130434783
P01,valence,svm,paper_compact,frontal_central,8,secondary,32,4,8,5,114,91,23,52,62,0.5,0.5217391304347826
P01,valence,svm,paper_compact,frontal_central,8,secondary,32,5,8,5,114,92,22,52,62,0.55,0.5909090909090909
P01,valence,gnb,paper_compact,frontal_central,8,secondary,32,1,8,5,114,91,23,52,62,0.5230769230769231,0.5652173913043478
P01,valence,gnb,paper_compact,frontal_central,8,secondary,32,2,8,5,114,91,23,52,62,0.4346153846153846,0.4782608695652174
P01,valence,gnb,paper_compact,frontal_central,8,secondary,32,3,8,5,114,91,23,52,62,0.6515151515151515,0.6521739130434783
P01,valence,gnb,paper_compact,frontal_central,8,secondary,32,4,8,5,114,91,23,52,62,0.6401515151515151,0.6521739130434783
P01,valence,gnb,paper_compact,frontal_central,8,secondary,32,5,8,5,114,92,22,52,62,0.5666666666666667,0.5909090909090909
P01,valence,logreg,paper_compact,frontal_central,10,secondary,32,1,10,5,114,91,23,52,62,0.36923076923076925,0.391304347826087
P01,valence,logreg,paper_compact,frontal_central,10,secondary,32,2,10,5,114,91,23,52,62,0.4192307692307692,0.43478260869565216
P01,valence,logreg,paper_compact,frontal_central,10,secondary,32,3,10,5,114,91,23,52,62,0.6098484848484849,0.6086956521739131
P01,valence,logreg,paper_compact,frontal_central,10,secondary,32,4,10,5,114,91,23,52,62,0.3939393939393939,0.391304347826087
P01,valence,logreg,paper_compact,frontal_central,10,secondary,32,5,10,5,114,92,22,52,62,0.35,0.36363636363636365
P01,valence,svm,paper_compact,frontal_central,10,secondary,32,1,10,5,114,91,23,52,62,0.4461538461538461,0.4782608695652174
P01,valence,svm,paper_compact,frontal_central,10,secondary,32,2,10,5,114,91,23,52,62,0.4076923076923077,0.43478260869565216
P01,valence,svm,paper_compact,frontal_central,10,secondary,32,3,10,5,114,91,23,52,62,0.6931818181818181,0.6956521739130435
P01,valence,svm,paper_compact,frontal_central,10,secondary,32,4,10,5,114,91,23,52,62,0.5,0.5217391304347826
P01,valence,svm,paper_compact,frontal_central,10,secondary,32,5,10,5,114,92,22,52,62,0.45,0.45454545454545453
P01,valence,gnb,paper_compact,frontal_central,10,secondary,32,1,10,5,114,91,23,52,62,0.5230769230769231,0.5652173913043478
P01,valence,gnb,paper_compact,frontal_central,10,secondary,32,2,10,5,114,91,23,52,62,0.4346153846153846,0.4782608695652174
P01,valence,gnb,paper_compact,frontal_central,10,secondary,32,3,10,5,114,91,23,52,62,0.606060606060606,0.6086956521739131
P01,valence,gnb,paper_compact,frontal_central,10,secondary,32,4,10,5,114,91,23,52,62,0.6401515151515151,0.6521739130434783
P01,valence,gnb,paper_compact,frontal_central,10,secondary,32,5,10,5,114,92,22,52,62,0.5666666666666667,0.5909090909090909
P01,arousal,logreg,all_eeg,all_channels,8,primary,120,1,8,5,112,89,23,45,67,0.43253968253968256,0.4782608695652174
P01,arousal,logreg,all_eeg,all_channels,8,primary,120,2,8,5,112,89,23,45,67,0.4722222222222222,0.4782608695652174
P01,arousal,logreg,all_eeg,all_channels,8,primary,120,3,8,5,112,90,22,45,67,0.3632478632478633,0.4090909090909091
P01,arousal,logreg,all_eeg,all_channels,8,primary,120,4,8,5,112,90,22,45,67,0.6965811965811965,0.6818181818181818
P01,arousal,logreg,all_eeg,all_channels,8,primary,120,5,8,5,112,90,22,45,67,0.4786324786324786,0.5454545454545454
P01,arousal,svm,all_eeg,all_channels,8,primary,120,1,8,5,112,89,23,45,67,0.376984126984127,0.43478260869565216
