participant,measure,valid_ratings,missing_ratings,mean,sd,median,min,q1,q3,max,discrete_value_counts,low_count,high_count,low_percent,high_percent,class_imbalance_ratio_major_to_minor
P14,valence,120,0,3.9,2.474746400724559,3.0,1.0,1.0,7.0,7.0,1:34; 2:14; 3:15; 4:1; 5:12; 6:11; 7:33,63,57,52.5,47.5,1.105263157894737
P14,arousal,120,0,4.308333333333334,2.4963699135140285,5.5,1.0,2.0,7.0,7.0,1:28; 2:18; 3:6; 5:8; 6:25; 7:35,52,68,43.333333333333336,56.666666666666664,1.3076923076923077
P15,valence,120,0,3.925,1.7352620706341484,4.0,1.0,3.0,5.0,7.0,1:16; 2:11; 3:13; 4:39; 5:17; 6:15; 7:9,40,80,33.333333333333336,66.66666666666667,2.0
P15,arousal,120,0,4.083333333333333,1.3257839496812793,4.0,1.0,4.0,5.0,7.0,1:3; 2:14; 3:9; 4:62; 5:15; 6:10; 7:7,26,94,21.666666666666668,78.33333333333333,3.6153846153846154
P16,valence,120,0,3.966666666666667,1.7097512391338945,4.0,1.0,2.0,6.0,7.0,1:5; 2:26; 3:24; 4:16; 5:17; 6:26; 7:6,55,65,45.833333333333336,54.166666666666664,1.1818181818181819
P16,arousal,120,0,4.108333333333333,1.6743032331470338,4.0,1.0,3.0,5.0,7.0,1:6; 2:23; 3:15; 4:19; 5:28; 6:23; 7:6,44,76,36.666666666666664,63.333333333333336,1.7272727272727273
P17,valence,120,0,4.283333333333333,1.7972122826187,4.5,1.0,3.0,6.0,7.0,1:7; 2:12; 3:33; 4:8; 5:25; 6:18; 7:17,52,68,43.333333333333336,56.666666666666664,1.3076923076923077
P17,arousal,120,0,4.541666666666667,1.269525375040274,5.0,1.0,3.0,5.0,7.0,1:2; 2:1; 3:29; 4:18; 5:43; 6:22; 7:5,32,88,26.666666666666668,73.33333333333333,2.75
P18,valence,120,0,3.941666666666667,1.83475244286815,4.0,1.0,2.0,6.0,7.0,1:11; 2:22; 3:25; 4:6; 5:25; 6:23; 7:8,58,62,48.333333333333336,51.666666666666664,1.0689655172413792
P18,arousal,120,0,3.7583333333333333,1.4260236384320375,3.0,1.0,3.0,5.0,7.0,1:4; 2:16; 3:42; 4:20; 5:25; 6:7; 7:6,62,58,51.666666666666664,48.333333333333336,1.0689655172413792
P19,valence,120,0,4.016666666666667,1.6191258837567202,4.0,1.0,3.0,5.0,7.0,1:7; 2:15; 3:21; 4:38; 5:16; 6:11; 7:12,43,77,35.833333333333336,64.16666666666667,1.7906976744186047
P19,arousal,120,0,3.6166666666666667,1.6611392938286063,3.0,1.0,2.0,5.0,7.0,1:13; 2:18; 3:34; 4:15; 5:24; 6:9; 7:7,65,55,54.166666666666664,45.833333333333336,1.1818181818181819
P20,valence,120,0,3.8333333333333335,1.631276931048284,4.0,1.0,3.0,5.0,7.0,1:10; 2:17; 3:26; 4:26; 5:16; 6:21; 7:4,53,67,44.166666666666664,55.833333333333336,1.2641509433962264
P20,arousal,120,0,4.241666666666666,1.396248474993462,4.0,1.0,3.0,5.0,7.0,1:4; 2:7; 3:26; 4:31; 5:28; 6:19; 7:5,37,83,30.833333333333332,69.16666666666667,2.2432432432432434
P21,valence,120,0,4.791666666666667,2.003760470317988,5.0,1.0,3.0,6.0,7.0,1:14; 2:10; 3:7; 4:7; 5:26; 6:30; 7:26,31,89,25.833333333333332,74.16666666666667,2.870967741935484
P21,arousal,120,0,3.3916666666666666,2.201206061060459,2.0,1.0,1.0,6.0,7.0,1:34; 2:27; 3:8; 4:4; 5:13; 6:24; 7:10,69,51,57.5,42.5,1.3529411764705883
P22,valence,120,0,3.3666666666666667,2.2112521010372688,3.0,1.0,1.0,5.0,7.0,1:38; 2:17; 3:13; 4:12; 5:11; 6:13; 7:16,68,52,56.666666666666664,43.333333333333336,1.3076923076923077
P22,arousal,120,0,3.066666666666667,2.187563524487796,2.0,1.0,1.0,5.0,7.0,1:49; 2:12; 3:12; 4:14; 5:8; 6:12; 7:13,73,47,60.833333333333336,39.166666666666664,1.553191489361702
P23,valence,120,0,3.325,1.9964779913006554,3.0,1.0,2.0,5.0,7.0,1:29; 2:25; 3:15; 4:11; 5:19; 6:11; 7:10,69,51,57.5,42.5,1.3529411764705883
P23,arousal,120,0,4.55,1.5975296054646795,5.0,1.0,3.0,6.0,7.0,1:2; 2:16; 3:19; 4:6; 5:43; 6:22; 7:12,37,83,30.833333333333332,69.16666666666667,2.2432432432432434
P24,valence,120,0,3.966666666666667,2.4595324189544554,3.0,1.0,1.0,6.0,7.0,1:32; 2:16; 3:14; 5:6; 6:24; 7:28,62,58,51.666666666666664,48.333333333333336,1.0689655172413792
P24,arousal,120,0,3.9583333333333335,2.155297687849477,5.0,1.0,2.0,6.0,7.0,1:21; 2:25; 3:10; 4:1; 5:21; 6:29; 7:13,56,64,46.666666666666664,53.333333333333336,1.1428571428571428
P25,valence,120,0,4.225,1.7985171296226838,5.0,1.0,3.0,6.0,7.0,1:5; 2:21; 3:28; 4:1; 5:32; 6:19; 7:14,54,66,45.0,55.0,1.2222222222222223
P25,arousal,120,0,3.9833333333333334,1.598230814586766,5.0,1.0,2.0,5.0,7.0,1:4; 2:29; 3:19; 4:1; 5:50; 6:14; 7:3,52,68,43.333333333333336,56.666666666666664,1.3076923076923077
P26,valence,120,0,3.3916666666666666,2.1626929732069096,3.0,1.0,1.0,5.0,7.0,1:34; 2:20; 3:14; 4:12; 5:13; 6:11; 7:16,68,52,56.666666666666664,43.333333333333336,1.3076923076923077
P26,arousal,120,0,4.4,2.0799159646889747,5.0,1.0,2.75,6.0,7.0,1:13; 2:17; 3:15; 4:14; 5:10; 6:27; 7:24,45,75,37.5,62.5,1.6666666666666667
P27,valence,120,0,4.25,1.625686668105863,4.0,1.0,3.0,6.0,7.0,1:6; 2:14; 3:19; 4:26; 5:24; 6:22; 7:9,39,81,32.5,67.5,2.076923076923077
P27,arousal,120,0,4.283333333333333,1.2514417455786866,4.0,1.0,4.0,5.0,6.0,1:1; 2:12; 3:16; 4:37; 5:31; 6:23,29,91,24.166666666666668,75.83333333333333,3.1379310344827585
P29,valence,120,0,4.133333333333334,1.970084387278169,4.0,1.0,2.0,6.0,7.0,1:9; 2:25; 3:17; 4:18; 5:11; 6:21; 7:19,51,69,42.5,57.5,1.3529411764705883
P29,arousal,120,0,4.166666666666667,1.5357549991346102,4.0,1.0,3.0,5.0,7.0,1:3; 2:20; 3:17; 4:25; 5:30; 6:19; 7:6,40,80,33.333333333333336,66.66666666666667,2.0
P30,valence,120,0,3.808333333333333,1.8799956791177475,4.0,1.0,2.0,5.0,7.0,1:14; 2:21; 3:24; 4:16; 5:18; 6:14; 7:13,59,61,49.166666666666664,50.833333333333336,1.0338983050847457
P30,arousal,120,0,4.2,1.4118347321568376,5.0,1.0,3.0,5.0,7.0,1:5; 2:7; 3:32; 4:12; 5:48; 6:11; 7:5,44,76,36.666666666666664,63.333333333333336,1.7272727272727273
P32,valence,120,0,3.725,1.5004901160071977,4.0,1.0,3.0,5.0,7.0,1:7; 2:16; 3:35; 4:30; 5:16; 6:9; 7:7,58,62,48.333333333333336,51.666666666666664,1.0689655172413792
P32,arousal,120,0,4.316666666666666,0.9699981229587082,4.0,1.0,4.0,5.0,7.0,1:2; 2:2; 3:12; 4:56; 5:37; 6:10; 7:1,16,104,13.333333333333334,86.66666666666667,6.5
P33,valence,120,0,3.8,1.6733200530681511,3.5,1.0,2.0,5.0,7.0,1:5; 2:29; 3:26; 4:15; 5:23; 6:14; 7:8,60,60,50.0,50.0,1.0
P33,arousal,120,0,4.491666666666666,1.5502552423799798,5.0,1.0,3.0,6.0,7.0,1:6; 2:13; 3:13; 4:10; 5:42; 6:34; 7:2,32,88,26.666666666666668,73.33333333333333,2.75
