participant,target,task,task_label,feature,geometry,median_contribution,p95_contribution,largest_contributor_pct,median_abs_contribution,median_signed_contribution,direction,dominant_contributor_pct
P19,arousal,stack,Stack,eeg_mf_hz__PO8,mean_of_11_image_neighbors,0.007733264165043114,0.0379414701522602,0.0,,,,
P19,arousal,stack,Stack,eeg_bp_beta__Fz,nearest_image_neighbor,0.0015868384463832686,0.05519789671857433,0.0,,,,
P19,arousal,stack,Stack,eeg_bp_beta__Fz,mean_of_11_image_neighbors,0.0020859200453631176,0.029926196653373913,0.0,,,,
P19,arousal,stack,Stack,eeg_bp_beta__PO8,nearest_image_neighbor,0.055425695402917426,0.3947300051564225,10.294117647058822,,,,
P19,arousal,stack,Stack,eeg_bp_beta__PO8,mean_of_11_image_neighbors,0.06768726919411988,0.3082558507132878,7.352941176470589,,,,
P19,arousal,stack,Stack,eeg_bp_beta__Pz,nearest_image_neighbor,0.0017942408564291063,0.032687190247778004,0.0,,,,
P19,arousal,stack,Stack,eeg_bp_beta__Pz,mean_of_11_image_neighbors,0.0034934285827183387,0.033886234335896825,0.0,,,,
P19,arousal,sisyphus,Sisyphus,eeg_se__Fz,nearest_image_neighbor,0.13699452213903077,0.23974195303627632,2.197802197802198,,,,
P19,arousal,sisyphus,Sisyphus,eeg_se__Fz,mean_of_11_image_neighbors,0.18584167935337573,0.29150633330223197,2.197802197802198,,,,
P19,arousal,sisyphus,Sisyphus,eeg_hm__Fz,nearest_image_neighbor,0.03120083092032672,0.04383813511435555,0.0,,,,
P19,arousal,sisyphus,Sisyphus,eeg_hm__Fz,mean_of_11_image_neighbors,0.033402337210798196,0.0463024485029321,0.0,,,,
P19,arousal,sisyphus,Sisyphus,eeg_hm__PO8,nearest_image_neighbor,0.004081904206880667,0.07856305820678612,0.0,,,,
P19,arousal,sisyphus,Sisyphus,eeg_hm__PO8,mean_of_11_image_neighbors,0.00533831220312018,0.0370892567071746,0.0,,,,
P19,arousal,sisyphus,Sisyphus,eeg_hc__Fz,nearest_image_neighbor,0.5560747675015261,0.8024476914724332,73.62637362637363,,,,
P19,arousal,sisyphus,Sisyphus,eeg_hc__Fz,mean_of_11_image_neighbors,0.504596116613747,0.7423826182127344,80.21978021978022,,,,
P19,arousal,sisyphus,Sisyphus,eeg_hc__PO8,nearest_image_neighbor,0.009054287840335323,0.14791902903455179,1.098901098901099,,,,
P19,arousal,sisyphus,Sisyphus,eeg_hc__PO8,mean_of_11_image_neighbors,0.012708769745198432,0.15832605132467367,1.098901098901099,,,,
P19,arousal,sisyphus,Sisyphus,eeg_mf_hz__Fz,nearest_image_neighbor,0.0009286544058766385,0.003874529318883719,0.0,,,,
P19,arousal,sisyphus,Sisyphus,eeg_mf_hz__Fz,mean_of_11_image_neighbors,0.0026761412583269795,0.012097587294149604,0.0,,,,
P19,arousal,sisyphus,Sisyphus,eeg_mf_hz__PO8,nearest_image_neighbor,0.0040101086971074075,0.021713886707414178,0.0,,,,
