mode,participant,held_out_participant,target,modality,classifier,feature_count_request,feature_count_resolved,fold,best_parameters,inner_best_balanced_accuracy
individual,P22,P22,valence,eeg,knn,5,5,4,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}",0.5655645524066577
individual,P22,P22,valence,eeg,knn,5,5,5,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}",0.4922777028040186
individual,P25,P25,valence,eeg,knn,5,5,1,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}",0.5982103952692188
individual,P25,P25,valence,eeg,knn,5,5,2,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""distance""}",0.5440709617180205
individual,P25,P25,valence,eeg,knn,5,5,3,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}",0.5257703081232493
individual,P25,P25,valence,eeg,knn,5,5,4,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""distance""}",0.5242763772175536
individual,P25,P25,valence,eeg,knn,5,5,5,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5541549953314658
individual,P32,P32,valence,eeg,knn,5,5,1,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}",0.5742647058823529
individual,P32,P32,valence,eeg,knn,5,5,2,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}",0.5078431372549019
individual,P32,P32,valence,eeg,knn,5,5,3,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}",0.5933006535947712
individual,P32,P32,valence,eeg,knn,5,5,4,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""distance""}",0.5206699346405229
individual,P32,P32,valence,eeg,knn,5,5,5,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""distance""}",0.5000816993464052
individual,P40,P40,valence,eeg,knn,5,5,1,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}",0.5964519140989729
individual,P40,P40,valence,eeg,knn,5,5,2,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}",0.49674758792405854
individual,P40,P40,valence,eeg,knn,5,5,3,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""distance""}",0.5528166822284469
individual,P40,P40,valence,eeg,knn,5,5,4,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}",0.5687208216619982
individual,P40,P40,valence,eeg,knn,5,5,5,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}",0.5542328042328043
individual,P42,P42,valence,eeg,knn,5,5,1,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}",0.5793650793650794
individual,P42,P42,valence,eeg,knn,5,5,2,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.6507936507936508
individual,P42,P42,valence,eeg,knn,5,5,3,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}",0.5992063492063492
individual,P42,P42,valence,eeg,knn,5,5,4,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""distance""}",0.5683707131075553
individual,P42,P42,valence,eeg,knn,5,5,5,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5837349784718205
