participant,target,task,task_label,feature,image_low_median,image_low_iqr,image_high_median,image_high_iqr,image_overall_median,image_overall_iqr,image_min,image_max,robot_median,robot_iqr,robot_min,robot_max,robot_z_median_abs,robot_z_p95_abs,robot_z_max_abs,robot_z_pct_abs_gt_2,robot_z_pct_abs_gt_3,robot_z_pct_abs_gt_5,robot_pct_outside_image_min_max,iqr_overlap,distance_median_contribution,distance_p95_contribution,distance_largest_contributor_pct,transferability_category,shift_indicator_count
P19,valence,shape_sorter_interaction,Shape Sorter Interaction,eeg_se__PO8,4.18020063539655,0.31679861128026765,4.357554311039212,0.32759882218933534,4.286688362122769,0.34030216504695954,3.555258305383176,4.76267914443993,4.553880816561412,0.24842677367787847,1.438511811390209,4.991262949811709,1.1712743198611706,2.2850293877963552,11.264358575521877,11.688311688311687,2.5974025974025974,2.5974025974025974,12.987012987012985,Image_HIGH,0.0,0.0,0.0,TRANSFER_COMPATIBLE,0
P19,valence,shape_sorter_interaction,Shape Sorter Interaction,eeg_hc__PO8,1.974150724765359,0.2665160164732536,1.8726584094868293,0.163247229991615,1.9110862567497846,0.21781775393640435,1.4893668759545322,2.628936830864649,1.776242201984768,0.14190376405054872,1.5076964054477922,11.564974089356964,0.8599614243293604,1.8330001891339578,51.04833666627117,2.5974025974025974,1.2987012987012987,1.2987012987012987,1.2987012987012987,both,0.0,0.0,0.0,TRANSFER_COMPATIBLE,0
P19,valence,shape_sorter_interaction,Shape Sorter Interaction,eeg_mf_hz__Fz,9.0,5.0,11.0,3.0,10.0,3.25,4.0,21.0,6.0,5.0,2.0,14.0,1.2160250864086557,2.260196895847215,2.260196895847215,6.493506493506493,0.0,0.0,24.675324675324674,both,0.0,0.0,0.0,TRANSFER_COMPATIBLE,0
P19,valence,shape_sorter_interaction,Shape Sorter Interaction,eeg_mf_hz__PO8,6.0,2.0,7.0,2.0,6.0,2.0,3.0,12.0,8.0,3.0,2.0,13.0,1.3930520662939845,3.184119008671965,3.7811413227979584,18.181818181818183,10.38961038961039,0.0,5.194805194805195,both,0.0,0.0,0.0,TRANSFER_COMPATIBLE,1
P19,valence,shape_sorter_interaction,Shape Sorter Interaction,eeg_bp_delta__Fz,14.749028388355123,7.872361344786395,11.5987649228913,7.647725680869842,12.13778562384432,8.852124210642575,2.196954279885814,43.87831178778889,21.68080058140533,22.62243922814357,5.444249944782737,660612.6297979649,1.091188285117187,9.89221267854911,83759.83318708178,29.87012987012987,24.675324675324674,14.285714285714285,23.376623376623375,both,0.0,0.0,0.0,MODERATELY_SHIFTED,2
P19,arousal,pick_place,Pick and Place,eeg_se__Fz,4.758784220132117,0.2007166186126339,4.60150591240336,0.30880784922941995,4.692576967635442,0.28142969421143516,3.75619972640026,5.026992101131952,2.586764059608379,0.5293349884062488,1.292535913971726,3.5058614275686586,8.622034064700875,12.135642288450128,14.059236544124465,100.0,100.0,92.85714285714286,100.0,neither,0.19810418641434296,0.42541950690669045,9.523809523809524,SEVERELY_SHIFTED,6
P19,arousal,pick_place,Pick and Place,eeg_hm__Fz,0.4083912274822276,0.059956910774641714,0.3751826368635525,0.07789981334094753,0.39675899252381,0.07091382209030422,0.258900907159693,0.5276483384419882,0.18069376981584157,0.06385047275198735,0.022654151286696,0.2674556924954363,4.212931593693381,5.764988887038512,7.302667689653598,100.0,88.09523809523809,16.666666666666664,90.47619047619048,neither,0.04286959286535705,0.0673111566155461,0.0,SEVERELY_SHIFTED,6
P19,arousal,pick_place,Pick and Place,eeg_hm__PO8,0.3019270008556102,0.03693745449883218,0.2859077992777361,0.03550777673597272,0.29448178442326733,0.038904070096386745,0.2084983592864777,0.3999655654544514,0.22331134996857477,0.06029773855633408,0.0280961952955268,0.297762648109393,2.21858387186751,4.572984274962204,8.134483381601711,59.523809523809526,33.33333333333333,4.761904761904762,35.714285714285715,neither,0.010179041973716418,0.09175530989619951,0.0,SEVERELY_SHIFTED,5
P19,arousal,pick_place,Pick and Place,eeg_hc__Fz,1.5305865522858275,0.17245297084519784,1.6445812620634732,0.29253709960528096,1.5643856168795949,0.23726968121170988,1.2608469179136874,2.234299786474834,3.416253682063373,0.9727525646754702,1.936587332726669,16.65255850266434,9.700709195802878,22.80561274356423,80.45310547579874,97.61904761904762,97.61904761904762,92.85714285714286,97.61904761904762,neither,0.5104807199606629,0.6393644142426405,80.95238095238095,SEVERELY_SHIFTED,6
P19,arousal,pick_place,Pick and Place,eeg_hc__PO8,1.8567290496995528,0.2336211335190288,1.953646706011208,0.21888729043600996,1.9110862567497846,0.21781775393640435,1.4893668759545322,2.628936830864649,2.7344465683815518,0.6406854509754276,1.9279378830231968,16.5822996261246,4.344504911051747,12.066792278430981,77.58450080524868,80.95238095238095,71.42857142857143,38.095238095238095,59.523809523809526,neither,0.08981197825075851,0.25134437711948576,0.0,SEVERELY_SHIFTED,6
