Timestamp,Experiment_Time,Frame_Count,Trigger,Emotion
2026-05-26 15:20:10.412,293.105,8763,0,no face
2026-05-26 15:20:10.445,293.137,8764,0,no face
2026-05-26 15:20:10.478,293.171,8765,0,no face
2026-05-26 15:20:10.512,293.204,8766,0,no face
2026-05-26 15:20:10.545,293.237,8767,0,no face
2026-05-26 15:20:10.578,293.271,8768,0,no face
2026-05-26 15:20:10.612,293.304,8769,0,no face
2026-05-26 15:20:10.645,293.338,8770,0,no face
2026-05-26 15:20:10.678,293.371,8771,0,no face
2026-05-26 15:20:10.712,293.404,8772,0,no face
2026-05-26 15:20:10.745,293.438,8773,0,no face
2026-05-26 15:20:10.778,293.471,8774,0,no face
2026-05-26 15:20:10.812,293.504,8775,20,no face
2026-05-26 15:20:10.846,293.538,8776,0,no face
2026-05-26 15:20:10.879,293.571,8777,0,no face
2026-05-26 15:20:10.913,293.605,8778,0,no face
2026-05-26 15:20:10.959,293.651,8779,0,no face
2026-05-26 15:20:10.978,293.671,8780,0,no face
2026-05-26 15:20:11.012,293.704,8781,0,no face
2026-05-26 15:20:11.045,293.738,8782,0,no face
2026-05-26 15:20:11.079,293.771,8783,0,no face
2026-05-26 15:20:11.112,293.804,8784,0,no face
2026-05-26 15:20:11.145,293.838,8785,0,no face
2026-05-26 15:20:11.179,293.871,8786,0,no face
2026-05-26 15:20:11.213,293.905,8787,0,no face
2026-05-26 15:20:11.245,293.938,8788,0,no face
2026-05-26 15:20:11.279,293.971,8789,0,no face
2026-05-26 15:20:11.312,294.004,8790,0,no face
2026-05-26 15:20:11.346,294.039,8791,0,no face
2026-05-26 15:20:11.379,294.071,8792,0,no face
2026-05-26 15:20:11.412,294.104,8793,0,no face
2026-05-26 15:20:11.446,294.138,8794,0,no face
2026-05-26 15:20:11.479,294.171,8795,0,no face
2026-05-26 15:20:11.512,294.204,8796,0,no face
2026-05-26 15:20:11.546,294.239,8797,0,no face
2026-05-26 15:20:11.579,294.271,8798,0,no face
2026-05-26 15:20:11.612,294.305,8799,0,no face
2026-05-26 15:20:11.646,294.338,8800,0,no face
2026-05-26 15:20:11.679,294.371,8801,0,no face
2026-05-26 15:20:11.712,294.405,8802,0,no face
2026-05-26 15:20:11.746,294.438,8803,0,no face
2026-05-26 15:20:11.779,294.471,8804,0,no face
2026-05-26 15:20:11.812,294.505,8805,0,no face
2026-05-26 15:20:11.846,294.538,8806,0,no face
2026-05-26 15:20:11.879,294.571,8807,0,no face
2026-05-26 15:20:11.912,294.605,8808,0,no face
2026-05-26 15:20:11.945,294.638,8809,0,no face
2026-05-26 15:20:11.979,294.672,8810,0,no face
2026-05-26 15:20:12.012,294.705,8811,0,no face
2026-05-26 15:20:12.055,294.748,8812,0,no face
2026-05-26 15:20:12.079,294.772,8813,0,no face
2026-05-26 15:20:12.114,294.807,8814,0,no face
2026-05-26 15:20:12.146,294.838,8815,0,no face
2026-05-26 15:20:12.179,294.871,8816,0,no face
2026-05-26 15:20:12.212,294.905,8817,0,no face
2026-05-26 15:20:12.246,294.938,8818,0,no face
2026-05-26 15:20:12.279,294.972,8819,21,no face
2026-05-26 15:20:12.312,295.005,8820,0,no face
2026-05-26 15:20:12.346,295.038,8821,0,no face
2026-05-26 15:20:12.379,295.072,8822,0,no face
2026-05-26 15:20:12.412,295.105,8823,0,no face
2026-05-26 15:20:12.446,295.138,8824,0,no face
2026-05-26 15:20:12.479,295.171,8825,0,no face
2026-05-26 15:20:12.512,295.205,8826,0,no face
2026-05-26 15:20:12.546,295.238,8827,0,no face
2026-05-26 15:20:12.579,295.272,8828,0,no face
2026-05-26 15:20:12.612,295.305,8829,0,no face
2026-05-26 15:20:12.646,295.339,8830,0,no face
2026-05-26 15:20:12.679,295.372,8831,0,no face
2026-05-26 15:20:12.712,295.405,8832,0,no face
2026-05-26 15:20:12.746,295.438,8833,0,no face
2026-05-26 15:20:12.779,295.472,8834,0,no face
2026-05-26 15:20:12.813,295.505,8835,0,no face
2026-05-26 15:20:12.847,295.539,8836,0,no face
2026-05-26 15:20:12.879,295.572,8837,0,no face
2026-05-26 15:20:12.912,295.605,8838,0,no face
2026-05-26 15:20:12.946,295.639,8839,0,no face
2026-05-26 15:20:12.981,295.673,8840,0,no face
2026-05-26 15:20:13.013,295.706,8841,0,no face
2026-05-26 15:20:13.048,295.74,8842,0,no face
2026-05-26 15:20:13.079,295.772,8843,0,no face
2026-05-26 15:20:13.113,295.806,8844,0,no face
2026-05-26 15:20:13.146,295.839,8845,0,no face
2026-05-26 15:20:13.182,295.875,8846,0,no face
2026-05-26 15:20:13.213,295.905,8847,0,no face
2026-05-26 15:20:13.246,295.939,8848,0,no face
2026-05-26 15:20:13.279,295.972,8849,0,no face
2026-05-26 15:20:13.313,296.005,8850,0,no face
2026-05-26 15:20:13.346,296.039,8851,0,no face
2026-05-26 15:20:13.379,296.072,8852,0,no face
2026-05-26 15:20:13.413,296.105,8853,0,no face
2026-05-26 15:20:13.446,296.139,8854,0,no face
2026-05-26 15:20:13.480,296.172,8855,1,no face
2026-05-26 15:20:13.513,296.205,8856,0,no face
2026-05-26 15:20:13.546,296.239,8857,0,no face
2026-05-26 15:20:13.580,296.272,8858,0,no face
2026-05-26 15:20:13.613,296.305,8859,0,no face
2026-05-26 15:20:13.646,296.339,8860,0,no face
2026-05-26 15:20:13.680,296.372,8861,0,no face
2026-05-26 15:20:13.713,296.406,8862,0,no face
2026-05-26 15:20:13.746,296.439,8863,0,no face
2026-05-26 15:20:13.780,296.472,8864,0,no face
