trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,stim_id,category,trigger_sent,image_path,valence_rating,valence_rt,arousal_rating,arousal_rt,participant,session,
0,-1,-1,0,,,Sad face 3.jpg,LALV,426,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/LALV/Sad face 3.jpg,2,2.0473060607910156,5,2.730832815170288,P01,001,
0,-1,-1,0,,,Exercise 2.jpg,HAHV,130,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/HAHV/Exercise 2.jpg,2,1.4968130588531494,5,1.0988900661468506,P01,001,
0,-1,-1,0,,,Police 3.jpg,LAHV,328,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/LAHV/Police 3.jpg,5,1.2283754348754883,5,1.765291690826416,P01,001,
0,-1,-1,0,,,Couple 7.jpg,HAHV,118,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/HAHV/Couple 7.jpg,5,1.2963066101074219,3,0.5815927982330322,P01,001,
0,-1,-1,0,,,Snake 1.jpg,HALV,205,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/HALV/Snake 1.jpg,2,1.4837720394134521,5,0.8457245826721191,P01,001,
0,-1,-1,0,,,Cat 7.jpg,HALV,214,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/HALV/Cat 7.jpg,5,0.7959384918212891,3,2.498370409011841,P01,001,
0,-1,-1,0,,,Hallway 1.jpg,LALV,425,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/LALV/Hallway 1.jpg,1,1.5312035083770752,7,1.4802820682525635,P01,001,
0,-1,-1,0,,,Fence 5.jpg,LAHV,307,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/LAHV/Fence 5.jpg,4,1.5309960842132568,4,0.5812609195709229,P01,001,
0,-1,-1,0,,,Sidewalk 6.jpg,LALV,429,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/LALV/Sidewalk 6.jpg,4,0.7307085990905762,4,0.5323870182037354,P01,001,
0,-1,-1,0,,,Street 2.jpg,LAHV,327,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/LAHV/Street 2.jpg,5,1.4127907752990723,3,0.7147552967071533,P01,001,
0,-1,-1,0,,,Sad pose 6.jpg,LALV,420,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/LALV/Sad pose 6.jpg,1,1.4967474937438965,7,1.2648522853851318,P01,001,
0,-1,-1,0,,,Tumor 1.jpg,HALV,208,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/HALV/Tumor 1.jpg,1,1.8637008666992188,7,1.497878074645996,P01,001,
0,-1,-1,0,,,Garbage dump 5.jpg,LALV,404,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/LALV/Garbage dump 5.jpg,3,2.078444719314575,5,1.048980951309204,P01,001,
0,-1,-1,0,,,Tornado 2.jpg,HAHV,120,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/HAHV/Tornado 2.jpg,3,1.3653647899627686,5,1.046471118927002,P01,001,
0,-1,-1,0,,,Garbage dump 1.jpg,LALV,427,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/LALV/Garbage dump 1.jpg,3,1.9808175563812256,5,2.315537452697754,P01,001,
0,-1,-1,0,,,Snow 4.jpg,LALV,401,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/LALV/Snow 4.jpg,5,1.8315317630767822,3,1.2321720123291016,P01,001,
0,-1,-1,0,,,Dessert 2.jpg,LAHV,311,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/LAHV/Dessert 2.jpg,5,1.1136155128479004,3,0.6823959350585938,P01,001,
0,-1,-1,0,,,Cups 1.jpg,LAHV,305,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/LAHV/Cups 1.jpg,4,0.6967287063598633,3,1.2639479637145996,P01,001,
0,-1,-1,0,,,Angry face 1.jpg,LALV,407,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/LALV/Angry face 1.jpg,5,0.9974451065063477,5,0.7304787635803223,P01,001,
0,-1,-1,0,,,Jail 2.jpg,HALV,222,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/HALV/Jail 2.jpg,4,0.5285916328430176,5,3.000337600708008,P01,001,
0,-1,-1,0,,,Fire 2.jpg,HALV,229,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/HALV/Fire 2.jpg,3,1.5438833236694336,5,1.26499605178833,P01,001,
0,-1,-1,0,,,Doctor 2.jpg,HAHV,108,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/HAHV/Doctor 2.jpg,5,1.08168625831604,3,0.8980996608734131,P01,001,
0,-1,-1,0,,,Soccer 2.jpg,LAHV,308,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/LAHV/Soccer 2.jpg,6,0.9471151828765869,5,2.4135775566101074,P01,001,
0,-1,-1,0,,,Dog 19.jpg,HAHV,119,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/HAHV/Dog 19.jpg,6,2.38016414642334,6,2.7147586345672607,P01,001,
0,-1,-1,0,,,Angry face 4.jpg,HALV,230,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/HALV/Angry face 4.jpg,2,2.080998659133911,6,1.0475726127624512,P01,001,
0,-1,-1,0,,,Swimming 1.jpg,HAHV,104,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/HAHV/Swimming 1.jpg,5,1.5503463745117188,3,0.7117769718170166,P01,001,
0,-1,-1,0,,,Flowers 8.jpg,HAHV,102,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/HAHV/Flowers 8.jpg,5,2.2513465881347656,3,0.9119038581848145,P01,001,
0,-1,-1,0,,,Ornament 1.jpg,LAHV,301,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/LAHV/Ornament 1.jpg,5,0.6642460823059082,3,1.7480781078338623,P01,001,
0,-1,-1,0,,,Massage 1.jpg,HAHV,107,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/HAHV/Massage 1.jpg,5,1.1141788959503174,3,0.8813302516937256,P01,001,
0,-1,-1,0,,,Sleepy pose 1.jpg,LALV,411,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/LALV/Sleepy pose 1.jpg,5,0.8794281482696533,3,1.164574384689331,P01,001,
0,-1,-1,0,,,Car accident 1.jpg,HALV,217,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/HALV/Car accident 1.jpg,3,2.013554573059082,5,1.2972195148468018,P01,001,
