participant,target,modality,old_best_ba,new_best_ba,delta_ba,improved,old_ge_060,new_ge_060,old_ge_065,new_ge_065
P18,arousal,face,0.6015151515151516,0.6148601398601399,0.013344988344988318,True,True,True,False,False
P19,arousal,face,0.5335664335664336,0.6013986013986015,0.06783216783216783,True,False,True,False,False
P20,arousal,face,0.5142857142857142,0.4986869747899159,-0.01559873949579832,False,False,False,False,False
P21,arousal,face,0.6172127872127872,0.6177322677322677,0.0005194805194805863,True,True,True,False,False
P22,arousal,face,0.6777777777777778,0.6777777777777778,0.0,False,True,True,True,True
P23,arousal,face,0.5983193277310924,0.5321428571428571,-0.06617647058823528,False,False,False,False,False
P24,arousal,face,0.5664335664335665,0.5664335664335665,0.0,False,False,False,False,False
P25,arousal,face,0.5562437562437562,0.5528371628371629,-0.003406593406593328,False,False,False,False,False
P26,arousal,face,0.5,0.5533333333333333,0.053333333333333344,True,False,False,False,False
P27,arousal,face,0.4944444444444444,0.5754970760233917,0.08105263157894732,True,False,False,False,False
P28,arousal,face,0.59593837535014,0.630812324929972,0.03487394957983192,True,False,True,False,False
P29,arousal,face,0.5125,0.50625,-0.006249999999999978,False,False,False,False,False
P30,arousal,face,0.5852777777777778,0.5852777777777778,0.0,False,False,False,False,False
P31,arousal,face,0.5466200466200466,0.550058275058275,0.0034382284382283856,True,False,False,False,False
P32,arousal,face,0.5333333333333333,0.5330952380952381,-0.00023809523809525945,False,False,False,False,False
P33,arousal,face,0.5686741363211951,0.488702147525677,-0.07997198879551815,False,False,False,False,False
P34,arousal,face,0.5183940242763772,0.5267507002801121,0.008356676003734909,True,False,False,False,False
P35,arousal,face,0.476313025210084,0.4664915966386554,-0.009821428571428592,False,False,False,False,False
P36,arousal,face,0.5228291316526611,0.5932773109243697,0.07044817927170866,True,False,False,False,False
P37,arousal,face,0.6235714285714286,0.6288095238095238,0.005238095238095264,True,True,True,False,False
P38,arousal,face,0.5852380952380952,0.6071428571428571,0.02190476190476187,True,False,True,False,False
P39,arousal,face,0.4954545454545455,0.4761904761904761,-0.019264069264069372,False,False,False,False,False
P40,arousal,face,0.6541269841269841,0.6382539682539683,-0.015873015873015817,False,True,True,True,False
P41,arousal,face,0.5321278721278722,0.5466333666333666,0.014505494505494432,True,False,False,False,False
P42,arousal,face,0.5942857142857143,0.5814285714285715,-0.01285714285714279,False,False,False,False,False
P43,arousal,face,0.5242857142857142,0.5584126984126984,0.03412698412698412,True,False,False,False,False
P44,arousal,face,0.6382417582417583,0.6324975024975025,-0.005744255744255855,False,True,True,False,False
P45,arousal,face,0.574985014985015,0.5812787212787213,0.0062937062937062915,True,False,False,False,False
P46,arousal,face,0.5217086834733894,0.46531279178338,-0.056395891690009414,False,False,False,False,False
P01,arousal,multimodal,0.6357753357753357,0.6086080586080586,-0.027167277167277182,False,True,True,False,False
P02,arousal,multimodal,0.5197802197802198,0.5004120879120879,-0.01936813186813191,False,False,False,False,False
P03,arousal,multimodal,0.555,0.5466666666666666,-0.008333333333333415,False,False,False,False,False
P04,arousal,multimodal,0.5771520146520146,0.5487637362637363,-0.028388278388278287,False,False,False,False,False
P05,arousal,multimodal,0.5674603174603174,0.6238095238095238,0.05634920634920637,True,False,True,False,False
P06,arousal,multimodal,0.6779420579420579,0.6821378621378621,0.004195804195804231,True,True,True,True,True
P07,arousal,multimodal,0.5083333333333333,0.5900000000000001,0.08166666666666678,True,False,False,False,False
P08,arousal,multimodal,0.5513636363636364,0.5206060606060606,-0.03075757575757576,False,False,False,False,False
P09,arousal,multimodal,0.6598214285714286,0.6178571428571429,-0.041964285714285676,False,True,True,True,False
P10,arousal,multimodal,0.546969696969697,0.5365384615384615,-0.010431235431235475,False,False,False,False,False
P11,arousal,multimodal,0.5405794205794205,0.5405794205794205,0.0,False,False,False,False,False
P12,arousal,multimodal,0.5,0.5,0.0,False,False,False,False,False
P13,arousal,multimodal,0.6581818181818182,0.6581818181818182,0.0,False,True,True,True,True
P14,arousal,multimodal,0.5807692307692307,0.583076923076923,0.002307692307692344,True,False,False,False,False
P15,arousal,multimodal,0.6210130718954249,0.6190196078431371,-0.00199346405228773,False,True,True,False,False
P16,arousal,multimodal,0.6302777777777777,0.6183333333333334,-0.011944444444444313,False,True,True,False,False
P17,arousal,multimodal,0.565452847805789,0.5929038281979458,0.027450980392156876,True,False,False,False,False
P18,arousal,multimodal,0.5756993006993006,0.5794871794871795,0.0037878787878788955,True,False,False,False,False
P19,arousal,multimodal,0.6573426573426573,0.7041958041958042,0.0468531468531469,True,True,True,True,True
P20,arousal,multimodal,0.585,0.5053846153846153,-0.07961538461538464,False,False,False,False,False
P21,arousal,multimodal,0.5852564102564102,0.5673076923076923,-0.017948717948717885,False,False,False,False,False
P22,arousal,multimodal,0.613968253968254,0.597936507936508,-0.016031746031746064,False,True,False,False,False
P23,arousal,multimodal,0.5004726890756303,0.4485819327731092,-0.051890756302521046,False,False,False,False,False
P24,arousal,multimodal,0.5935198135198135,0.6065034965034964,0.01298368298368291,True,False,True,False,False
P25,arousal,multimodal,0.5577622377622378,0.5577622377622378,0.0,False,False,False,False,False
P26,arousal,multimodal,0.5819047619047619,0.608095238095238,0.026190476190476097,True,False,True,False,False
P27,arousal,multimodal,0.5571428571428572,0.5556043956043956,-0.0015384615384615996,False,False,False,False,False
P28,arousal,multimodal,0.5280952380952381,0.5101785714285715,-0.01791666666666658,False,False,False,False,False
P29,arousal,multimodal,0.5665476190476191,0.5267857142857142,-0.03976190476190489,False,False,False,False,False
P30,arousal,multimodal,0.4951388888888889,0.507638888888889,0.012500000000000067,True,False,False,False,False
P31,arousal,multimodal,0.5136363636363637,0.4796037296037296,-0.03403263403263407,False,False,False,False,False
P32,arousal,multimodal,0.5378571428571428,0.5976190476190476,0.059761904761904794,True,False,False,False,False
P33,arousal,multimodal,0.5380952380952381,0.5380952380952381,0.0,False,False,False,False,False
P34,arousal,multimodal,0.5553396358543418,0.579796918767507,0.02445728291316529,True,False,False,False,False
P35,arousal,multimodal,0.5864285714285714,0.5883333333333334,0.0019047619047619646,True,False,False,False,False
P36,arousal,multimodal,0.635,0.66625,0.03125,True,True,True,False,True
P37,arousal,multimodal,0.5527777777777778,0.5372549019607844,-0.015522875816993409,False,False,False,False,False
P38,arousal,multimodal,0.6033333333333333,0.5517460317460318,-0.051587301587301515,False,True,False,False,False
P39,arousal,multimodal,0.5711904761904762,0.5952380952380952,0.024047619047618984,True,False,False,False,False
P40,arousal,multimodal,0.6019047619047619,0.5492063492063493,-0.05269841269841269,False,True,False,False,False
P41,arousal,multimodal,0.5874236874236874,0.5764346764346765,-0.01098901098901095,False,False,False,False,False
P42,arousal,multimodal,0.5742857142857143,0.5714285714285714,-0.0028571428571428914,False,False,False,False,False
P43,arousal,multimodal,0.5782539682539682,0.5636507936507936,-0.014603174603174618,False,False,False,False,False
P44,arousal,multimodal,0.6292707292707294,0.661058941058941,0.03178821178821167,True,True,True,False,True
P45,arousal,multimodal,0.5356943056943057,0.5596503496503497,0.023956043956044004,True,False,False,False,False
P46,arousal,multimodal,0.6009803921568627,0.6009803921568627,0.0,False,True,True,False,False
P01,valence,eeg,0.5461538461538462,0.5632051282051282,0.017051282051282035,True,False,False,False,False
P02,valence,eeg,0.6618181818181819,0.6842424242424243,0.022424242424242458,True,True,True,True,True
P03,valence,eeg,0.6564285714285715,0.5961904761904762,-0.06023809523809531,False,True,False,True,False
P04,valence,eeg,0.5960164835164836,0.6718864468864469,0.07586996336996332,True,False,True,False,True
P05,valence,eeg,0.5494755244755245,0.6117132867132867,0.06223776223776223,True,False,True,False,False
