participant,target,old_best_ba,new_best_ba,delta_ba,improved,old_ge_060,old_ge_065,new_ge_060,new_ge_065
P30,arousal,0.5022222222222222,0.5,-0.0022222222222222365,False,False,False,False,False
P31,arousal,0.5371794871794872,0.5,-0.03717948717948716,False,False,False,False,False
P32,arousal,0.5378571428571428,0.6264285714285714,0.08857142857142863,True,False,False,True,False
P33,arousal,0.5098039215686274,0.515546218487395,0.005742296918767598,True,False,False,False,False
P34,arousal,0.5661239495798319,0.6445903361344538,0.0784663865546219,True,False,False,True,False
P35,arousal,0.5796428571428571,0.5876785714285714,0.008035714285714257,True,False,False,False,False
P36,arousal,0.6525000000000001,0.70375,0.05124999999999991,True,True,True,True,True
P37,arousal,0.5527777777777778,0.5598039215686275,0.007026143790849648,True,False,False,False,False
P38,arousal,0.5606349206349206,0.5726984126984127,0.01206349206349211,True,False,False,False,False
P39,arousal,0.5654761904761905,0.6564285714285714,0.0909523809523809,True,False,False,True,True
P40,arousal,0.5407936507936508,0.5503174603174603,0.00952380952380949,True,False,False,False,False
P41,arousal,0.5874236874236874,0.5877411477411478,0.00031746031746038295,True,False,False,False,False
P42,arousal,0.5742857142857143,0.5642857142857143,-0.010000000000000009,False,False,False,False,False
P43,arousal,0.5473015873015873,0.5688888888888888,0.02158730158730149,True,False,False,False,False
P44,arousal,0.5591108891108891,0.6272627372627373,0.06815184815184816,True,False,False,True,False
P45,arousal,0.5203396603396604,0.5583616383616384,0.03802197802197804,True,False,False,False,False
P46,arousal,0.6009803921568627,0.5866946778711485,-0.014285714285714235,False,True,False,False,False
P01,valence,0.5461538461538462,0.5632051282051282,0.017051282051282035,True,False,False,False,False
P02,valence,0.6618181818181819,0.6842424242424243,0.022424242424242458,True,True,True,True,True
P03,valence,0.6564285714285715,0.5961904761904762,-0.06023809523809531,False,True,True,False,False
P04,valence,0.5960164835164836,0.6718864468864469,0.07586996336996332,True,False,False,True,True
P05,valence,0.5494755244755245,0.6117132867132867,0.06223776223776223,True,False,False,True,False
P06,valence,0.6041269841269841,0.6123809523809524,0.008253968253968291,True,True,False,True,False
P07,valence,0.5180701754385965,0.5411111111111111,0.02304093567251464,True,False,False,False,False
P08,valence,0.5521212121212121,0.6448484848484848,0.09272727272727266,True,False,False,True,False
P09,valence,0.5425396825396825,0.5658730158730159,0.023333333333333317,True,False,False,False,False
P10,valence,0.55,0.5242857142857142,-0.0257142857142858,False,False,False,False,False
P11,valence,0.5354895104895105,0.525874125874126,-0.009615384615384581,False,False,False,False,False
P12,valence,0.535189075630252,0.605672268907563,0.07048319327731101,True,False,False,True,False
P13,valence,0.58003663003663,0.547985347985348,-0.03205128205128194,False,False,False,False,False
P14,valence,0.6037878787878788,0.5869696969696969,-0.016818181818181843,False,True,False,False,False
P15,valence,0.5958333333333333,0.6254761904761905,0.029642857142857193,True,False,False,True,False
P16,valence,0.5600582750582751,0.6021328671328672,0.042074592074592077,True,False,False,True,False
P17,valence,0.6412887112887112,0.648951048951049,0.007662337662337815,True,True,False,True,False
P18,valence,0.6342657342657343,0.6289627039627039,-0.005303030303030365,False,True,False,True,False
P19,valence,0.6015277777777778,0.6229166666666667,0.0213888888888889,True,True,False,True,False
P20,valence,0.5900000000000001,0.5811111111111111,-0.008888888888888946,False,False,False,False,False
P21,valence,0.5636764705882353,0.5868382352941176,0.02316176470588227,True,False,False,False,False
P22,valence,0.5806837606837607,0.6198046398046398,0.03912087912087914,True,False,False,True,False
P23,valence,0.5482783882783883,0.622942612942613,0.07466422466422473,True,False,False,True,False
P24,valence,0.5470862470862471,0.5273892773892774,-0.019696969696969657,False,False,False,False,False
P25,valence,0.5960739260739261,0.5546653346653346,-0.04140859140859143,False,False,False,False,False
P26,valence,0.5757042957042957,0.5666233766233766,-0.009080919080919125,False,False,False,False,False
