mode,participant,held_out_participant,target,modality,regressor,feature_count_request,feature_count_resolved,fold,training_participants,sample_size,train_size,test_size,rmse,mae,r2,explained_variance
individual,P23,P23,arousal,multimodal,ridge,all,all,2,P23,117,93,24,1.7442362394311397,1.4050753474327902,-0.1808621253047531,-0.18021890543882746
individual,P23,P23,arousal,multimodal,ridge,all,all,3,P23,117,94,23,1.9591981968536696,1.586554388459054,-0.3447311635360404,-0.3285258248109608
individual,P23,P23,arousal,multimodal,ridge,all,all,4,P23,117,94,23,1.7730922981682142,1.4912097696601923,-0.1313605316657136,-0.08763482476920981
individual,P23,P23,arousal,multimodal,ridge,all,all,5,P23,117,94,23,1.6100051535508304,1.3656743194061465,-0.10940912497529354,-0.10926670066479205
individual,P24,P24,arousal,multimodal,ridge,all,all,1,P24,117,93,24,1.9567996247969022,1.64590711671405,-0.13512162040383502,-0.08657687414147164
individual,P24,P24,arousal,multimodal,ridge,all,all,2,P24,117,93,24,2.0805998506743957,1.8925146830719826,-0.08269385386398587,-0.024080948726058704
individual,P24,P24,arousal,multimodal,ridge,all,all,3,P24,117,94,23,2.4260830855993207,2.2155856163064116,-0.1993952481218273,-0.06001555238158107
individual,P24,P24,arousal,multimodal,ridge,all,all,4,P24,117,94,23,2.259878902298813,2.0789110588205033,-0.09024651068048706,-0.03060295900753851
individual,P24,P24,arousal,multimodal,ridge,all,all,5,P24,117,94,23,1.991151850713128,1.7789476646015019,0.08493947147272751,0.14859291834575317
individual,P25,P25,arousal,multimodal,ridge,all,all,1,P25,120,96,24,1.7336005041902895,1.5107777658390429,-0.12995661088916677,-0.12094959189944299
individual,P25,P25,arousal,multimodal,ridge,all,all,2,P25,120,96,24,1.7327862695864238,1.506239480459712,-0.14458490767354548,-0.09550945013887557
individual,P25,P25,arousal,multimodal,ridge,all,all,3,P25,120,96,24,1.8347422585140345,1.6740020667371087,-0.3929430986940057,-0.39290143096094177
individual,P25,P25,arousal,multimodal,ridge,all,all,4,P25,120,96,24,1.6206936369430673,1.3476090115623045,-0.27782869099728225,-0.22838836892258763
individual,P25,P25,arousal,multimodal,ridge,all,all,5,P25,120,96,24,1.8122589135664788,1.5506226298906522,-0.23240823778857655,-0.22797102640207956
individual,P26,P26,arousal,multimodal,ridge,all,all,1,P26,117,93,24,2.2974079540328045,1.889080114013512,-0.17336008683050586,-0.16081647488747008
individual,P26,P26,arousal,multimodal,ridge,all,all,2,P26,117,93,24,2.8973698274088853,2.6099027805985213,-0.538459148604814,-0.5179850617305366
individual,P26,P26,arousal,multimodal,ridge,all,all,3,P26,117,94,23,2.141434356444143,1.867923234178259,-0.331425380606746,-0.3313710242772374
individual,P26,P26,arousal,multimodal,ridge,all,all,4,P26,117,94,23,2.5699858574639403,2.3919474726475065,-0.5405439354945807,-0.4548385482417403
individual,P26,P26,arousal,multimodal,ridge,all,all,5,P26,117,94,23,2.193209403785006,1.9315447356823552,-0.5021125157037591,-0.4923918429511951
individual,P27,P27,arousal,multimodal,ridge,all,all,1,P27,116,92,24,1.5492602464072283,1.3541404878753316,-0.4645332745681403,-0.4636279685917375
individual,P27,P27,arousal,multimodal,ridge,all,all,2,P27,116,93,23,4.638518220047608,1.8261654474629905,-21.763770651821012,-21.169179629522827
individual,P27,P27,arousal,multimodal,ridge,all,all,3,P27,116,93,23,1.3896036496102522,1.1042744344950326,-0.09368105170488206,0.006693989411126089
individual,P27,P27,arousal,multimodal,ridge,all,all,4,P27,116,93,23,1.3990149563264649,1.0957343886131863,-0.15814481723187868,-0.10162019725239024
individual,P27,P27,arousal,multimodal,ridge,all,all,5,P27,116,93,23,1.1828355734864708,0.980158930435144,0.06550013033360991,0.06554673579074777
individual,P28,P28,arousal,multimodal,ridge,all,all,1,P28,110,88,22,1.2951247370715948,1.01679481811186,-0.025046051684580295,-0.016666280648120813
individual,P28,P28,arousal,multimodal,ridge,all,all,2,P28,110,88,22,1.6611846900041358,1.3750791377067486,-0.1593877898986129,-0.1567242274392766
individual,P28,P28,arousal,multimodal,ridge,all,all,3,P28,110,88,22,1.792400435358263,1.5015582776007164,-0.3772776538578262,-0.345601848552618
individual,P28,P28,arousal,multimodal,ridge,all,all,4,P28,110,88,22,1.608129593415196,1.3339768763668984,-0.17637509584716016,-0.1486730070472433
individual,P28,P28,arousal,multimodal,ridge,all,all,5,P28,110,88,22,1.5705099924000627,1.185140619038387,0.052550165131295734,0.052664940975783225
individual,P29,P29,arousal,multimodal,ridge,all,all,1,P29,110,88,22,1.7197648381279427,1.4926366670012319,-0.5542606858363033,-0.28665172156755836
individual,P29,P29,arousal,multimodal,ridge,all,all,2,P29,110,88,22,1.416176872881243,1.208559915577614,-0.01536564505994642,0.13190192788484645
individual,P29,P29,arousal,multimodal,ridge,all,all,3,P29,110,88,22,1.8069422186177313,1.387449867045026,-0.8526136551099814,-0.49995019040253186
individual,P29,P29,arousal,multimodal,ridge,all,all,4,P29,110,88,22,2.1574575967851284,1.69221752740782,-1.0859608041223305,-0.9984214014948245
individual,P29,P29,arousal,multimodal,ridge,all,all,5,P29,110,88,22,1.5701279190413941,1.3491613266141351,-0.4054252228058626,-0.38852171667622715
individual,P30,P30,arousal,multimodal,ridge,all,all,1,P30,116,92,24,1.1379241166046914,0.9514821438003972,0.07577959602636086,0.07586654983351004
individual,P30,P30,arousal,multimodal,ridge,all,all,2,P30,116,93,23,1.6357388550123086,1.3689072518999434,-0.16208079421231614,-0.15158324869440132
individual,P30,P30,arousal,multimodal,ridge,all,all,3,P30,116,93,23,1.4668070270862084,1.139882432148356,-0.2534753195388937,-0.2331473966906461
individual,P30,P30,arousal,multimodal,ridge,all,all,4,P30,116,93,23,1.6501584911028262,1.4332811357805055,-0.13961961329618822,-0.1221054615931616
individual,P30,P30,arousal,multimodal,ridge,all,all,5,P30,116,93,23,1.3778859353268296,1.0666315761321292,-0.07993908092270896,-0.06649097595485709
individual,P31,P31,arousal,multimodal,ridge,all,all,1,P31,116,92,24,1.8743684310175532,1.6027477116673516,-0.08331693830430287,-0.08273049606181249
individual,P31,P31,arousal,multimodal,ridge,all,all,2,P31,116,93,23,1.692046266518281,1.443860381601813,-0.5454468168289202,-0.5372955280339791
individual,P31,P31,arousal,multimodal,ridge,all,all,3,P31,116,93,23,1.9677361038584016,1.5849921677356154,-0.7154776072632567,-0.7147611382212065
individual,P31,P31,arousal,multimodal,ridge,all,all,4,P31,116,93,23,1.8622987731634828,1.5839476096769807,-0.3198956152218466,-0.21487755416511622
individual,P31,P31,arousal,multimodal,ridge,all,all,5,P31,116,93,23,2.242005581834583,1.8921626375813612,-0.412893515583985,-0.40835966056148454
individual,P32,P32,arousal,multimodal,ridge,all,all,1,P32,120,96,24,0.9204853877017056,0.7341409914200066,-0.12972446529647907,-0.1014309862826468
individual,P32,P32,arousal,multimodal,ridge,all,all,2,P32,120,96,24,0.915617950834879,0.7261214475639703,-0.26081772733486197,-0.20042709536199976
individual,P32,P32,arousal,multimodal,ridge,all,all,3,P32,120,96,24,0.849977013683861,0.7011903951384504,0.20584448071836214,0.21216760235545784
individual,P32,P32,arousal,multimodal,ridge,all,all,4,P32,120,96,24,1.350721873996257,0.9968386830497075,-0.2646004315207813,-0.1888027813759059
individual,P32,P32,arousal,multimodal,ridge,all,all,5,P32,120,96,24,1.071750666562329,0.8003343770364743,-0.9928376716127556,-0.956904180046467
individual,P33,P33,arousal,multimodal,ridge,all,all,1,P33,117,93,24,3.597934888143167,1.714041483221912,-10.72389626504252,-9.857234767299238
individual,P33,P33,arousal,multimodal,ridge,all,all,2,P33,117,93,24,1.4785691007145232,1.1959470373384018,0.07136286629900723,0.10788700011739916
individual,P33,P33,arousal,multimodal,ridge,all,all,3,P33,117,94,23,1.8716052113247046,1.4538811581559405,-0.26400907876778446,-0.2486581451487866
individual,P33,P33,arousal,multimodal,ridge,all,all,4,P33,117,94,23,1.9981749690491801,1.6492898475556763,-0.3950726528853714,-0.35525483731534435
individual,P33,P33,arousal,multimodal,ridge,all,all,5,P33,117,94,23,1.550063506160107,1.3539963733583025,0.0776294296912674,0.13938999451215028
individual,P34,P34,arousal,multimodal,ridge,all,all,1,P34,118,94,24,1.7063012935720427,1.3710399291918425,-0.11800221610712058,-0.10257811930728544
individual,P34,P34,arousal,multimodal,ridge,all,all,2,P34,118,94,24,2.125840237479092,1.5995646702313262,-0.4469468082291572,-0.31232588905792413
individual,P34,P34,arousal,multimodal,ridge,all,all,3,P34,118,94,24,1.846365607401291,1.4028471265126317,-0.13701331254657734,0.09286715072376417
individual,P34,P34,arousal,multimodal,ridge,all,all,4,P34,118,95,23,1.6594084661572714,1.4154739685872577,-0.24502024448401083,-0.035094235920437145
individual,P34,P34,arousal,multimodal,ridge,all,all,5,P34,118,95,23,1.667600584552119,1.3829183164487058,-0.7185650868897695,0.10972025220091464
individual,P35,P35,arousal,multimodal,ridge,all,all,1,P35,114,91,23,1.8609067950830276,1.5688563876356312,-0.35296403167850254,-0.29239115158975126
individual,P35,P35,arousal,multimodal,ridge,all,all,2,P35,114,91,23,1.5831854569513055,1.3144619204111192,0.020734191216382314,0.0207438303217774
individual,P35,P35,arousal,multimodal,ridge,all,all,3,P35,114,91,23,1.5579250867296783,1.2032749603594532,-0.025520826382449124,0.019907540342184116
individual,P35,P35,arousal,multimodal,ridge,all,all,4,P35,114,91,23,1.780686916516833,1.5417182211681604,-0.23155468301915283,-0.10578760049520342
individual,P35,P35,arousal,multimodal,ridge,all,all,5,P35,114,92,22,1.9732370242099362,1.5977647184660397,-0.5903236685207056,-0.21630260227934417
individual,P36,P36,arousal,multimodal,ridge,all,all,1,P36,102,81,21,1.3417019671659194,0.9723933632526445,-0.015182095134695484,0.12251413159294955
individual,P36,P36,arousal,multimodal,ridge,all,all,2,P36,102,81,21,1.4353667466188382,1.0485703348364008,-0.05649123780107468,0.010902962440763275
individual,P36,P36,arousal,multimodal,ridge,all,all,3,P36,102,82,20,1.3371315286354344,1.0925750872266338,0.29261296741011544,0.3196087303637837
individual,P36,P36,arousal,multimodal,ridge,all,all,4,P36,102,82,20,1.5723864444375224,1.1525571342328083,0.2175952118193436,0.22024455589442415
individual,P36,P36,arousal,multimodal,ridge,all,all,5,P36,102,82,20,1.6045765052405652,1.2855307212302864,-0.43836076043018135,-0.3131771404898518
individual,P37,P37,arousal,multimodal,ridge,all,all,1,P37,108,86,22,1.5326453014336374,1.186200354482636,-0.4427877970598946,-0.3748498600543313
individual,P37,P37,arousal,multimodal,ridge,all,all,2,P37,108,86,22,1.0136930602109362,0.7524553462972837,-0.18415626722568956,-0.17034487560146383
individual,P37,P37,arousal,multimodal,ridge,all,all,3,P37,108,86,22,1.0777051340667712,0.8810979636832557,-0.4639088653672825,-0.3838341310484876
individual,P37,P37,arousal,multimodal,ridge,all,all,4,P37,108,87,21,1.2422671826588794,0.9479946851430757,0.07782731826280187,0.10108955402081088
individual,P37,P37,arousal,multimodal,ridge,all,all,5,P37,108,87,21,1.3591577622959654,1.0051397482115954,-0.005757570196216033,0.0545468967167031
individual,P38,P38,arousal,multimodal,ridge,all,all,1,P38,117,93,24,1.2944380522284837,1.1365275880700834,-0.07715205996525976,-0.054901995182897734
individual,P38,P38,arousal,multimodal,ridge,all,all,2,P38,117,93,24,1.5984375510107665,1.4060218923628032,0.07962382727878237,0.0831577335644722
individual,P38,P38,arousal,multimodal,ridge,all,all,3,P38,117,94,23,1.7956782232580155,1.6160639098408032,-0.12515797421143815,-0.11976900947885993
individual,P38,P38,arousal,multimodal,ridge,all,all,4,P38,117,94,23,1.361745801695343,1.170187529108624,0.22270046636920893,0.23629092271228336
individual,P38,P38,arousal,multimodal,ridge,all,all,5,P38,117,94,23,1.4991092483337871,1.3195864127693995,-0.2950291904517459,-0.10236442734719953
individual,P39,P39,arousal,multimodal,ridge,all,all,1,P39,117,93,24,1.3856830540144525,1.0906923065853964,-0.1251146440298112,-0.12430669548834028
individual,P39,P39,arousal,multimodal,ridge,all,all,2,P39,117,93,24,1.3652193773494095,1.137604463469876,-0.31564043408727693,0.02008920334792741
individual,P39,P39,arousal,multimodal,ridge,all,all,3,P39,117,94,23,1.1528081959352066,0.995474679842662,-0.7488144369889025,-0.3348506897814896
individual,P39,P39,arousal,multimodal,ridge,all,all,4,P39,117,94,23,1.6369206389266215,1.270249676665806,-0.29804061834994844,-0.23850235189355873
individual,P39,P39,arousal,multimodal,ridge,all,all,5,P39,117,94,23,1.1827723267873949,0.9763446442351831,-0.20922344679810823,-0.15517714588663112
individual,P40,P40,arousal,multimodal,ridge,all,all,1,P40,120,96,24,2.2304978496162238,1.7808344657260484,-0.3884057647839809,-0.2887354091679346
individual,P40,P40,arousal,multimodal,ridge,all,all,2,P40,120,96,24,2.0744456601662207,1.792651392476176,-0.34202224313042806,-0.19619573544822932
individual,P40,P40,arousal,multimodal,ridge,all,all,3,P40,120,96,24,2.0015261189837017,1.7885596179823011,0.032081577321727894,0.032908686379921614
individual,P40,P40,arousal,multimodal,ridge,all,all,4,P40,120,96,24,2.051694827328461,1.8759859458135348,-0.031324610269734654,-0.025725202446207573
individual,P40,P40,arousal,multimodal,ridge,all,all,5,P40,120,96,24,2.122956003238491,1.8834023476976391,-0.2159244507781437,0.1412470267078081
individual,P41,P41,arousal,multimodal,ridge,all,all,1,P41,117,93,24,2.3239651858467543,1.8801107618820305,-0.22330671277073444,-0.05620218120120368
individual,P41,P41,arousal,multimodal,ridge,all,all,2,P41,117,93,24,2.3474544101006023,2.00378107423081,-0.0933766143714918,-0.08423811764592815
individual,P41,P41,arousal,multimodal,ridge,all,all,3,P41,117,94,23,2.1226306733844735,1.8979527762678643,-0.030009401939714353,-0.012870812067588444
individual,P41,P41,arousal,multimodal,ridge,all,all,4,P41,117,94,23,2.096903237056336,1.7737545442417153,-0.03747309775665153,0.06361183041299856
individual,P41,P41,arousal,multimodal,ridge,all,all,5,P41,117,94,23,2.3977512755595516,2.071149424702942,-0.7182670700156526,-0.42394196493663516
individual,P42,P42,arousal,multimodal,ridge,all,all,1,P42,120,96,24,1.7062051624678993,1.3470990498221298,-0.4405621722550652,-0.42135620823356645
individual,P42,P42,arousal,multimodal,ridge,all,all,2,P42,120,96,24,1.7631711370079366,1.516237668863197,-0.24437313135903227,-0.23923754289373655
individual,P42,P42,arousal,multimodal,ridge,all,all,3,P42,120,96,24,1.8971683954694096,1.620869759886318,-0.47661453159711753,-0.42293935809568906
