participant,target,n_configurations,median_ba,mean_ba,upper_quartile_ba,maximum_ba,fraction_ba_ge_55,fraction_ba_ge_60,pooled_fold_ba_sd,pooled_fold_ba_min,pooled_fold_ba_max,eeg_usable_trials,face_usable_trials,valence_multimodal_usable_trials,arousal_multimodal_usable_trials,eeg_retention_percent,face_detection_percent,motion_correction_percent,missing_valence,missing_arousal,qc_group,reason,optimized_n_configurations,optimized_median_ba,optimized_maximum_ba,optimized_fraction_ba_ge_60
P37,arousal,36,0.513888888888889,0.5247934173669467,0.5542857142857143,0.6235714285714286,0.3055555555555556,0.08333333333333333,0.08715912049799636,0.3055555555555556,0.775,108,120,108,108,90.0,100.0,26.666666666666668,0,0,Review due to elevated EEG rejection,Retention below cohort first quartile (96.7%).,,,,
P15,arousal,36,0.5047953216374269,0.5130814509039483,0.543169934640523,0.6210130718954249,0.25,0.05555555555555555,0.09201228292667822,0.3157894736842105,0.7916666666666667,116,120,116,116,96.66666666666669,100.0,18.33333333333333,0,0,Clean with minor EEG loss,Retention at or above cohort first quartile.,,,,
P17,arousal,36,0.5267040149393091,0.5287335304492167,0.5450513538748833,0.619000933706816,0.2222222222222222,0.027777777777777776,0.07019993907603872,0.3333333333333333,0.7156862745098038,118,120,118,118,98.33333333333331,99.81944444444444,18.33333333333333,0,0,Clean with minor EEG loss,Retention at or above cohort first quartile.,105.0,0.546171802054155,0.6320728291316527,0.0761904761904762
P21,arousal,36,0.5668206793206794,0.5545008695008695,0.5877622377622378,0.6172127872127872,0.6388888888888888,0.2222222222222222,0.08573129415440837,0.3632478632478633,0.8125,111,120,111,111,92.5,98.70851270656853,28.33333333333333,0,0,Review due to elevated EEG rejection,Retention below cohort first quartile (96.7%).,,,,
P04,arousal,36,0.5130494505494505,0.5223015025098358,0.5555555555555556,0.6112637362637362,0.3055555555555556,0.027777777777777776,0.09036077431449734,0.2252747252747252,0.7916666666666667,101,120,101,101,84.16666666666667,100.0,,0,0,Review due to elevated EEG rejection,"Retained 101/120 trials (84.167%), below the established 116/120 (96.667%) boundary.",,,,
P38,arousal,36,0.5064285714285715,0.5194532627865961,0.5484126984126985,0.6033333333333333,0.25,0.027777777777777776,0.09062473663721463,0.2714285714285714,0.7444444444444445,117,120,117,117,97.5,100.0,21.666666666666668,0,0,Clean with minor EEG loss,Retention at or above cohort first quartile.,,,,
P18,arousal,36,0.533974358974359,0.5272079772079772,0.5476689976689977,0.6015151515151516,0.2222222222222222,0.027777777777777776,0.08082010081440988,0.3333333333333333,0.731060606060606,116,120,116,116,96.66666666666669,99.09722222222224,34.166666666666664,0,0,Clean with minor EEG loss,Retention at or above cohort first quartile.,,,,
P46,arousal,36,0.4904995331465919,0.4945144724556489,0.5217086834733894,0.6009803921568627,0.1111111111111111,0.05555555555555555,0.07069609135546333,0.2777777777777778,0.6911764705882353,117,120,117,117,97.5,100.0,20.83333333333333,0,0,Clean with minor EEG loss,Retention at or above cohort first quartile.,,,,
P05,arousal,36,0.5112698412698412,0.5194400352733686,0.5414682539682539,0.6007936507936508,0.25,0.027777777777777776,0.08528970317223299,0.3253968253968253,0.7103174603174603,117,120,117,115,97.5,100.0,,0,2,Review due to missing ratings,Observed ratings remain missing; strict cohort preserves missingness rather than imputing it.,,,,
P23,arousal,36,0.4755252100840336,0.47528740662931834,0.5272715336134454,0.5983193277310924,0.16666666666666666,0.0,0.11612775923831908,0.1596638655462184,0.78125,117,120,117,117,97.5,100.0,25.83333333333333,0,0,Clean with minor EEG loss,Retention at or above cohort first quartile.,,,,
P24,arousal,36,0.5181818181818182,0.5226227013727014,0.5656264568764569,0.5969463869463869,0.3333333333333333,0.0,0.08739489251026002,0.3216783216783216,0.7867132867132867,117,120,117,117,97.5,100.0,29.166666666666668,0,0,Clean with minor EEG loss,Retention at or above cohort first quartile.,,,,
P28,arousal,36,0.47098914565826333,0.4788784819483349,0.4999824929971989,0.59593837535014,0.027777777777777776,0.0,0.08824867614005108,0.2714285714285714,0.7708333333333333,110,117,110,110,94.01709401709402,100.0,,0,0,Special/incomplete case,Current validation manifest records an incomplete session.,,,,
P25,arousal,36,0.5127272727272727,0.5116025641025641,0.5516608391608392,0.5947852147852147,0.2777777777777778,0.0,0.08622389728704884,0.2285714285714286,0.8006993006993006,120,120,120,120,100.0,100.0,21.666666666666668,0,0,Very clean,No AutoReject epoch losses.,,,,
P42,arousal,36,0.5235714285714286,0.5216666666666667,0.5442857142857143,0.5942857142857143,0.2222222222222222,0.0,0.08627741327807903,0.2785714285714286,0.7571428571428571,120,120,120,120,100.0,100.0,21.666666666666668,0,0,Very clean,No AutoReject epoch losses.,,,,
