experiment,target,classifier,parameter,selected_value,n_selected_outer_folds,n_configurations_with_selection,n_configurations,median_ba,mean_ba,upper_quartile_ba,maximum_ba,fraction_ba_ge_55,fraction_ba_ge_60,fraction_ba_ge_65
feature_family_top5,arousal,knn,classifier__weights,uniform,1638,423,1638,0.5065079365079365,0.512605392953109,0.54,0.6950000000000001,0.18315018315018314,0.040903540903540904,0.006105006105006105
feature_family_top5,arousal,logreg,classifier__C,0.01,595,325,595,0.51,0.5193947054071869,0.55,0.6775,0.253781512605042,0.0907563025210084,0.020168067226890758
feature_family_top5,arousal,logreg,classifier__C,0.1,459,288,459,0.5111111111111111,0.5205547980043367,0.5524375624375624,0.6775,0.27233115468409586,0.08496732026143791,0.023965141612200435
feature_family_top5,arousal,logreg,classifier__C,1,426,279,426,0.5198412698412699,0.5231660631246381,0.5517199467199467,0.6775,0.2605633802816901,0.07981220657276995,0.011737089201877934
feature_family_top5,arousal,logreg,classifier__C,10,386,261,386,0.5114285714285713,0.5206012647821547,0.5482936507936509,0.67125,0.24870466321243523,0.09326424870466321,0.025906735751295335
feature_family_top5,arousal,logreg,classifier__C,100,259,183,259,0.5054645354645355,0.5152762199505897,0.5475,0.6775,0.23938223938223938,0.06563706563706563,0.007722007722007722
feature_family_top5,arousal,logreg,classifier__class_weight,None,1039,389,1039,0.50625,0.5109583172949391,0.5403596403596405,0.645,0.18190567853705486,0.04042348411934552,0.0
feature_family_top5,arousal,logreg,classifier__class_weight,balanced,1086,410,1086,0.5225,0.5288823042320767,0.5645554445554446,0.6775,0.3278084714548803,0.1270718232044199,0.03683241252302026
feature_family_top5,arousal,svm,classifier__C,0.01,285,200,285,0.4990196078431372,0.5051501810882615,0.5203996003996003,0.7025,0.15087719298245614,0.03859649122807018,0.007017543859649123
feature_family_top5,arousal,svm,classifier__C,0.1,121,97,121,0.51375,0.5250637474258039,0.5525396825396826,0.7025,0.2809917355371901,0.12396694214876033,0.049586776859504134
feature_family_top5,arousal,svm,classifier__C,1,560,318,560,0.52,0.5279531284979028,0.5573412698412699,0.705,0.2910714285714286,0.11607142857142858,0.026785714285714284
feature_family_top5,arousal,svm,classifier__C,10,567,334,567,0.515,0.5211317779003743,0.5496031746031746,0.7025,0.25044091710758376,0.07231040564373897,0.019400352733686066
feature_family_top5,arousal,svm,classifier__C,100,592,346,592,0.5085434173669467,0.5135542823548338,0.5422510822510822,0.705,0.21621621621621623,0.06418918918918919,0.010135135135135136
feature_family_top5,arousal,svm,classifier__class_weight,None,905,379,905,0.5011111111111111,0.5062149127278311,0.5322222222222222,0.6837500000000001,0.1591160220994475,0.03425414364640884,0.004419889502762431
feature_family_top5,arousal,svm,classifier__class_weight,balanced,1220,415,1220,0.5190175837234661,0.5283078886986795,0.5599999999999999,0.705,0.3,0.1139344262295082,0.029508196721311476
feature_family_top5,arousal,svm,classifier__gamma,0.001,192,154,192,0.513968253968254,0.5193695701680535,0.5480673248320307,0.705,0.234375,0.09895833333333333,0.026041666666666668
feature_family_top5,arousal,svm,classifier__gamma,0.01,300,220,300,0.5163492063492063,0.5234087418572713,0.5511904761904762,0.705,0.25666666666666665,0.10666666666666667,0.02
feature_family_top5,arousal,svm,classifier__gamma,0.1,292,212,292,0.5087161531279178,0.5171511791603955,0.5482917082917081,0.7025,0.23972602739726026,0.06164383561643835,0.0136986301369863
feature_family_top5,arousal,svm,classifier__gamma,1,267,173,267,0.5097802197802197,0.512446228711926,0.5402894491129786,0.65125,0.21348314606741572,0.033707865168539325,0.003745318352059925
feature_family_top5,arousal,svm,classifier__gamma,scale,450,283,450,0.5175206043956044,0.5214071114615232,0.5503571428571429,0.705,0.25555555555555554,0.07777777777777778,0.008888888888888889
feature_family_top5,arousal,svm,classifier__kernel,linear,624,334,624,0.5072365134865136,0.5183558536266398,0.5463492063492064,0.705,0.23397435897435898,0.09134615384615384,0.03205128205128205
feature_family_top5,arousal,svm,classifier__kernel,rbf,1501,422,1501,0.5122077922077922,0.5191246286262844,0.54875,0.705,0.24250499666888742,0.07528314457028648,0.013324450366422385
feature_family_top5,valence,gnb,classifier__var_smoothing,1e-11,2125,425,2125,0.5333166833166832,0.5307490300549124,0.5683638583638584,0.6632667332667332,0.3764705882352941,0.06588235294117648,0.002352941176470588
feature_family_top5,valence,knn,classifier__metric,euclidean,1137,413,1137,0.516161616161616,0.5157973839899962,0.5477777777777779,0.6655444555444556,0.23746701846965698,0.03781882145998241,0.001759014951627089
feature_family_top5,valence,knn,classifier__metric,manhattan,988,407,988,0.5147852147852148,0.5133518994500775,0.5472191697191697,0.6655444555444556,0.23279352226720648,0.04251012145748988,0.003036437246963563
feature_family_top5,valence,knn,classifier__n_neighbors,11,260,205,260,0.5106823731823733,0.5146269243576936,0.5457267732267731,0.6183716283716284,0.2153846153846154,0.04230769230769231,0.0
feature_family_top5,valence,knn,classifier__n_neighbors,15,308,226,308,0.5232367632367632,0.5170375926382421,0.553485680985681,0.6655444555444556,0.275974025974026,0.04220779220779221,0.006493506493506494
feature_family_top5,valence,knn,classifier__n_neighbors,21,393,252,393,0.5067676767676768,0.5074569309683813,0.5436752136752137,0.6395804195804196,0.1984732824427481,0.03816793893129771,0.0
feature_family_top5,valence,knn,classifier__n_neighbors,3,389,258,389,0.5153968253968253,0.5151945697832587,0.5553030303030303,0.6655444555444556,0.2776349614395887,0.038560411311053984,0.005141388174807198
feature_family_top5,valence,knn,classifier__n_neighbors,5,297,223,297,0.5182417582417582,0.5176882881428336,0.5471428571428572,0.6186813186813188,0.23232323232323232,0.04713804713804714,0.0
feature_family_top5,valence,knn,classifier__n_neighbors,7,249,196,249,0.5203663003663003,0.5166736231194062,0.5451159951159952,0.6183716283716284,0.19678714859437751,0.040160642570281124,0.0
feature_family_top5,valence,knn,classifier__n_neighbors,9,229,186,229,0.5223565323565322,0.5168397735209962,0.5482539682539682,0.6655444555444556,0.24017467248908297,0.03056768558951965,0.004366812227074236
