experiment,target,factor,level,n_configurations,median_ba,mean_ba,upper_quartile_ba,maximum_ba,fraction_ba_ge_55,fraction_ba_ge_60,fraction_ba_ge_65
feature_family_top5,valence,feature_family × classifier,paper_compact × svm,140,0.5405955155955156,0.533914244485673,0.5650441225441225,0.6643434343434343,0.38571428571428573,0.07857142857142857,0.007142857142857143
feature_family_top5,valence,feature_family × classifier,all_eeg × knn,35,0.5351515151515152,0.5309273266416125,0.5619047619047619,0.6155144855144856,0.2857142857142857,0.11428571428571428,0.0
feature_family_top5,valence,feature_family × classifier,bandpower_beta_gamma × svm,60,0.5332831057831058,0.5266244958744959,0.5571459096459097,0.6438095238095238,0.38333333333333336,0.03333333333333333,0.0
feature_family_top5,valence,feature_family × classifier,hjorth × knn,45,0.5322277722277723,0.5230157620157619,0.5510789210789211,0.6183028083028084,0.26666666666666666,0.022222222222222223,0.0
feature_family_top5,valence,feature_family × classifier,bandpower_all × gnb,35,0.5342929292929293,0.5228025625168482,0.5491980241980242,0.604935064935065,0.2571428571428571,0.02857142857142857,0.0
feature_family_top5,valence,feature_family × classifier,bandpower_beta_gamma × gnb,60,0.5265090465090465,0.5197214174714174,0.544481351981352,0.5852380952380953,0.2,0.0,0.0
feature_family_top5,valence,feature_family × classifier,paper_compact × knn,140,0.5223126873126873,0.5182800532800533,0.55251998001998,0.6655444555444556,0.2642857142857143,0.04285714285714286,0.007142857142857143
feature_family_top5,valence,feature_family × classifier,entropy_beta_gamma × gnb,60,0.5049500499500499,0.5122510082510082,0.5406593406593407,0.5963492063492064,0.2,0.0,0.0
feature_family_top5,valence,feature_family × classifier,entropy_beta_gamma × logreg,60,0.5059096459096459,0.5094109039109039,0.53748112998113,0.5948107448107448,0.15,0.0,0.0
feature_family_top5,valence,feature_family × classifier,entropy_beta_gamma × svm,60,0.5072566322566322,0.5087535797535797,0.5430935730935731,0.6003785103785104,0.15,0.016666666666666666,0.0
feature_family_top5,valence,feature_family × classifier,bandpower_beta_gamma × knn,60,0.5034920634920634,0.5047383634883634,0.5342940392940393,0.5933333333333334,0.11666666666666667,0.0,0.0
feature_family_top5,valence,feature_family × classifier,entropy_all_bands × svm,35,0.4905894105894106,0.4993962069676355,0.5438705738705739,0.5949150849150848,0.2,0.0,0.0
feature_family_top5,valence,feature_family × classifier,entropy_beta_gamma × knn,60,0.4985159285159285,0.49808422133422137,0.5228510378510378,0.5988211788211787,0.15,0.0,0.0
feature_family_top5,valence,feature_family × classifier,entropy_all_bands × logreg,35,0.5011111111111111,0.49282955140098,0.5419780219780219,0.5982017982017982,0.22857142857142856,0.0,0.0
feature_family_top5,valence,feature_family × classifier,entropy_all_bands × gnb,35,0.4947252747252746,0.4924696731839589,0.543936063936064,0.5884715284715284,0.22857142857142856,0.0,0.0
feature_family_top5,valence,feature_family × classifier,entropy_all_bands × knn,35,0.4812687312687312,0.47878320092605803,0.5155455655455655,0.6155444555444556,0.11428571428571428,0.02857142857142857,0.0
individual_optimized_top15,arousal,classifier,logreg,105,0.5641456582633053,0.5592010505834035,0.5963936063936064,0.67125,0.6,0.22857142857142856,0.0380952380952381
individual_optimized_top15,arousal,classifier,svm,105,0.5538095238095238,0.5510868816835203,0.5857142857142856,0.6912499999999999,0.5428571428571428,0.18095238095238095,0.047619047619047616
individual_optimized_top15,arousal,classifier,gnb,105,0.5650000000000001,0.5497220068291496,0.5841269841269842,0.6777777777777778,0.6285714285714286,0.1523809523809524,0.0380952380952381
individual_optimized_top15,arousal,classifier,knn,105,0.5377777777777778,0.5422514952367894,0.5737562437562438,0.7028571428571428,0.4095238095238095,0.12380952380952381,0.05714285714285714
individual_optimized_top15,arousal,classifier,extra_trees,105,0.542097902097902,0.5382915677537526,0.5825,0.64625,0.4380952380952381,0.13333333333333333,0.0
individual_optimized_top15,valence,classifier,gnb,105,0.5806837606837607,0.5687345194488052,0.6034965034965035,0.6701515151515152,0.6761904761904762,0.2761904761904762,0.0380952380952381
individual_optimized_top15,valence,classifier,logreg,105,0.5522222222222222,0.5673857782429211,0.6247852147852148,0.7075252525252524,0.5047619047619047,0.3619047619047619,0.10476190476190476
individual_optimized_top15,valence,classifier,svm,105,0.5544955044955046,0.5580868813725957,0.5875224775224774,0.6735264735264735,0.5333333333333333,0.19047619047619047,0.01904761904761905
individual_optimized_top15,valence,classifier,extra_trees,105,0.5542857142857143,0.5560707969279398,0.5887878787878789,0.6793434343434344,0.5333333333333333,0.1523809523809524,0.02857142857142857
individual_optimized_top15,valence,classifier,knn,105,0.5338583638583639,0.5367803889232461,0.5646553446553446,0.6807070707070707,0.37142857142857144,0.08571428571428572,0.009523809523809525
individual_optimized_top15,arousal,classifier × feature_count_request,svm × 10,15,0.5901027077497665,0.5872290917143858,0.6240802987861811,0.6912499999999999,0.7333333333333333,0.4,0.2
individual_optimized_top15,arousal,classifier × feature_count_request,logreg × 10,15,0.572875816993464,0.5775413165266107,0.6270039682539683,0.67125,0.6,0.3333333333333333,0.13333333333333333
individual_optimized_top15,arousal,classifier × feature_count_request,svm × 15,10,0.576875,0.577419067044067,0.5853174603174602,0.6791708291708292,0.9,0.1,0.1
individual_optimized_top15,arousal,classifier × feature_count_request,logreg × 15,10,0.5782638888888889,0.5745029317088141,0.5950843253968254,0.6693406593406593,0.8,0.1,0.1
individual_optimized_top15,arousal,classifier × feature_count_request,logreg × 8,15,0.6022222222222222,0.5704067789508966,0.6281792717086836,0.6507392607392607,0.6,0.5333333333333333,0.06666666666666667
individual_optimized_top15,arousal,classifier × feature_count_request,gnb × 15,10,0.5869281045751634,0.5674841204547086,0.5919583194583194,0.6102397602397602,0.8,0.2,0.0
individual_optimized_top15,arousal,classifier × feature_count_request,svm × 20,10,0.5399159663865547,0.5668997905689082,0.6013061938061938,0.64125,0.4,0.3,0.0
individual_optimized_top15,arousal,classifier × feature_count_request,knn × 10,15,0.5696545284780579,0.566427810207222,0.6217857142857143,0.7028571428571428,0.6,0.26666666666666666,0.26666666666666666
individual_optimized_top15,arousal,classifier × feature_count_request,gnb × 20,10,0.5773015873015872,0.561986025412496,0.58375,0.6503996003996004,0.8,0.1,0.1
individual_optimized_top15,arousal,classifier × feature_count_request,logreg × 20,10,0.5453324453324453,0.5574383916736858,0.5682096171802054,0.635,0.4,0.2,0.0
individual_optimized_top15,arousal,classifier × feature_count_request,gnb × 10,15,0.565452847805789,0.5573449067272596,0.5892857142857143,0.6777777777777778,0.6666666666666666,0.2,0.13333333333333333
individual_optimized_top15,arousal,classifier × feature_count_request,svm × all,15,0.55,0.5567713103889573,0.5891372679607974,0.6260317460317459,0.5333333333333333,0.2,0.0
individual_optimized_top15,arousal,classifier × feature_count_request,gnb × 30,10,0.5522134115884116,0.5564102980352981,0.5821931989579049,0.6043884220354808,0.6,0.2,0.0
