participant,target,outer_fold,outer_folds,outer_train_size,outer_test_size,low_count,high_count,selected_classifier,selected_feature_family,selected_channel_subset,selected_feature_count_request,selected_threshold,source_trial_index,true_label,probability_high,fixed_threshold_prediction,optimized_threshold_prediction
P15,arousal,3,5,90,22,23,89,logreg,paper_compact,all_channels,10,0.5,79,1,0.42821863122421683,0,0
P15,arousal,3,5,90,22,23,89,logreg,paper_compact,all_channels,10,0.5,81,0,0.5630777062047585,1,1
P15,arousal,3,5,90,22,23,89,logreg,paper_compact,all_channels,10,0.5,84,1,0.6029344781838265,1,1
P15,arousal,3,5,90,22,23,89,logreg,paper_compact,all_channels,10,0.5,94,1,0.4820089853445423,0,0
P15,arousal,3,5,90,22,23,89,logreg,paper_compact,all_channels,10,0.5,98,1,0.5733283783569095,1,1
P15,arousal,3,5,90,22,23,89,logreg,paper_compact,all_channels,10,0.5,101,0,0.502539188481126,1,1
P15,arousal,3,5,90,22,23,89,logreg,paper_compact,all_channels,10,0.5,111,1,0.5529194819023432,1,1
P15,arousal,4,5,90,22,23,89,gnb,paper_compact,frontal_central,10,0.5,9,1,0.7548502661708241,1,1
P15,arousal,4,5,90,22,23,89,gnb,paper_compact,frontal_central,10,0.5,23,1,0.7611741230677629,1,1
P15,arousal,4,5,90,22,23,89,gnb,paper_compact,frontal_central,10,0.5,30,1,0.819357011027399,1,1
P15,arousal,4,5,90,22,23,89,gnb,paper_compact,frontal_central,10,0.5,33,1,0.30512143145952186,0,0
P15,arousal,4,5,90,22,23,89,gnb,paper_compact,frontal_central,10,0.5,35,1,0.8368069752751066,1,1
P15,arousal,4,5,90,22,23,89,gnb,paper_compact,frontal_central,10,0.5,39,0,0.9033107501987837,1,1
P15,arousal,4,5,90,22,23,89,gnb,paper_compact,frontal_central,10,0.5,43,1,0.805217639305733,1,1
P15,arousal,4,5,90,22,23,89,gnb,paper_compact,frontal_central,10,0.5,46,1,0.8900613554225625,1,1
P15,arousal,4,5,90,22,23,89,gnb,paper_compact,frontal_central,10,0.5,49,1,0.9326417231932815,1,1
P15,arousal,4,5,90,22,23,89,gnb,paper_compact,frontal_central,10,0.5,50,0,0.9715807009471151,1,1
P15,arousal,4,5,90,22,23,89,gnb,paper_compact,frontal_central,10,0.5,56,1,0.9667062752093888,1,1
P15,arousal,4,5,90,22,23,89,gnb,paper_compact,frontal_central,10,0.5,62,0,0.6326029874540626,1,1
P15,arousal,4,5,90,22,23,89,gnb,paper_compact,frontal_central,10,0.5,64,1,0.8736546266100509,1,1
P15,arousal,4,5,90,22,23,89,gnb,paper_compact,frontal_central,10,0.5,66,1,0.9080072825250157,1,1
P15,arousal,4,5,90,22,23,89,gnb,paper_compact,frontal_central,10,0.5,70,1,0.5877512108147135,1,1
P15,arousal,4,5,90,22,23,89,gnb,paper_compact,frontal_central,10,0.5,83,1,0.727009811072552,1,1
P15,arousal,4,5,90,22,23,89,gnb,paper_compact,frontal_central,10,0.5,88,1,0.7593617465070006,1,1
P15,arousal,4,5,90,22,23,89,gnb,paper_compact,frontal_central,10,0.5,91,1,0.8593203523987967,1,1
P15,arousal,4,5,90,22,23,89,gnb,paper_compact,frontal_central,10,0.5,92,1,0.5617562894241191,1,1
P15,arousal,4,5,90,22,23,89,gnb,paper_compact,frontal_central,10,0.5,107,1,0.9440315198223026,1,1
P15,arousal,4,5,90,22,23,89,gnb,paper_compact,frontal_central,10,0.5,108,1,0.7933366884015627,1,1
P15,arousal,4,5,90,22,23,89,gnb,paper_compact,frontal_central,10,0.5,110,0,0.9605985400055501,1,1
P15,arousal,5,5,90,22,23,89,svm,paper_compact,frontal_central,8,0.5,11,0,0.815033558244794,1,1
P15,arousal,5,5,90,22,23,89,svm,paper_compact,frontal_central,8,0.5,19,1,0.8203051721579441,1,1
P15,arousal,5,5,90,22,23,89,svm,paper_compact,frontal_central,8,0.5,20,1,0.8087066206381986,1,1
P15,arousal,5,5,90,22,23,89,svm,paper_compact,frontal_central,8,0.5,22,1,0.8254658908283433,1,1
P15,arousal,5,5,90,22,23,89,svm,paper_compact,frontal_central,8,0.5,24,1,0.8146406495901968,1,1
P15,arousal,5,5,90,22,23,89,svm,paper_compact,frontal_central,8,0.5,32,0,0.8137967129304233,1,1
P15,arousal,5,5,90,22,23,89,svm,paper_compact,frontal_central,8,0.5,37,1,0.8011148253404878,1,1
P15,arousal,5,5,90,22,23,89,svm,paper_compact,frontal_central,8,0.5,47,0,0.8077656147484041,1,1
P15,arousal,5,5,90,22,23,89,svm,paper_compact,frontal_central,8,0.5,48,0,0.8092864054365784,1,1
P15,arousal,5,5,90,22,23,89,svm,paper_compact,frontal_central,8,0.5,53,1,0.8131778021342851,1,1
P15,arousal,5,5,90,22,23,89,svm,paper_compact,frontal_central,8,0.5,68,1,0.8027409066884812,1,1
P15,arousal,5,5,90,22,23,89,svm,paper_compact,frontal_central,8,0.5,69,1,0.8133020460846405,1,1
P15,arousal,5,5,90,22,23,89,svm,paper_compact,frontal_central,8,0.5,74,1,0.8059611100175164,1,1
P15,arousal,5,5,90,22,23,89,svm,paper_compact,frontal_central,8,0.5,76,1,0.83389368445367,1,1
P15,arousal,5,5,90,22,23,89,svm,paper_compact,frontal_central,8,0.5,78,1,0.8063002591562876,1,1
P15,arousal,5,5,90,22,23,89,svm,paper_compact,frontal_central,8,0.5,82,0,0.8082016875818792,1,1
P15,arousal,5,5,90,22,23,89,svm,paper_compact,frontal_central,8,0.5,85,1,0.809625121457407,1,1
P15,arousal,5,5,90,22,23,89,svm,paper_compact,frontal_central,8,0.5,90,1,0.8186237934294045,1,1
P15,arousal,5,5,90,22,23,89,svm,paper_compact,frontal_central,8,0.5,93,1,0.8102637888378785,1,1
P15,arousal,5,5,90,22,23,89,svm,paper_compact,frontal_central,8,0.5,103,1,0.8042788502040336,1,1
P15,arousal,5,5,90,22,23,89,svm,paper_compact,frontal_central,8,0.5,104,1,0.8229100091152937,1,1
P15,arousal,5,5,90,22,23,89,svm,paper_compact,frontal_central,8,0.5,105,1,0.8272889575767541,1,1
