mode,participant,held_out_participant,target,modality,classifier,feature_count_request,feature_count_resolved,fold,training_participants,sample_size,train_size,test_size,low_count,high_count,balanced_accuracy,accuracy,precision,recall,f1,tn,fp,fn,tp
general,COHORT,P43,valence,face,gnb,10,10,9,P10;P11;P19;P22;P25;P32;P40;P42;P45,1200,1080,120,522,678,0.5,0.6416666666666667,0.6416666666666667,1.0,0.7817258883248731,0,43,0,77
general,COHORT,P45,valence,face,gnb,10,10,10,P10;P11;P19;P22;P25;P32;P40;P42;P43,1200,1080,120,522,678,0.5,0.65,0.65,1.0,0.7878787878787878,0,42,0,78
general,COHORT,P10,valence,face,gnb,20,10,1,P11;P19;P22;P25;P32;P40;P42;P43;P45,1200,1080,120,522,678,0.5814285714285714,0.575,0.6666666666666666,0.5428571428571428,0.5984251968503937,31,19,32,38
general,COHORT,P11,valence,face,gnb,20,10,2,P10;P19;P22;P25;P32;P40;P42;P43;P45,1200,1080,120,522,678,0.5102892102335929,0.525,0.5221238938053098,0.9516129032258065,0.6742857142857143,4,54,3,59
general,COHORT,P19,valence,face,gnb,20,10,3,P10;P11;P22;P25;P32;P40;P42;P43;P45,1200,1080,120,522,678,0.42147387496224703,0.475,0.5875,0.6103896103896104,0.5987261146496815,10,33,30,47
general,COHORT,P22,valence,face,gnb,20,10,4,P10;P11;P19;P25;P32;P40;P42;P43;P45,1200,1080,120,522,678,0.4835972850678733,0.425,0.4247787610619469,0.9230769230769231,0.5818181818181818,3,65,4,48
general,COHORT,P25,valence,face,gnb,20,10,5,P10;P11;P19;P22;P32;P40;P42;P43;P45,1200,1080,120,522,678,0.5,0.55,0.55,1.0,0.7096774193548387,0,54,0,66
general,COHORT,P32,valence,face,gnb,20,10,6,P10;P11;P19;P22;P25;P40;P42;P43;P45,1200,1080,120,522,678,0.47803114571746386,0.475,0.4897959183673469,0.3870967741935484,0.43243243243243246,33,25,38,24
general,COHORT,P40,valence,face,gnb,20,10,7,P10;P11;P19;P22;P25;P32;P42;P43;P45,1200,1080,120,522,678,0.4974747474747475,0.5416666666666666,0.5486725663716814,0.9393939393939394,0.6927374301675978,3,51,4,62
general,COHORT,P42,valence,face,gnb,20,10,8,P10;P11;P19;P22;P25;P32;P40;P43;P45,1200,1080,120,522,678,0.47794117647058826,0.5416666666666666,0.5555555555555556,0.9558823529411765,0.7027027027027027,0,52,3,65
general,COHORT,P43,valence,face,gnb,20,10,9,P10;P11;P19;P22;P25;P32;P40;P42;P45,1200,1080,120,522,678,0.5,0.6416666666666667,0.6416666666666667,1.0,0.7817258883248731,0,43,0,77
general,COHORT,P45,valence,face,gnb,20,10,10,P10;P11;P19;P22;P25;P32;P40;P42;P43,1200,1080,120,522,678,0.5,0.65,0.65,1.0,0.7878787878787878,0,42,0,78
general,COHORT,P10,valence,multimodal,knn,all,all,1,P11;P19;P22;P25;P32;P40;P42;P43;P45,1200,1080,120,522,678,0.5557142857142857,0.5583333333333333,0.6349206349206349,0.5714285714285714,0.6015037593984962,27,23,30,40
