condition,model_id,task,feature_group,window_count,median_nearest_image_distance,iqr_nearest_image_distance,fraction_windows_with_outside,fraction_feature_values_outside,median_abs_image_z,maximum_abs_image_z
no-ICA,valence__face__gnb__10,shape_sorter_observation,all_selected,54,12.876666777793886,3.8377008373703454,1.0,0.3740740740740741,1.899878268149013,19.698846224537157
no-ICA,valence__face__gnb__10,sisyphus,all_selected,47,9.824532846251056,3.3157832553089364,0.9574468085106383,0.40638297872340423,2.809851294599713,18.315882208556552
no-ICA,valence__face__gnb__10,stack,all_selected,64,11.402053278523628,3.360546671600277,1.0,0.4046875,1.9493221831390037,48.66906958358656
no-ICA,arousal__face__svm__10,pick_place,all_selected,35,14.270344071453447,2.793804395864102,1.0,0.3971428571428572,2.4044573140078827,17.703811570767883
no-ICA,arousal__face__svm__10,shape_sorter_alone,all_selected,14,12.059111462768541,1.6529512216992899,1.0,0.4500000000000001,1.9395069152544182,13.629522789486163
no-ICA,arousal__face__svm__10,shape_sorter_interaction,all_selected,74,8.87011007712966,2.644395122548824,1.0,0.4527027027027027,1.9084546453834605,22.066117996914898
no-ICA,arousal__face__svm__10,shape_sorter_observation,all_selected,54,12.804968563842532,3.814854373726286,1.0,0.3740740740740741,1.8825918183347585,19.562556401370657
no-ICA,arousal__face__svm__10,sisyphus,all_selected,47,9.779488044148126,3.302475472170072,0.9574468085106383,0.40638297872340423,2.7897391703312646,18.218543468725773
no-ICA,arousal__face__svm__10,stack,all_selected,64,11.338537862885394,3.3419968308976316,1.0,0.4046875,1.9446725601256591,48.42835047494776
no-ICA,arousal__face__gnb__5,pick_place,all_selected,35,9.136291913219713,4.742884457763296,1.0,0.44,2.276332095431924,17.703811570767883
no-ICA,arousal__face__gnb__5,shape_sorter_alone,all_selected,14,9.67525334791494,2.1599285538715396,1.0,0.5142857142857145,1.2143985817522793,13.629522789486163
no-ICA,arousal__face__gnb__5,shape_sorter_interaction,all_selected,74,4.861375428841777,2.732840717364211,1.0,0.38648648648648654,1.1507463928589394,18.847274629709474
no-ICA,arousal__face__gnb__5,shape_sorter_observation,all_selected,54,6.850787389388998,4.603759484072867,1.0,0.3370370370370371,1.4024822393799652,19.562556401370657
no-ICA,arousal__face__gnb__5,sisyphus,all_selected,47,6.169077350218714,2.5734630271018553,0.9148936170212766,0.4212765957446808,1.8714458636944,16.71017690794365
no-ICA,arousal__face__gnb__5,stack,all_selected,64,6.093840945044633,2.5591797675182573,1.0,0.328125,1.3293097336417041,38.87418046939501
no-ICA,arousal__face__svm__5,pick_place,all_selected,35,9.136291913219713,4.742884457763296,1.0,0.44,2.276332095431924,17.703811570767883
no-ICA,arousal__face__svm__5,shape_sorter_alone,all_selected,14,9.67525334791494,2.1599285538715396,1.0,0.5142857142857145,1.2143985817522793,13.629522789486163
no-ICA,arousal__face__svm__5,shape_sorter_interaction,all_selected,74,4.861375428841777,2.732840717364211,1.0,0.38648648648648654,1.1507463928589394,18.847274629709474
no-ICA,arousal__face__svm__5,shape_sorter_observation,all_selected,54,6.850787389388998,4.603759484072867,1.0,0.3370370370370371,1.4024822393799652,19.562556401370657
no-ICA,arousal__face__svm__5,sisyphus,all_selected,47,6.169077350218714,2.5734630271018553,0.9148936170212766,0.4212765957446808,1.8714458636944,16.71017690794365
no-ICA,arousal__face__svm__5,stack,all_selected,64,6.093840945044633,2.5591797675182573,1.0,0.328125,1.3293097336417041,38.87418046939501
