mode,participant,target,modality,classifier,feature_count_request,feature_count_resolved,folds,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_median,balanced_accuracy_min,balanced_accuracy_max,accuracy_mean,precision_mean,recall_mean,f1_mean
individual,P13,arousal,face,gnb,5,5,5,0.5416239316239316,0.15201023501534114,0.5423076923076923,0.3611111111111111,0.7576923076923077,0.5181818181818182,0.4390764790764791,0.6755555555555556,0.5239559651817716
individual,P13,arousal,face,gnb,all,all,5,0.535042735042735,0.11641319009318428,0.5256410256410257,0.41666666666666663,0.7076923076923077,0.508695652173913,0.4415184815184815,0.6777777777777778,0.5265286287246869
individual,P13,arousal,face,knn,10,10,5,0.45661782661782657,0.08240557050801425,0.46923076923076923,0.3611111111111111,0.5683760683760684,0.46600790513833995,0.3680341880341881,0.40444444444444444,0.38219845513963163
individual,P13,arousal,face,knn,20,10,5,0.45661782661782657,0.08240557050801425,0.46923076923076923,0.3611111111111111,0.5683760683760684,0.46600790513833995,0.3680341880341881,0.40444444444444444,0.38219845513963163
individual,P13,arousal,face,knn,5,5,5,0.5924908424908425,0.10888416592964202,0.5753968253968254,0.4307692307692308,0.6965811965811965,0.6059288537549408,0.5427272727272727,0.5333333333333333,0.5115971747550694
individual,P13,arousal,face,knn,all,all,5,0.45661782661782657,0.08240557050801425,0.46923076923076923,0.3611111111111111,0.5683760683760684,0.46600790513833995,0.3680341880341881,0.40444444444444444,0.38219845513963163
individual,P13,arousal,face,svm,10,10,5,0.41512820512820514,0.06386906423212574,0.43253968253968256,0.34523809523809523,0.5,0.45652173913043476,0.19047619047619047,0.15333333333333332,0.16291208791208792
individual,P13,arousal,face,svm,20,10,5,0.41512820512820514,0.06386906423212574,0.43253968253968256,0.34523809523809523,0.5,0.45652173913043476,0.19047619047619047,0.15333333333333332,0.16291208791208792
individual,P13,arousal,face,svm,5,5,5,0.49644688644688645,0.12305680156080635,0.46825396825396826,0.34615384615384615,0.6576923076923077,0.5252964426877471,0.3560606060606061,0.35333333333333333,0.35091418385536033
individual,P13,arousal,face,svm,all,all,5,0.41512820512820514,0.06386906423212574,0.43253968253968256,0.34523809523809523,0.5,0.45652173913043476,0.19047619047619047,0.15333333333333332,0.16291208791208792
