participant,representation,target,task,task_label,feature,known_problem_feature,image_low_median,image_low_iqr,image_high_median,image_high_iqr,image_min,image_max,robot_median,robot_iqr,robot_z_median_abs,robot_z_p95_abs,robot_pct_outside_image_min_max
P19,C0_reproducible_harmonized_no_ICA,valence,stack,Stack,eeg_mf_hz__Fz,False,9.0,5.0,11.0,3.0,4.0,21.0,10.0,7.5,1.0441718094385595,2.699619198985942,8.823529411764707
P19,C0_reproducible_harmonized_no_ICA,valence,sisyphus,Sisyphus,eeg_mf_hz__Fz,False,9.0,5.0,11.0,3.0,4.0,21.0,10.0,6.0,0.693939181689376,1.957822142697299,4.395604395604396
P19,C0_reproducible_harmonized_no_ICA,valence,shape_sorter_interaction,Shape Sorter Interaction,eeg_mf_hz__Fz,False,9.0,5.0,11.0,3.0,4.0,21.0,8.0,6.0,0.9549821340490158,2.051362533959504,9.090909090909092
P19,A_existing_robot_features,valence,pick_place,Pick and Place,eeg_mf_hz__PO8,False,6.0,2.0,7.0,2.0,3.0,12.0,3.0,0.0,2.1890818184619762,2.7861041325879694,19.047619047619047
P19,A_existing_robot_features,valence,shape_sorter_observation,Shape Sorter Observation,eeg_mf_hz__PO8,False,6.0,2.0,7.0,2.0,3.0,12.0,3.0,1.0,2.1890818184619762,2.7861041325879694,30.508474576271187
P19,A_existing_robot_features,valence,stack,Stack,eeg_mf_hz__PO8,False,6.0,2.0,7.0,2.0,3.0,12.0,3.0,1.0,2.1890818184619762,2.7861041325879694,14.705882352941178
P19,A_existing_robot_features,valence,sisyphus,Sisyphus,eeg_mf_hz__PO8,False,6.0,2.0,7.0,2.0,3.0,12.0,4.0,1.0,1.5920595043359826,2.7861041325879694,13.186813186813188
P19,A_existing_robot_features,valence,shape_sorter_interaction,Shape Sorter Interaction,eeg_mf_hz__PO8,False,6.0,2.0,7.0,2.0,3.0,12.0,8.0,3.0,1.3930520662939845,3.184119008671965,5.194805194805195
P19,C0_reproducible_harmonized_no_ICA,valence,pick_place,Pick and Place,eeg_mf_hz__PO8,False,6.0,2.0,7.0,2.0,3.0,12.0,7.5,3.75,0.9950371902099893,3.1642182648677633,11.904761904761903
P19,C0_reproducible_harmonized_no_ICA,valence,shape_sorter_observation,Shape Sorter Observation,eeg_mf_hz__PO8,False,6.0,2.0,7.0,2.0,3.0,12.0,6.0,3.5,0.7960297521679911,2.248784049874572,3.389830508474576
P19,C0_reproducible_harmonized_no_ICA,valence,stack,Stack,eeg_mf_hz__PO8,False,6.0,2.0,7.0,2.0,3.0,12.0,5.0,3.0,0.9950371902099893,2.4477914879165725,4.411764705882353
P19,C0_reproducible_harmonized_no_ICA,valence,sisyphus,Sisyphus,eeg_mf_hz__PO8,False,6.0,2.0,7.0,2.0,3.0,12.0,5.0,2.0,1.5920595043359826,2.7861041325879694,7.6923076923076925
P19,C0_reproducible_harmonized_no_ICA,valence,shape_sorter_interaction,Shape Sorter Interaction,eeg_mf_hz__PO8,False,6.0,2.0,7.0,2.0,3.0,12.0,4.0,2.0,1.5920595043359826,2.1890818184619762,2.5974025974025974
P19,A_existing_robot_features,valence,pick_place,Pick and Place,eeg_bp_delta__Fz,True,14.749028388355123,7.872361344786395,11.5987649228913,7.647725680869842,2.196954279885814,43.87831178778889,190.42488980026818,176.21017756246715,22.36321809253795,149.71561740508088,100.0
P19,A_existing_robot_features,valence,shape_sorter_observation,Shape Sorter Observation,eeg_bp_delta__Fz,True,14.749028388355123,7.872361344786395,11.5987649228913,7.647725680869842,2.196954279885814,43.87831178778889,198.68498648830084,244.10159734754754,23.41054750274648,102.46934885477354,96.61016949152543
P19,A_existing_robot_features,valence,stack,Stack,eeg_bp_delta__Fz,True,14.749028388355123,7.872361344786395,11.5987649228913,7.647725680869842,2.196954279885814,43.87831178778889,274.0690541572934,241.8518316535128,32.968783212659204,127.84128994712744,100.0
P19,A_existing_robot_features,valence,sisyphus,Sisyphus,eeg_bp_delta__Fz,True,14.749028388355123,7.872361344786395,11.5987649228913,7.647725680869842,2.196954279885814,43.87831178778889,278.03478633618647,310.8097211037149,33.471613639569654,104.1031102860436,100.0
P19,A_existing_robot_features,valence,shape_sorter_interaction,Shape Sorter Interaction,eeg_bp_delta__Fz,True,14.749028388355123,7.872361344786395,11.5987649228913,7.647725680869842,2.196954279885814,43.87831178778889,21.68080058140533,22.62243922814357,1.091188285117187,9.89221267854911,23.376623376623375
P19,C0_reproducible_harmonized_no_ICA,valence,pick_place,Pick and Place,eeg_bp_delta__Fz,True,14.749028388355123,7.872361344786395,11.5987649228913,7.647725680869842,2.196954279885814,43.87831178778889,12.618629155509922,15.962102460426479,0.9140662420281305,11.569001604855265,11.904761904761903
